Players	# with purples
kimbifille	3710
Kyle	3514
Zamiel	3097
Lanvin	2764
Dr_Kakashi	2606
scharkbite	2540
Floriman	2446
micerang	2421
melwen	2343
pianoblook	2220
Fireheart	2154
asaelr	1963
Lel0uch	1884
Valetta6789	1605
IAMJEFF	1503
sjdrodge	1307
Libster	1283
indego	1273
piper	1199
florrat2	1024
MarkusKahlsen	982
timotree	977
sin_faith	917
RaKXeR	665
Pablo-	622
padi	538
ADrone	467
eliclax	286
Nitrate	236
VerySloppyTwo	185
Bot-Fiora	117
nitawa	52
rinka	0
