month	year	games
Mar	2020	23 games
Apr	2020	95 games
May	2020	116 games
Jun	2020	201 games
Jul	2020	232 games
Aug	2020	217 games
Sep	2020	148 games
Oct	2020	156 games
Nov	2020	156 games
Dec	2020	134 games
Jan	2021	189 games
Feb	2021	166 games
Mar	2021	249 games
Apr	2021	196 games
May	2021	85 games
Jun	2021	166 games
Jul	2021	139 games
Aug	2021	128 games
Sep	2021	91 games
Total: 2887		
