Note	Frequency (125489 in total)
!ig	13
!yb	13
2t	13
[4	13
[y5]	13
again	13
also	13
case	13
discuss	13
either	13
hesitation	13
i23	13
info	13
jeff	13
melwen	13
mostly	13
n25	13
need	13
o45	13
quite	13
retarded	13
right	13
slot	13
!bg	12
!bp	12
!g3	12
!gy	12
!m3	12
!m4	12
!r4	12
3t	12
[l2]	12
[m1]	12
about	12
assymetric	12
attempted	12
black	12
blocking	12
dude	12
gm	12
gonna	12
kill	12
let	12
needs	12
non	12
out	12
pls	12
prio'd	12
ri	12
start	12
supposed	12
t31:	12
t37:	12
t42:	12
thanks	12
then	12
time	12
unknown	12
up	12
vibes	12
which	12
!b4	11
!g2	11
!l	11
!y5	11
4s	11
5n	11
[!r]	11
[w2]	11
actually	11
another	11
ar	11
b45	11
coz	11
crap	11
derek	11
discarding	11
ejection	11
forgot	11
gg	11
god	11
helana	11
hopeful	11
huge	11
i34	11
m35	11
o35	11
p23	11
phantom	11
possibly	11
pretty	11
skip	11
t15	11
t36:	11
witt	11
yr	11
!23	10
!25	10
!i3	10
!ib	10
!n	10
!n2	10
!y3	10
2k	10
[!y]	10
[2	10
[23]	10
[b]	10
[c3]	10
aggressive	10
before	10
c1	10
can't	10
convention	10
d1	10
failed	10
frosty	10
iy	10
kappa	10
locked	10
muddy	10
must	10
occupied	10
omg	10
r45	10
reclue	10
squi	10
strongly	10
such	10
t22	10
t39:	10
thought	10
y34	10
!b2	9
!gp	9
12	9
1k	9
5]	9
5nd	9
[!2]	9
[!5	9
[g5]	9
[g]	9
[i]	9
[k2]	9
[n1]	9
[n5]	9
[n]	9
[ocm]	9
[p]	9
[t1]	9
[w1]	9
[w3]	9
ahhh	9
all	9
bcme	9
bi	9
bm	9
boom	9
bubblegum	9
c5	9
d5	9
d:	9
dobi	9
draw	9
drop	9
eject	9
gi	9
giving	9
gotten	9
imo	9
inverted	9
isn't	9
law	9
loaded	9
move	9
n34	9
nobody	9
saved	9
screamed	9
selfish	9
sense	9
shadow	9
spook	9
t11	9
t21	9
t41:	9
t44:	9
turn	9
uhhhhh	9
valid	9
xd	9
yk	9
your	9
yw	9
!m2	8
!o2	8
!p2	8
1t	8
5w	8
[!12]	8
[!p]	8
[g	8
[i5]	8
[m4]	8
[p5]	8
[t3]	8
a1	8
af	8
attention	8
done	8
dpe	8
enough	8
forgotten	8
fucking	8
g24	8
i45	8
ib	8
into	8
losing	8
m24	8
miss	8
p45	8
prism	8
rce	8
rgb	8
rm	8
true	8
u	8
uhhhh	8
unsure	8
useful	8
waits	8
whisper	8
yes	8
ym	8
zcsp	8
!5]	7
!p5	7
!y2	7
!y]	7
->	7
10	7
100%	7
1w	7
2-save	7
3n	7
4k	7
?????	7
[35]	7
[l1]	7
[r]	7
[y]	7
ab	7
ag	7
