Note	Frequency (18737 in total)
avail	3
b1>>>	3
b1f	3
b2>>>	3
b2bl	3
b2sf	3
b3fp	3
b3gd	3
b3lf	3
b3p	3
b4)	3
b4/g4	3
b4pff	3
b4tf	3
b5>>>	3
b5tf	3
based	3
bcm	3
c2	3
c3	3
c4	3
cards	3
ce	3
cm(b5)	3
cm(g3?)	3
cm(p3)	3
cm(r2)	3
cm(u2)	3
dd	3
defer	3
delayed	3
discard)	3
discards	3
discharge	3
don't	3
done	3
eg	3
either	3
else	3
f2	3
force	3
g/b2	3
g1e>>>	3
g2bl	3
g2gd	3
g3p	3
g4bl	3
g4fp	3
g5f	3
got	3
grrr	3
i3bl	3
i4f	3
i4save	3
ideally	3
info	3
k2/3	3
k3bl	3
kick	3
left	3
lhstall	3
lose	3
lpc(k2)	3
lpc(n3)	3
mf	3
n3bl	3
neg	3
number	3
ocm(m3)	3
ocm(r4)	3
ocm1	3
omni	3
oop	3
optimal	3
ouch	3
p2/3bl	3
p2lf	3
p3)	3
p3bl	3
p3fp	3
p4fp	3
p4gd	3
play(r1)	3
playable	3
playing	3
plays(b2)	3
plays(g2)	3
plays(g4)	3
possibly	3
r/i1	3
r/m5	3
r2bl	3
r2p	3
r2x	3
r4e	3
r5df	3
s4	3
safe	3
save(a4)	3
save(b5)	3
save(n2)	3
save(r5)	3
shift	3
single	3
stretch	3
subopt	3
supposed	3
tf	3
tocm	3
transfer	3
true	3
u1pos	3
u4pos	3
ucm	3
udd(b4)	3
uh	3
up	3
var	3
w2>>>	3
w2f	3
w4lf	3
w4lpc	3
wonder	3
worked	3
x5)	3
y2/3bl	3
y2gd	3
y2hf	3
y3save	3
y4pff	3
!4	2
!b3	2
!gy	2
!m5	2
!riyw	2
(amb)	2
(b3	2
(context	2
(i4)	2
(i5)	2
(m2)	2
(m4)	2
(not	2
(o4)	2
(oh	2
(p2)	2
(r2)	2
(though	2
(w4)	2
(y3)	2
(y5)	2
0	2
1)	2
1/2	2
16	2
2's?	2
2-4	2
2/3(y2)	2
2/4	2
2/5	2
235	2
2saveconvention	2
3's?	2
3/4	2
3lf	2
4/3(ideal)	2
4bl	2
4charm	2
5/3	2
5db	2
5p	2
7)	2
8clue	2
[5]	2
[clued]	2
a2	2
a5	2
about	2
actually)	2
adjc	2
af	2
another	2
anx	2
anyway	2
are	2
attempted	2
avoid	2
away	2
b/m	2
b/r	2
b/r3	2
b1/5	2
b1/m5	2
b1lf	2
b2amb	2
b2b	2
b2e>>>	2
b3/4	2
b3e	2
b3e>>>	2
b3pri	2
b3save	2
b3x	2
b4/5	2
b4>>>	2
b4ffp	2
b5)	2
b5ffp	2
bbg(i3)	2
believe	2
best	2
better	2
black	2
blaze	2
blind	2
blue)	2
bluff(p4)	2
bluffed	2
bombs	2
boy	2
cause	2
cleanly	2
clears	2
cm(a3)	2
cm(g2)	2
cm(k4)	2
cm(k5)	2
cm(l4)	2
cm(m2)	2
cm(n4)	2
cm(no	2
cm(not	2
cm(p4)	2
cm(t2)	2
cm(u1	2
cm(u4)	2
cm(u5)	2
cm(u5?)	2
cm(w3)	2
cm(y2)	2
cm)	2
cm?(u5)	2
cmd	2
cmf	2
complex	2
confirmed	2
context)	2
convert	2
course	2
d2	2
die	2
down	2
dpc	2
draw=	2
error	2
exact	2
expected)	2
f(b1)	2
f(b2)	2
f(ool)	2
f1	2
f3	2
f4	2
forced	2
fpe	2
future	2
g/i5	2
g1e	2
g2/m3	2
g2sf	2
g3)	2
g3/4	2
g3/o2	2
g3gd	2
g3pf	2
g3play	2
g4/p4	2
g4?)	2
g4p	2
g5?r5...	2
g5cont	2
g5pf	2
gave	2
gbl	2
get	2
give)	2
goal	2
gotten	2
green?)	2
guys	2
happen	2
happened	2
help	2
here)	2
hes	2
hopefully	2
i1p	2
i2/3bl	2
i234	2
i2?b3?	2
i2lf	2
i2pf	2
i3p	2
i4bl	2
i4e	2
i4tf	2
illegal	2
k2f	2
k3/4	2
k34	2
k4/o3	2
karen	2
kcm	2
kz)	2
l	2
l1	2
l3bl	2
legal	2
lhs(g3)	2
lhs(r4)	2
low	2
lpc(w3)	2
lsp	2
lvl	2
m	2
m2lf	2
m2rf	2
m3/y2	2
m3p	2
m4f	2
m4pff	2
m5pf	2
more	2
mpcm	2
muddy	2
n/m5	2
n2/5	2
n3fp	2
n3pf	2
n3save	2
n4f	2
no)	2
nothing	2
ny	2
o3f	2
o4/5	2
ocm(g4	2
ocm(i3)	2
ocm(ix?)	2
ocm(p3)	2
ocm(r3)	2
ocm(w5)	2
ocm(y4)	2
ocms	2
odd	2
off	2
ohh	2
oops)	2
opt	2
own	2
p2>>	2
p2>>>	2
p2p	2
p3df	2
p3lf	2
p3play	2
p4e>>	2
p4play	2
p4tf	2
pass	2
pb	2
person	2
pf	2
pff	2
phantom	2
plays(b3)	2
plays(p5)	2
plays(r2)	2
plays(r3)	2
plays(y1)	2
plays(y3)	2
plays(y4)	2
plays)	2
point	2
posb	2
pri(b5)	2
pri(g5)	2
r/g3	2
r/g4	2
r/p	2
r/y	2
r/y2	2
r1)	2
r1e	2
r1e>>>	2
r2)	2
r2/3b	2
r2/4	2
r2/b2	2
r2e>>>	2
r2e>>?	2
r3>>>	2
r3af	2
r3b	2
r3fp	2
r3play	2
r3save	2
r4)	2
r4/5	2
r4?)	2
r4e>>	2
r4lf	2
r4ppf	2
r4pri	2
r5/i1	2
r5play	2
r5qf	2
rainbow	2
redone	2
reds	2
reference	2
rev	2
rpg	2
s2	2
s3f	2
save(3/4)	2
save(a3)	2
save(b3	2
save(g4):play(g3)	2
save(i4	2
save(i4)	2
save(m3	2
save(m4/5)	2
save(mx)	2
save(n4)	2
save(n5)	2
save(not	2
save(nx)	2
save(o4)	2
save(o5)	2
save(r3	2
save(r4):play(r3)	2
save(s2)	2
save(y3	2
save(y3/4)	2
sdcm(hopefully)	2
sf	2
since	2
stall2	2
stalls	2
start	2
starting	2
state	2
t2f	2
t35	2
t3lf	2
t4fp	2
take	2
tbcm	2
tbl	2
teal	2
technically	2
than	2
these	2
think?)	2
though)	2
touch	2
tpf	2
try	2
u3/4	2
udd(b2)	2
udd(b3)	2
udd(o1)	2
udd(y1)	2
udd/utd	2
um	2
undo	2
undone	2
unless	2
upc	2
utpf	2
w2lpc	2
w3f	2
w4f	2
w5fp	2
w5lpc	2
wanted	2
whew	2
will	2
works	2
x4	2
y/m1	2
y/m4	2
y/m5	2
y/r2	2
y1gd	2
y2/3b	2
y2/4	2
y2/g2?	2
y2b	2
y2bl	2
y3/4	2
y3e	2
y3e>>>	2
y3fe	2
y4)	2
y4/5	2
y4save	2
y4tf	2
y5bl	2
y5df	2
y5fffp	2
you	2
z	2
z5	2
!1(p2)	1
!2	1
!3	1
!b3>>>>	1
!b4>>>>	1
!b5>	1
!b5>>>	1
!gyo	1
!i	1
!i5>>>	1
!k2>>>	1
!k2>>?	1
!k3?	1
!k5?>>>>	1
!l!r!s	1
!m	1
!m3	1
!m4	1
!m4>>>>	1
!m5>>>	1
!m5>>>?	1
!n2(lhs)	1
!p)	1
!r!g	1
!r(local)	1
!rg	1
!rpb	1
!ryg	1
!w	1
!w2	1
!y3	1
!y5>>>	1
!ygk	1
&	1
&8clue(3g/p)	1
(1	1
(2	1
(2)save	1
(2-5)	1
(2/3)	1
(3)	1
(34)	1
(4dbool)	1
(8	1
(a	1
(a4)	1
(actually	1
(alternating	1
(at	1
(b1)	1
(b5)	1
(bg)	1
(bg3)	1
(chop	1
(context)?	1
(could	1
(dont	1
(dupe)	1
(f)	1
(fill)	1
(fix)	1
(forced)	1
(fp3	1
(g)	1
(g/k2)	1
(g2hl)	1
(g5)	1
(green	1
(grp)	1
(grr	1
(gt&y3elim)(bk3)	1
(i	1
(i/l3)	1
(i\\b)	1
(idealy	1
(if	1
(interesting)	1
(is	1
(it's	1
(k2)	1
(k3/4)	1
(k34):play(k2)	1
(k4)	1
(k4):play(k1)	1
(kindah	1
(lpc?)	1
(m2-5)	1
(m3?)	1
(m5)	1
(m5?)	1
(ml	1
(n)tp	1
(n5?)	1
(non-p2)	1
(nong3)	1
(now	1
(o2	1
(ocm	1
(ok	1
(ool	1
(oops)	1
(opc)	1
(p)5	1
(p1)	1
(pos	1
(possible	1
(purple?	1
(r/y3)	1
(r2/3)	1
(r2?)	1
(r2f)	1
(r4	1
(r4)?	1
(rb3)	1
(reasonable	1
(redist)	1
(rev	1
(rgb)	1
(ryb	1
(save2/5)	1
(tcm	1
(the	1
(thinks	1
(u4)	1
(u5)	1
(w5	1
(x4...	1
(x5)	1
(x5?)	1
(y/b	1
(y3	1
(y4):play(p4	1
(ygi)	1
(ymi)	1
(yp3)	1
)	1
+	1
/g2	1
/rb4	1
1's)	1
1(b1)	1
1(fpe)	1
1(z5)(p2)	1
1/3	1
1/5	1
1/5/s	1
1/m3	1
10)	1
100%	1
11/23	1
13	1
13+5ce	1
15	1
1:)	1
1?/5	1
1a	1
1cm(w4	1
1gbp	1
2's)	1
2's?>>	1
2(dda)	1
2(force	1
2(i3)	1
2-5)	1
2/3(b3)	1
2/3(g2)	1
2/3(y3)	1
2/3?	1
2/3b	1
2/4?	1
24	1
2=>	1
2?/1?	1
2bl(r2)	1
2bluff	1
2cm	1
2db	1
2pos	1
2save(o2)	1
2tf	1
3'splease	1
3(context	1
3(k3)	1
3(r1)	1
34)	1
3bl(a/r3)?	1
3bl(r3)	1
3bl(t3)	1
3bl(x3)	1
3bluff(b3)	1
3or	1
3pc	1
3pdf	1
3please	1
3sb	1
3sf	1
3suit	1
3u1	1
4(ch)	1
4):play(y1)	1
4):play(y2)	1
4)play	1
4/1	1
4/2	1
4/2/3	1
4/5?	1
45	1
4@8	1
4bluff	1
4ch	1
4cm	1
4db(y4)	1
4db/tf	1
4lf	1
4pos	1
4save	1
4th	1
