Note	Frequency (18148 in total)
5b/4b	2
5n	2
6	2
:'d	2
:s	2
<3	2
=/	2
>	2
[b4]	2
[cm]?	2
[g5]	2
[r4]	2
[r]	2
[sdcm]	2
almost	2
also	2
aluap	2
ambiguous	2
an	2
assumed	2
assuming	2
available	2
awww	2
back	2
believe	2
bjnh	2
blacks	2
blame	2
blue's	2
bold	2
bye	2
cannot	2
cant	2
care	2
clarified	2
close	2
context	2
convention	2
crap	2
crux	2
damian	2
dangerous	2
day	2
delay	2
delayed	2
dies	2
discharge	2
doing	2
draw	2
duplicate	2
eh	2
either	2
expecting	2
f4	2
fake	2
finish	2
fiora	2
forced	2
forgot	2
fours	2
full	2
g3)	2
getting	2
gonna	2
got	2
green)	2
half	2
having	2
he'd	2
he's	2
hesitation	2
him	2
his	2
hmmmm	2
idea	2
ignition	2
it'll	2
job	2
kevin	2
kill	2
kyle	2
l2	2
left	2
losing	2
lucky	2
m2/m5	2
made	2
makes	2
means	2
meowie	2
n1	2
navy	2
nk	2
no-ocm	2
nooo	2
nooooo	2
note	2
nothing	2
ohh	2
opc	2
order	2
ouch	2
pants	2
pass	2
phase	2
pimak	2
playables	2
plays)	2
playyyy	2
possum	2
prepare	2
protect	2
purge	2
put	2
putting	2
reclue	2
rid	2
rip	2
ruby	2
s1	2
s5	2
safe	2
said	2
save)	2
saves	2
screamed	2
self-cm	2
sense	2
seph	2
setup	2
shit	2
side	2
snap	2
soooo	2
start	2
such	2
t10	2
t18:	2
t23	2
t33	2
t34	2
t46	2
t48	2
t51	2
t54	2
t58	2
t59	2
t61	2
t9:	2
target	2
teal	2
tell	2
th	2
them	2
therefore	2
third	2
through	2
time	2
timotree	2
touching	2
trusted	2
twoooooooooooooos	2
u5	2
uhhhhhhhhhhhh	2
use	2
variant	2
w3	2
way	2
we'll	2
whaaaaaaaaat	2
whaaaaaaaat	2
what's	2
whatever	2
works	2
worst	2
wouldn't	2
xd	2
y/b/r	2
y/r	2
y5)	2
yayyy	2
!2	1
!a	1
!bp	1
!k	1
!m2	1
!r1	1
!t	1
&	1
&&	1
&nbsp;[p1]	1
'd	1
(	1
(1	1
(4y/g)	1
(99%	1
(99.99%	1
(again)	1
(ambig!)	1
(assumption	1
(at	1
(b	1
(b)	1
(b1)	1
(b2	1
(b2...	1
(b2??)	1
(because	1
(bluff	1
(can	1
(chop	1
(could	1
(didn't	1
(does	1
(elim)	1
(else	1
(gave	1
(get	1
(good	1
(hesitation)	1
(i.e.	1
(instead	1
(it's	1
(lvl	1
(lying	1
(p4	1
(pass-back?)	1
(pretty	1
(prio)	1
(r	1
(save)	1
(sorry	1
(that's	1
(trolled)	1
(try	1
(utd)	1
(very	1
(wanted	1
(was	1
(we're	1
(what	1
(when	1
(with	1
(would	1
(y3??	1
)	1
*grumble	1
*grumble*	1
+1	1
--->	1
-->	1
............	1
..............	1
...................	1
0.67	1
0.75	1
1.25	1
1/2/4	1
1/5p	1
11	1
13)	1
18	1
19)	1
1b/1m	1
1b/5m	1
1g/2g	1
1i/3r	1
1m/1g/2g	1
1n/1m	1
1n/4m	1
1p/5p/sp	1
1s	1
1w	1
2(?)	1
2-3	1
2/3/4	1
2/5	1
2/5??	1
22	1
23	1
25	1
2b)	1
2b/1m	1
2b/2m?	1
2b/5b	1
2g/2m	1
2g/3b	1
2g/3prism?	1
2m/3y/1y	1
2o	1
2p/3r/3y	1
2prism	1
2r->	1
2r/2k	1
2r/2m	1
2r/5r	1
3/4p	1
33	1
3b)	1
3b/3m	1
3g/3b	1
3g/3i	1
3pink	1
3save	1
3suits	1
3y/4y	1
4's	1
4)	1
4...*	1
4b/4i	1
4bd	1
4dhb	1
4g)	1
4g/3i	1
4g/b	1
4m/5g	1
4p)	1
4r/1i	1
4r/4p	1
4r/5y	1
4s	1
4w/4g	1
4y/1m	1
5/pink	1
50%	1
5g/4m	1
5i	1
5i/2r	1
5k	1
5k)	1
5r!?)	1
5s)	1
5staaaaaaaaall	1
5w	1
8clue-save?	1
99%	1
=.=	1
>_<...	1
?!?	1
?)	1
?????	1
??????	1
[!12][!b]	1
[!b]	1
[!y]	1
[1]	1
[2]	1
[5]	1
[5cm]?	1
[b2]	1
[cm]'d	1
[cm]???	1
[f]inessed	1
[g3]	1
[g4]	1
[g]	1
[gd]	1
[green]	1
[i4]	1
[i]	1
[k]	1
[m2]	1
[m3	1
[m5]	1
[p2]	1
[r2]	1
[r]ed	1
[s1	1
[tccm]?	1
[u1]	1
[y3!!]	1
[y3]	1
^^'	1
^^')	1
a3	1
a4	1
aaaaaaaaaaa	1
aaaaaaaaaaaaarg	1
ah	1
alone	1
aluap's	1
anxiety	1
apply	1
associated	1
assume)	1
assumes	1
attack	1
awake	1
b/g/i	1
b/g/k	1
b/g/y	1
b/p	1
b/r	1
b/y	1
b1)	1
b1->	1
b2)	1
b4/i4	1
b5)	1
b5->	1
backfired	1
became	1
becomes	1
behind	1
being	1
best	1
bit	1
blacks!)	1
blocking	1
bluff/finesse	1
bluffs	1
bluuuuuue	1
bluuuuuuuuuuue	1
board	1
bob	1
boldness	1
bomb)	1
bomb-no-dda	1
bombs)	1
booo	1
booooooo	1
braydon	1
breaking	1
bubblebluff	1
bubblegum	1
busy	1
c	1
caitlin	1
caitlin's	1
cap's	1
case)?	1
case?)	1
cases	1
chance	1
charm	1
choice	1
chop)	1
chris	1
clandestine	1
clarify	1
clearer	1
clue?)	1
cm'd...	1
cm'd???	1
cm)	1
cocoa	1
complicated	1
congrats	1
considering	1
conventional	1
cooool	1
could've	1
