Note	Frequency (49330 in total)
bit	8
certainly	8
chance	8
christ	8
combo	8
crazy	8
decide	8
drew	8
entertain	8
ezra	8
fake	8
find	8
fine	8
fucker	8
happen	8
hes	8
hey	8
kinda	8
literally	8
made	8
n	8
n2/4/5	8
nah	8
ohhh	8
screamed	8
start	8
starting	8
such	8
t10	8
t12	8
t14	8
t21	8
unsure	8
whew	8
without	8
wouldnt	8
y3->	8
!g	7
2/5	7
5nd	7
:'(	7
a4	7
adrone's	7
avander	7
avoid	7
believe	7
bombing	7
classic	7
cm'd?	7
definitely	7
force	7
getting	7
happened	7
him	7
horrible	7
i1->	7
kick	7
left	7
less	7
loss	7
m4/5	7
m5->	7
noice	7
o	7
oj	7
p	7
p4->	7
pace	7
pretend	7
purp	7
pushed	7
r/g4	7
r2/3	7
r5e->	7
realized	7
red5	7
s	7
shame	7
sjdrodge	7
somewhere	7
sucks	7
t11	7
t18	7
t22	7
t36	7
t7	7
t8	7
totally	7
turns	7
u5->	7
useful	7
using	7
w2->	7
y4/5	7
#a	6
....	6
5cm	6
aight	6
attention	6
b/g3	6
blues	6
burn	6
cares	6
chose	6
clearer	6
consider	6
dani	6
delayed	6
die	6
eject	6
every	6
expecting	6
farewell	6
g1->	6
g2/3	6
g4->	6
great	6
guy	6
hahahaha	6
hanabi	6
hell	6
hit	6
hux	6
ideally	6
ignore	6
jake	6
lib	6
lie	6
longer	6
looking	6
low	6
luck	6
m2->	6
many	6
matches	6
missing	6
mucked	6
n2/3/5	6
noooo	6
p2->	6
p2/3	6
p2e->	6
p3/4	6
positionals	6
priority	6
prism	6
prolly	6
proper	6
r3e->	6
r4/5	6
rather	6
refresher	6
sense	6
suspects	6
t13	6
t24	6
t26	6
t30	6
t32	6
t9	6
thats	6
things	6
today	6
u1->	6
u2->	6
u2/5	6
vs	6
w5->	6
world	6
1's	5
3rd	5
;)	5
??	5
a1	5
a2	5
a5->	5
af	5
ago	5
allowed	5
answer	5
anxiety	5
around	5
assumed	5
assuming	5
atm	5
b5+m5->	5
bonja	5
browns	5
bubblegum	5
cmon	5
completely	5
cycle	5
decked	5
dirty	5
dobi	5
e	5
extra	5
finesses	5
focused	5
g/y3	5
gray	5
hmm	5
hold	5
i3/4/5	5
i3/5	5
id	5
justin	5
k4->	5
k4/5	5
knew	5
leave	5
life	5
little	5
love	5
lul	5
m4->	5
melwen	5
messed	5
mice	5
miss	5
myself	5
n3/5	5
n4->	5
n5+n2->	5
necessary	5
negative	5
nooo	5
nooooo	5
oj3	5
opc	5
our	5
own	5
p1->	5
pass	5
pestilent	5
pp	5
prio'd	5
quite	5
r/y4	5
realize	5
reclued	5
remember	5
round	5
score	5
self-cm	5
sin	5
slightly	5
someone	5
sumbitch	5
t15	5
t19	5
t20	5
t29	5
t39	5
takes	5
talked	5
tan4->	5
teal	5
times	5
twice	5
u2e->	5
utp	5
vote	5
waste	5
writes	5
y3/4/5	5
!#a	4
0%	4
6	4
90%	4
95%	4
absolutely	4
avoiding	4
aw	4
b/p4	4
b/r2	4
b/r4	4
b/y4	4
b5e->	4
ballsy	4
blame	4
bonus	4
broke	4
caitlin	4
case	4
combination	4
considered	4
considering	4
contextually	4
cool	4
couldnt	4
currently	4
da	4
deal	4
dig	4
disagree	4
discussion	4
dmoney	4
drawing	4
drop	4
dropped	4
dupe	4
earlier	4
efficiency	4
entirely	4
fair	4
fillin	4
fishcats	4
fuckin	4
fucking	4
full	4
g4/5	4
games	4
gave	4
guaranteed	4
help	4
hesitation	4
highly	4
hilarious	4
i3/4	4
i4->	4
i4/5	4
i4x2?->	4
i5->	4
indeed	4
interested	4
kidding	4
killed	4
l3	4
level	4
lord	4
m2/3	4
m3/5	4
m4e->	4
matter	4
mind	4
mine	4
moves	4
neg	4
nervous	4
of:	4
oj4->	4
once	4
p2/4	4
p3e->	4
page	4
patch	4
paying	4
poor	4
position	4
possible:	4
previous	4
problem	4
pulling	4
pushing	4
rank	4
real	4
red1	4
red4	4
redistribute	4
regardless	4
replay	4
review	4
risky	4
robense	4
sac	4
sapphire	4
saving	4
saw	4
scared	4
screw	4
second	4
skipped	4
solid	4
spicy	4
spot	4
stomp	4
stupid	4
suddenly	4
swear	4
t27	4
t3/4	4
t31	4
t43	4
t57	4
t6	4
talk	4
they	4
thinking	4
touching	4
trusting	4
uncertain	4
unnec	4
untouched	4
w1->	4
warmup	4
we'll	4
went	4
while	4
whole	4
wont	4
x2	4
y/b4	4
y/r4	4
y2/4	4
y3e->	4
y5->	4
ya	4
ye	4
youre	4
!p	3
(or	3
(unless	3
.	3
10	3
11	3
2nd	3
34	3
:\\	3
adam	3
ahhh	3
ahming	3
arent	3
ask	3
ass	3
assumes	3
b/g4	3
b/i3	3
b2-->	3
b3/4/5	3
b3/m3	3
b4e	3
balls	3
bleh	3
blocking	3
board	3
brutal	3
bud	3
bunch	3
c1	3
c2	3
c4	3
came	3
caused	3
check	3
cheeky	3
clandestine	3
clever	3
cluable	3
cms	3
coming	3
confident	3
correct	3
crit	3
cry	3
day	3
dead	3
deciding	3
deck	3
declined	3
deep	3
determine	3
digging	3
discardable	3
discussed	3
duped	3
duplicated	3
durn	3
educate	3
em	3
everyone	3
expect	3
explain	3
fact	3
fast	3
feelsbad	3
finally	3
fixes	3
fixing	3
followup	3
fpe	3
free	3
ftw	3
g/b4	3
g/p4	3
g/r3	3
g/r4	3
g/y4	3
g2e->	3
g3/i3	3
g5e->	3
gd	3
goddamn	3
goddamnit	3
goin	3
guys	3
hah	3
hands	3
head	3
hole	3
homes	3
honestly	3
hurt	3
i'd	3
i've	3
i2+i3->	3
i4x2->	3
ignored	3
jeff	3
k2/3/4	3
k3/5	3
l5	3
lanvin	3
learn	3
likelyt	3
lime	3
lolol	3
lololol	3
m1->	3
m1e->	3
m2/3/4/5	3
