Note	Frequency (39242 in total)
t18	2
t28	2
t45	2
t46	2
t7	2
t9	2
teal	2
think	2
touch	2
wanted	2
we	2
witt	2
work	2
wrong	2
y5s	2
yp	2
δεν	2
!!!!	1
!1!3?	1
!12?	1
!2!4	1
!25	1
!3?	1
!4?	1
!b2	1
!b4	1
!bp	1
!brg	1
!brm	1
!g!a	1
!g3	1
!i!l	1
!i2	1
!i4	1
!l	1
!m2m3	1
!o	1
!p2	1
!r3	1
!rap	1
!rkb	1
!ryb	1
!s	1
!t	1
!to	1
!wr	1
!y!g	1
!y!i	1
!ygbm	1
(g2)	1
(less	1
---	1
-------------b3	1
------>i2	1
----->n2	1
----->n5	1
----->y3	1
---->check	1
---->i2	1
---->l2	1
----g4	1
----y2	1
---<m2	1
--->	1
--->a3	1
--->p4	1
--->w3	1
---g4	1
---r1	1
---y2	1
-->	1
-->y2	1
.	1
11	1
125	1
14	1
15	1
150	1
18	1
19	1
1b	1
2!gr	1
20	1
23!c2	1
23t	1
24m3	1
2a	1
2do	1
2g	1
2or	1
2y	1
3's?	1
32	1
37	1
3][must	1
3d	1
3k	1
3sn	1
4's	1
41	1
48	1
4?could	1
4aria	1
4byri	1
4pt	1
4t	1
4w	1
5's	1
54	1
5]	1
5b	1
5cm	1
5f	1
5nd	1
5p	1
5t	1
5u	1
6	1
62	1
64	1
8clue	1
:(	1
????????????	1
[!4]	1
[!4y][5ys]	1
[!b]	1
[!r]	1
[!y]	1
[---->g5][cm]	1
[--->y3][cm[	1
[2	1
[2]	1
[34]	1
[3][!a]	1
[45]	1
[4][rmo]	1
[b1]	1
[b2]	1
[b2][f]	1
[clued]	1
[cm?]	1
[cm]!b2	1
[cm]!b5!p4	1
[cm]!n1	1
[cm]4	1
[cm]4?	1
[cm]????	1
[cm]???????	1
[cm][18]	1
[cm][21]	1
[cm][23?]	1
[cm][26]	1
[cm][33]	1
[cm][34]	1
[cm][4]	1
[cm][[22]	1
[cm][b2]	1
[cm][g2]	1
[cm][g3?]	1
[cm][playable	1
[cm][r5	1
[cm][t28]	1
[cm][t31]	1
[cm][t4]	1
[cm][t5]	1
[cm]b3	1
[cm]b3?	1
[cm]b4?	1
[cm]blue	1
[cm]fix?	1
[cm]g4p4	1
[cm]i	1
[cm]maybe	1
[cm]p3?	1
[cm]r3?	1
[cm]r4	1
[cm]sorry	1
[cm]tccm	1
[cm]why?	1
[cm]y4	1
[cm]y4?	1
[cm]y5	1
[f]!r2	1
[f][i3	1
[f][l1]	1
[f][p2]	1
[f][playable?]	1
[f][probably	1
[f][r3]	1
[f][y1]	1
[f][y4]	1
[f]b1?	1
[f]b2	1
[f]could	1
[f]g2	1
[f]l3	1
[f]maybe	1
[f]nope	1
[f]playable?	1
[f]r2	1
[f]safe	1
[f]shadow?	1
[f]something	1
[f]y3	1
[g3	1
[g3y3]	1
[g4]	1
[i3]	1
[m2]	1
[n2]	1
[r1]	1
[r4]	1
[r4m35]	1
[t10][!4]	1
[t26]	1
[t37	1
[y2]	1
[y3][f]	1
[y4]	1
\\n2	1
about	1
aces	1
afterall	1
afterall]	1
again	1
again:(	1
again:(]	1
ambig	1
another	1
any	1
arp	1
asdsa	1
asxeto	1
at	1
b2i4	1
b2m3	1
b34	1
b4/	1
b4?g4	1
bb2	1
became	1
bgr	1
blind	1
blue)	1
bluff]	1
bombed	1
both	1
brave	1
brp	1
bygr	1
byr	1
c234	1
c2i5	1
choice	1
chopmove	1
clues	1
cluethis	1
cm/?????	1
cmt36	1
crit	1
