Note	Frequency (193362 in total)
yp	31
!r5	30
b34	30
c4	30
desynced	30
dupes	30
gm1	30
jeez	30
opc	30
risk	30
shouldn't	30
ugh	30
wouldn't	30
already	29
bm1	29
context	29
gr	29
here's	29
lmao	29
looked	29
m45	29
needed	29
possible	29
suspects	29
t46	29
unnecessary	29
2s	28
<---	28
[i2]	28
bg	28
brown	28
finessed	28
getting	28
he's	28
rm1	28
screamed	28
shoot	28
somewhere	28
0%	27
[g5]	27
burn	27
desync	27
done	27
eject	27
forgot	27
g45	27
lord	27
never	27
shadow	27
thing	27
90%	26
:d	26
[i3]	26
[i4]	26
br	26
cards	26
dangerous	26
discharge	26
kinda	26
left	26
m34	26
phew	26
sd	26
t48	26
take	26
totally	26
trying	26
!g5	25
*maybe*	25
3/4	25
[3	25
[45]	25
[tocm]	25
cluing	25
currently	25
gm	25
ignition	25
interesting	25
loaded	25
means	25
null	25
real	25
shit	25
tbh	25
white	25
y45	25
*this*	24
attempt	24
bit	24
cms	24
discards	24
gets	24
give	24
locked	24
say	24
than	24
things	24
try	24
which	24
!m3	23
///	23
/o\\	23
3s	23
[f]?	23
[r3	23
[u3	23
a1	23
dear	23
delay	23
discarded	23
lose	23
possibly	23
purge	23
screwed	23
t49	23
t50	23
worst	23
!playable	22
3bluff	22
4]	22
5ish	22
[y1]	22
a5	22
coming	22
d	22
free	22
hinted	22
l	22
less	22
lvl	22
omni	22
once	22
oopb	22
piper's	22
s4	22
spooky	22
suppose	22
they	22
/shrug	21
4/5	21
[!b]	21
[g1]	21
[m4]	21
expecting	21
hmmmmm	21
instead	21
line	21
literally	21
promise	21
rank	21
rm	21
saved	21
!3	20
4s	20
[cm]?	20
[g3	20
[i]	20
available	20
basically	20
called	20
duh	20
except	20
gy	20
him	20
illegal	20
mean	20
our	20
pass	20
prooobably	20
rgb	20
single	20
slight	20
what's	20
ygb	20
!	19
!b3	19
!b4	19
!g2	19
2/5	19
[i5]	19
[o2]	19
[r	19
anxiety	19
bcme	19
certain	19
cm:	19
derp	19
expected	19
let's	19
order	19
p23	19
pray	19
ri	19
science	19
second	19
tp	19
turn	19
uhhhh	19
uhoh	19
wanted	19
were	19
!r4	18
(not	18
->	18
[b5]	18
[p]	18
[r5]	18
ambiguous	18
fairly	18
he'll	18
kyle	18
luck	18
n45	18
nah	18
patch	18
riperonis	18
sarcastic	18
shenanigans	18
surprised	18
sus	18
zero	18
!y5	17
(	17
8c	17
95%	17
[5]?	17
[g	17
[m2]	17
[m3]	17
[r2	17
[y4	17
[y5]	17
awkward	17
fair	17
fucked	17
gw	17
indeed	17
l5	17
looking	17
lost	17
matching	17
o_o	17
reclue	17
review	17
rm2	17
stalls	17
t53	17
u45	17
!i	16
!i5	16
*probably*	16
*really*	16
--	16
[1]	16
[p3]	16
[stale]	16
aren't	16
b4]	16
bi	16
c1	16
damn	16
drawn	16
eventually	16
ever	16
fancy	16
gave	16
gi	16
incredibly	16
junk	16
kick	16
m234	16
most	16
p34	16
perhaps	16
review:	16
s1	16
s3	16
sadly	16
sweet	16
t51	16
target	16
tell	16
tried	16
trusting	16
us	16
wrong	16
yet	16
ym1	16
!g4	15
'known'	15
2345	15
4db	15
[!g]	15
[o3]	15
[p4]	15
[r5	15
[u2	15
[y3	15
\\o\\	15
b]	15
bm5	15
doubtful	15
dumptruck	15
extremely	15
high	15
inversion	15
lololol	15
m5]	15
mild	15
n125	15
n5]	15
otherwise	15
piano	15
priority	15
safety	15
self-finesse	15
vs	15
!b2	14
!i1	14
!n5	14
!r2	14
!r3	14
(otherwise	14
2nd	14
[4	14
[g4	14
[u3]	14
[u5]	14
always	14
apparently	14
blind-play	14
c5	14
clearly	14
consider	14
count	14
deferred	14
