Note	Frequency (186092 in total)
t40:	37
tried	37
were	37
worth	37
!p	36
away	36
em	36
gotten	36
help	36
invalid	36
left	36
shoot	36
t41:	36
totally	36
until	36
y23	36
y34	36
!i3	35
2k	35
anything	35
bombing	35
die	35
drcm	35
getting	35
i'd	35
later	35
m25	35
scb	35
toss4	35
var	35
w5	35
[sdcm]	34
disallowed	34
except	34
piano	34
start	34
wanted	34
!b5	33
!g2	33
!i	33
!y3	33
24	33
c3	33
e1r:	33
e2c:	33
fine	33
fixme	33
focused	33
fs[cm]	33
implied	33
line	33
m34	33
misplay	33
once	33
r45	33
rs[cm]	33
these	33
!n1	32
def	32
drop[cm]	32
foc	32
longer	32
ntocm	32
seat	32
t44:	32
useful	32
visible	32
???	31
bj	31
bluffed	31
c5	31
chance	31
d1c:	31
e1c:	31
feel	31
gave	31
got	31
jeff	31
m45	31
mean	31
tf[cm]	31
they	31
well	31
4g	30
4r	30
a5	30
c1	30
cr[cm]	30
exist	30
gent	30
kakashi	30
kill	30
l4	30
lemme	30
many	30
note	30
o34	30
q	30
tc[cm]?	30
thinking	30
ufcm	30
unsafe	30
!g4	29
back	29
believe	29
charm	29
could've	29
earlier	29
ejection	29
jack	29
jerry	29
lose	29
mbmb	29
point	29
u25	29
understand	29
yet	29
3r	28
discharge	28
finessed	28
l2	28
l3	28
rb	28
t36:	28
using	28
weird	28
!r5	27
345	27
??	27
b/g	27
because	27
entirely	27
expect	27
going	27
i'll	27
indeed	27
kekw	27
misprio	27
n34	27
ooo	27
push	27
rather	27
reason	27
rg	27
t1	27
!m2	26
!o3	26
!r2	26
4w	26
[ocm]	26
anymore	26
d1r:	26
directly	26
gb	26
i45	26
little	26
matches	26
r/g	26
selfish	26
sense	26
single	26
such	26
watch	26
!b2	25
2w	25
3y	25
?	25
blind	25
cause	25
delayed	25
drop	25
epc[cm]	25
fair	25
giving	25
lel's	25
losing	25
misprio'd	25
missing	25
o23	25
ofc	25
ooh	25
ooops	25
pd'd	25
prompts	25
soft	25
sucu	25
t42:	25
t43:	25
take	25
tf	25
there's	25
touching	25
true	25
unlock	25
!i4	24
!r4	24
!y5	24
2r	24
2y	24
clear	24
cm'ing	24
defer	24
gives	24
ooof	24
say	24
sephi	24
things	24
u45	24
wants	24
y45	24
!i5	23
!m1	23
ahhh	23
allowed	23
any2	23
d3	23
derek	23
done	23
inde	23
indego's	23
otc[cm]	23
pdb	23
saves	23
touches	23
udd	23
unclueable	23
us	23
yb	23
!g5	22
4k	22
8	22
<--	22
b45	22
d2	22
fixing	22
hakha	22
helana	22
hesitation	22
opportunity	22
phantom	22
prio'd?	22
turns	22
where	22
would've	22
!b4	21
!y2	21
!y4	21
25	21
3w	21
[kt]	21
anxiety	21
ce	21
clearer	21
d2r	21
eject	21
es[cm]	21
everyone	21
floriman	21
gets	21
hmmmm	21
kimbi	21
layered	21
literally	21
made	21
n23	21
n35	21
p23	21
r/y	21
r24	21
risky	21
sccm	21
someone	21
squi	21
t	21
t46:	21
ucm	21
what's	21
woa	21
!k	20
3k	20
4y	20
ahead	20
b/r	20
diff	20
drawing	20
ehh	20
force	20
generation	20
kcm	20
kyle	20
level	20
n345	20
potential	20
rainbow	20
ry	20
tempted	20
thing	20
timo	20
turnabout	20
while	20
yes	20
!n4	19
anyc	19
bg	19
cm'd...	19
deferral	19
g/r	19
hes	19
intend	19
inversion	19
kernel	19
legal	19
mel's	19
nah	19
option	19
rce	19
rcf	19
stalling	19
t47:	19
twice	19
used	19
wow	19
y/g	19
y24	19
!o2	18
5save	18
a1	18
altho	18
asd	18
avan	18
bet	18
big	18
couldn't	18
dpe	18
empathy	18
ez	18
fi	18
g/b	18
g/m	18
go	18
iirc	18
man	18
most	18
passed	18
possible	18
pov	18
r/m	18
rah	18
screamed	18
sd[cm]?	18
supposed	18
tp'd	18
unclued	18
unintended	18
wink	18
yg	18
yup	18
!m5	17
35	17
[tcm]	17
able	17
best	17
cms	17
d4	17
excellent	17
g24	17
greedy	17
him	17
his	17
lanvin's	17
layer	17
lost	17
m234	17
onen	17
poor	17
sadly	17
sfcm	17
srb	17
t45:	17
terrible	17
variant	17
waiting	17
whether	17
!4	16
!o4	16
b/m	16
certain	16
cm]	16
copy	16
correct	16
correctly	16
deferred	16
does'nt	16
duck	16
epc	16
expecting	16
keep	16
kills	16
means	16
n235	16
ncm	16
own	16
required	16
retroactive	16
riding	16
soon	16
t5	16
white	16
wouldn't	16
!m4	15
!o5	15
!w	15
2p	15
aluap	15
any1	15
confusing	15
direct	15
i23	15
imma	15
immediately	15
kopen	15
leave	15
looked	15
nitrate	15
notes	15
odd	15
perfect	15
phew	15
reverse	15
ri	15
shout[cm]	15
sky	15
suboptimal	15
t49:	15
team	15
unknown	15
y/r	15
!a	14
5g	14
5n	14
5nd	14
ahhhh	14
almost	14
avoid	14
bcme	14
blindplays	14
cc[cm]	14
draws	14
dupes	14
duping	14
gray	14
incorrect	14
l5	14
low	14
move	14
n125	14
needed	14
o24	14
pablo	14
permission	14
she	14
sleepy	14
somewhere	14
t53:	14
through	14
transfer	14
u345	14
y/b	14
!n5	13
!o	13
3p	13
[5cm]	13
[null	13
agreed	13
anyway	13
b24	13
br	13
call	13
cocoa	13
count	13
definitely	13
down	13
fairly	13
feels	13
fiora	13
great	13
her	13
i234	13
idrk	13
impossible	13
killed	13
matching	13
meant	13
mistakenly	13
multi	13
n2345	13
neither	13
nooo	13
oooooh	13
r35	13
reads	13
rkass	13
rob	13
safety	13
says	13
shift	13
skcm	13
steal	13
t48:	13
t50:	13
t51:	13
them	13
troll	13
trusts	13
u	13
unfortunately	13
voluntary	13
whole	13
won	13
2n	12
3n	12
:(	12
aren't	12
asa	12
bcm	12
consider	12
considered	12
convention	12
critical	12
e2c	12
ejwu	12
endgame	12
find	12
flori	12
fully	12
gotta	12
gt	12
i've	12
k234	12
km	12
loses	12
match	12
matter	12
mistakes	12
o45	12
pf	12
ppcl	12
problem	12
promises	12
question	12
r/i	12
reclued	12
s	12
sooo	12
stop	12
t56:	12
tells	12
unlikely	12
vs	12
y/m	12
!i1	11
!p3	11
!t	11
15	11
2m	11
2nd	11
4n	11
5dp	11
????	11
ahhhhh	11
anti	11
anyways	11
apply	11
available	11
bco	11
become	11
bluffs	11
bs15	11
c234	11
confusion	11
cost	11
far	11
flush	11
g45	11
gr	11
grief	11
hate	11
here's	11
however	11
ignition	11
invalid/unclueable	11
isa	11
k23	11
l1	11
liar	11
lucky	11
mistaken	11
n245	11
nonsensical	11
number	11
omnis	11
p24	11
patch	11
prompting	11
r2/3	11
rc	11
real	11
realize	11
reasons	11
s3	11
saying	11
sharky	11
skipped	11
spicy	11
stalls	11
swine	11
t21	11
t52:	11
t54:	11
time's	11
u245	11
who	11
xmil	11
yr	11
zam	11
!g1	10
2a	10
2i	10
2save	10
4m	10
5db	10
5stall	10
