Note	Frequency (49719 in total)
t44[f]	8
t9	8
than	8
u5	8
understand	8
up	8
y2345	8
y345	8
ygb	8
ygp	8
!b1	7
!b2	7
!m2	7
-3	7
1's	7
45	7
:'(	7
[1]	7
[3]	7
[cm]??	7
[g4]	7
[r2]	7
[tocm]	7
a2	7
about	7
all	7
bombed	7
bombing	7
certainly	7
confident	7
definitely	7
discarding	7
discards	7
due	7
eject	7
greens	7
hard	7
ignored	7
inversion	7
k234	7
k34	7
keep	7
l4	7
loaded	7
move	7
much	7
o	7
p12	7
promise	7
r234	7
risk	7
ryg	7
same	7
single	7
t	7
t10	7
t14	7
t15[cm]	7
t16[f]	7
t31	7
t37[kt]	7
t42[f]	7
t44:	7
tc[cm]	7
uh	7
well	7
won't	7
works	7
y1e	7
!	6
!b3	6
!b4	6
!g3	6
!g4	6
(probably	6
[2]	6
[b1]	6
[b]	6
[g]	6
a3	6
almost	6
am	6
b12	6
bi	6
c3	6
certain	6
charm	6
come	6
could've	6
demonstrated	6
directly	6
draw	6
fake	6
free	6
fuck	6
g345	6
gave	6
giving	6
globally	6
grr	6
hvp	6
into	6
kinda	6
lock	6
make	6
makes	6
only	6
order	6
pablo	6
possibly	6
pov	6
ptd	6
r12	6
ri	6
ryp	6
schark	6
skipped	6
sorry	6
suboptimal	6
t11	6
t14[f]	6
t16[kt]	6
t19[cm]	6
t20[cm]	6
t23	6
t23[f]	6
t25[cm]	6
t26[f]	6
t29[f]	6
t32[cm]	6
t35[kt]	6
t44[cm]	6
t5[f]	6
t9[kt]	6
thank	6
that's	6
time	6
use	6
using	6
valuable	6
we're	6
whoa	6
wut	6
x2	6
y15s	6
ybp	6
!g5	5
!m5	5
!p5	5
(2?)	5
2pp	5
[g4	5
[pf]	5
[r3	5
[r5]	5
[u]	5
[y2]	5
again	5
although	5
anyway	5
away	5
b234	5
b5]	5
baton	5
black	5
bm1	5
c2	5
choose	5
clearly	5
darn	5
discharge	5
dumb	5
ever	5
failed	5
feel	5
finesse)	5
freaking	5
g3e	5
gray	5
helana	5
horrible	5
i34	5
idea	5
impossible	5
killing	5
let	5
lucky	5
matching	5
mean	5
newduke	5
nonsense	5
note	5
ooo	5
p13	5
p3e	5
pass	5
reclue	5
reverse	5
rgi	5
ri1	5
rz	5
saved	5
second	5
sense	5
t11[kt]	5
t20[kt]	5
t21[cm]	5
t22[f]	5
t25[f]	5
