Username	W(%)	Total games
corys	46.43	28
Cynas	38.31	248
hakha3	36.11	72
Syrah	35.87	92
MarkusKahlsen	34.11	384
jack67889	33.64	214
rachyrules	33.46	257
duckington	33.33	21
sjdrodge	32.22	1223
aquarelle	32.14	84
dobi	32.14	56
kimbifille	31.78	214
Fey	31.77	790
avanderwalde	31.23	301
florrat2	31.11	675
ADrone	30.7	342
colton	30.23	129
boba	30.16	252
dj.narayanan	29.89	87
wortel	29.76	205
HariKrishnan	29.73	185
sankala	29.5	200
Valetta6789	29.33	341
Libster	29.25	1012
qqqq	28.99	414
Instantiation	28.93	477
pianoblook	28.9	557
Floriman	28.87	530
piper	28.66	307
dmigor3	28.57	42
MasN	28.5	193
rkass	28.48	330
ChristopheAF	28.48	151
Pablo-	28.46	383
Daryl	28.1	121
nkkarpov	27.84	194
bjnh	27.78	162
Lel0uch	27.76	508
micerang	27.59	888
VerySloppyTwo	27.57	399
MangoPie	27.45	102
asaelr	27.42	1382
orucsoraihc	27.2	386
Kyle	27.07	942
invarse	27.04	196
Smandon	26.76	71
Livia	26.75	243
ksfortson	26.58	444
scharkbite	26.46	1130
MathNoob	26.46	189
Bot-Fiora	26.25	80
nitawa	26.17	214
RaKXeR	26.11	831
Durandal	25.88	313
Kernel	25.71	140
fishcat	25.71	354
melwen	25.68	1032
sephiroth	25.65	464
Anax	25.58	215
StKildaFan	25.55	677
Nitrate	25.39	256
possum	25.22	341
wump	25.22	567
NoMercy	24.96	637
Zamiel	24.87	1898
swineherd	24.82	282
Asddsa76	24.75	400
BlueNovember	24.73	376
timotree	24.64	1108
Fireheart	24.55	664
Amy2	24.46	327
Nitrate2	24.46	372
Jake_Stiles	24.31	547
duckmammal	24.31	144
Damian000	24.26	169
squirrel1988	24.18	91
anser	24.08	245
TimeHoodie	24.04	441
catula	23.88	423
FerKeth	23.81	63
vEnhance	23.77	265
wolfpack	23.53	187
HelanaAshryvr	23.41	346
Zakisan	23.4	282
padi	22.61	283
Sucubis	22.54	284
kopen	22.53	253
rs1	22.43	107
Denchulitas	22.38	210
duckmedic	21.43	168
willwin4sure	21.28	141
Bonja97	21.12	374
will.i.am	21.07	261
derekcheah	20.65	310
Wittvector	20.62	257
antitelharsic	20.54	745
methmatics	20.44	450
rz	20.18	228
katian	20.1	194
IsabeltheCat	20.0	320
Animex52	19.91	467
skyblueexo	19.89	176
eliclax	19.7	203
Aluap	19.68	564
emilyzhao	19.29	197
Pimak	18.92	259
duckless	18.75	16
newduke	18.52	324
qwertyelmer	18.41	201
Spieler42	18.39	397
Razvogor	18.34	289
Dr_Kakashi	18.26	1205
IAMJEFF	18.05	133
sin_faith	17.81	702
indego	17.27	388
DarthGandalf	16.88	231
jeff10	15.97	144
TheDaniMan	15.96	758
Lanvin	15.02	233
Div	14.55	213
CaitlinSmith	14.03	556
