Username	W(%)	Total games
Cynas	35.45	299
MathNoob	27.52	327
sjdrodge	26.82	4605
dmigor3	24.88	209
piper	24.78	2659
Fey	24.47	3853
ADrone	24.41	2122
rkass	24.3	1782
anser	24.28	1359
corys	24.19	372
MasN	24.17	451
HariKrishnan	24.14	261
sankala	24.06	424
wortel	23.87	817
micerang	23.68	4380
Syrah	23.65	892
Instantiation	23.6	784
Daryl	23.05	269
wump	23.0	2374
hakha3	22.92	1108
wolfpack	22.66	728
avanderwalde	22.53	1962
qqqq	22.37	1560
Valetta6789	22.37	5837
MarkusKahlsen	22.18	3205
rachyrules	22.14	1251
Pablo-	22.12	3495
Nitrate	21.9	977
asaelr	21.77	5881
qwertyelmer	21.69	498
Smandon	21.58	366
Damian000	21.58	278
florrat2	21.49	2383
fishcat	21.32	957
colton	21.19	793
nitawa	21.03	2121
Nitrate2	21.02	2317
Libster	20.94	3796
rz	20.88	2270
orucsoraihc	20.79	1318
pianoblook	20.79	4565
aquarelle	20.48	1050
vEnhance	20.48	835
Floriman	20.45	3946
jack67889	20.42	1959
bjnh	20.24	1517
timotree	20.07	2895
BlueNovember	19.9	1211
Asddsa76	19.79	965
possum	19.69	1092
eliclax	19.59	832
Zakisan	19.58	1047
emilyzhao	19.46	1403
RaKXeR	19.43	1951
dobi	19.22	2138
MangoPie	19.13	1945
Sucubis	19.03	2134
ksfortson	18.95	1298
derekcheah	18.93	3191
TimeHoodie	18.68	3957
padi	18.47	1175
scharkbite	18.47	7250
Amy2	18.36	1830
NoMercy	18.29	1870
Kernel	18.24	477
Lanvin	18.05	7938
antitelharsic	17.84	2348
boba	17.74	1539
VerySloppyTwo	17.7	2435
invarse	17.58	1456
Pimak	17.58	586
Wittvector	17.54	2879
Denchulitas	17.48	778
Bot-Fiora	17.46	567
kopen	17.41	1614
melwen	17.24	8923
Kyle	17.17	7311
Bonja97	17.16	1620
nkkarpov	17.16	921
StKildaFan	17.16	2780
Anax	17.11	374
swineherd	16.87	1666
methmatics	16.83	903
Livia	16.75	3415
Aluap	16.66	1657
skyblueexo	16.55	586
Lel0uch	16.55	9398
ChristopheAF	16.43	2277
catula	16.26	1353
sephiroth	16.26	4046
willwin4sure	16.26	1199
Spieler42	16.21	919
DarthGandalf	16.15	712
duckmedic	16.1	354
Fireheart	16.06	8786
Div	16.01	687
HelanaAshryvr	15.95	5117
kimbifille	15.94	7191
Animex52	15.92	1319
IAMJEFF	15.86	6917
Jake_Stiles	15.68	4108
duckmammal	15.47	640
FerKeth	15.47	265
IsabeltheCat	15.46	1747
sin_faith	15.31	2698
katian	15.24	1083
rs1	15.2	375
TheDaniMan	15.16	5724
squirrel1988	15.05	2212
Zamiel	14.99	8531
dj.narayanan	14.7	1674
Durandal	14.56	3481
Razvogor	14.33	1179
Dr_Kakashi	13.92	9676
jeff10	13.76	1526
duckless	13.52	244
newduke	12.81	3091
will.i.am	12.75	1938
indego	12.48	7354
CaitlinSmith	11.98	1052
duckington	10.56	142
