player	teammate	wr	wins	games
Zamiel	Doge	11.11	6	54
Zamiel	sankala fan	11.11	8	72
Zamiel	timotree	11.03	15	136
Zamiel	Razvogor	11	23	209
Zamiel	IAMJEFF	10.91	53	486
Zamiel	ADrone	10.39	8	77
Zamiel	Hyakinthus	10.11	19	188
Zamiel	DMoney	9.74	30	308
Zamiel	kooolant	9.72	7	72
Zamiel	kimbifille	9.66	51	528
Zamiel	Fireheart	9.65	93	964
Zamiel	Romain672	9.41	19	202
Zamiel	derekcheah	9.23	6	65
Zamiel	Lel0uch	9.17	11	120
Zamiel	Ptheven	8.33	8	96
Zamiel	Dr_Kakashi	8.31	36	433
Zamiel	newduke	7.62	8	105
Zamiel	indego	6.59	11	167
Zamiel	pianoblook	6.48	16	247
Zamiel	garbo late game	6.1	5	82
Zamiel	gurev	5.88	3	51
Zamiel	sin_faith	5.49	5	91
