player	teammate	wr	wins	games
indego	katian	11.4	22	193
indego	MangoPie	11.4	35	307
indego	jack67889	11.19	15	134
indego	eliclax	11.11	9	81
indego	sephiroth	11.03	30	272
indego	squirrel1988	10.92	19	174
indego	rz	10.65	23	216
indego	ace201	10.61	7	66
indego	Kyle	10.49	15	143
indego	Dr_Kakashi	10.26	20	195
indego	Asddsa76	9.8	5	51
indego	kopen	9.52	10	105
indego	Wittvector	9.49	28	295
indego	VerySloppyTwo	9.41	27	287
indego	hakha3	9.09	7	77
