Username	W(%)	Total games
Cynas	34.14	249
dmigor3	27.59	464
MathNoob	26.02	246
corys	25.99	227
sjdrodge	25.39	4522
Fey	24.96	3489
piper	24.35	2546
Syrah	23.97	780
HariKrishnan	23.94	259
rkass	23.83	1725
wortel	23.83	831
ADrone	23.63	1968
micerang	23.4	4294
Daryl	22.64	265
MarkusKahlsen	22.12	2912
wump	22.11	1954
avanderwalde	21.93	1892
wolfpack	21.86	430
Smandon	21.85	357
Damian000	21.82	275
colton	21.48	768
asaelr	21.45	5804
Nitrate	21.4	785
hakha3	21.36	1166
Nitrate2	21.16	2051
orucsoraihc	20.98	1263
Pablo-	20.97	3233
fishcat	20.88	934
aquarelle	20.75	853
jack67889	20.67	1756
qqqq	20.62	1479
MasN	20.46	567
Floriman	20.22	3931
possum	20.11	935
Instantiation	20.09	906
pianoblook	19.77	4179
boba	19.68	1585
Kernel	19.62	418
rz	19.57	1753
Zakisan	19.53	1055
emilyzhao	19.44	1404
bjnh	19.4	1201
rachyrules	18.96	1973
ksfortson	18.92	1295
Sucubis	18.88	2076
vEnhance	18.75	832
timotree	18.71	2694
Asddsa76	18.69	1097
derekcheah	18.52	2916
Valetta6789	18.52	6594
BlueNovember	18.5	1676
TimeHoodie	18.46	4024
StKildaFan	18.37	2461
nitawa	18.08	1980
cockdestroyer	18.01	1366
MangoPie	18.01	1494
dobi	17.93	1584
scharkbite	17.85	7304
Bot-Fiora	17.65	510
Denchulitas	17.48	778
invarse	17.43	1469
Pimak	17.37	570
kopen	17.28	1597
eliclax	17.21	488
Bonja97	17.19	1606
antitelharsic	17.16	2174
Anax	17.11	374
melwen	16.98	7180
Wittvector	16.93	2362
nkkarpov	16.89	811
Kyle	16.88	7051
swineherd	16.87	1666
skyblueexo	16.67	588
methmatics	16.63	902
Livia	16.62	3441
DarthGandalf	16.51	527
ChristopheAF	16.34	1971
sephiroth	16.23	4054
Animex52	16.08	1275
Lanvin	16.06	5342
Aluap	16.02	1498
VerySloppyTwo	15.99	1907
Lel0uch	15.96	6925
duckmedic	15.84	341
Spieler42	15.81	835
catula	15.72	1221
anser	15.69	2384
HelanaAshryvr	15.65	4184
Jake_Stiles	15.62	4104
Fireheart	15.6	9140
Div	15.48	704
katian	15.36	1074
IsabeltheCat	15.27	1677
rs1	15.2	375
duckmammal	15.0	660
qwertyelmer	14.97	768
kimbifille	14.88	6581
willwin4sure	14.8	1392
TheDaniMan	14.69	5506
FerKeth	14.68	252
sin_faith	14.66	2728
IAMJEFF	14.32	7421
padi	14.23	1497
Durandal	13.83	2588
Dr_Kakashi	13.62	9689
duckless	13.52	244
jeff10	13.38	1547
will.i.am	12.68	1971
squirrel1988	12.36	1553
CaitlinSmith	11.97	1053
dj.narayanan	11.87	2013
newduke	11.57	2732
indego	11.06	5759
duckington	10.56	142
sankala	10.54	1527
Zamiel	10.5	13149
NoMercy	10.18	3792
RaKXeR	7.54	7174
Razvogor	7.04	2769
Libster	6.05	21572
florrat2	5.45	20494
