Player	Alice's WR	Total games as Alice
sjdrodge	25.34	1527
MarkusKahlsen	25.2	1024
kimbifille	21.5	2651
piper	21.48	1257
Valetta6789	21.01	1904
asaelr	20.26	2305
ADrone	20.14	586
Libster	19.62	1616
Floriman	19.28	2235
RaKXeR	19.08	655
Lel0uch	18.81	2291
Fireheart	18.75	2694
IAMJEFF	18.34	2350
pianoblook	18.33	2166
padi	18.31	415
scharkbite	18.3	3137
Lanvin	18.21	2664
florrat2	17.91	1044
melwen	17.49	2916
timotree	17.03	734
Kyle	16.22	3181
Dr_Kakashi	15.92	3060
Nitrate	14.61	267
VerySloppyTwo	14.38	723
sin_faith	14.27	1016
indego	12.39	1889
Zamiel	11.9	4840
