Note	Frequency (39562 in total)
yall	7
0	6
[f]	6
a4	6
attempted	6
avoid	6
b3/4	6
believe	6
blues	6
chance	6
cm'd?	6
consider	6
dani	6
die	6
fine	6
gives	6
happen	6
hell	6
hey	6
ima	6
jake	6
kick	6
layered	6
less	6
literally	6
longer	6
loss	6
m4/5	6
m5->	6
matches	6
mucked	6
n	6
n2/3/4/5	6
nothing	6
p2->	6
p2e->	6
p3/4	6
prism	6
prolly	6
proper	6
purp	6
r3e->	6
r4e->	6
rather	6
shame	6
start	6
starting	6
sucks	6
suspects	6
t11	6
t13	6
t24	6
t26	6
t30	6
t32	6
t36	6
t7	6
thats	6
trying	6
turns	6
u1->	6
u2->	6
udd	6
useful	6
w5->	6
without	6
wouldnt	6
y3/4	6
y4/5	6
1's	5
8clue	5
a1	5
a5->	5
af	5
ago	5
allowed	5
although	5
answer	5
assumed	5
attention	5
b1->	5
b5+m5->	5
bcme	5
bombing	5
bonja	5
cares	5
certainly	5
chose	5
classic	5
clearer	5
cmon	5
crazy	5
cycle	5
decked	5
definitely	5
delayed	5
dirty	5
drew	5
e	5
eject	5
entertain	5
every	5
expecting	5
extra	5
farewell	5
feels	5
figured	5
force	5
fucker	5
g/y3	5
g1->	5
great	5
guy	5
hahahaha	5
hanabi	5
hit	5
hold	5
horrible	5
hux	5
i3/4/5	5
i3/5	5
id	5
ignore	5
leave	5
lib	5
lie	5
life	5
looking	5
luck	5
many	5
markus	5
mice	5
mistake	5
mother	5
myself	5
n4->	5
n5+n2->	5
nah	5
nooo	5
nooooo	5
ohhh	5
oj3	5
our	5
p1->	5
pace	5
pestilent	5
pp	5
prio'd	5
pushed	5
r/g4	5
r4/5	5
reason	5
reclued	5
refresher	5
remember	5
s	5
sad	5
score	5
self-cm	5
such	5
t18	5
tan4->	5
times	5
today	5
twice	5
u2e->	5
unsure	5
utp	5
waste	5
y3->	5
y3/4/5	5
....	4
6	4
95%	4
??	4
a2	4
aight	4
around	4
atm	4
aw	4
b/g3	4
b/r2	4
b/r4	4
b4->	4
b5e->	4
blame	4
bonus	4
broke	4
browns	4
burn	4
caitlin	4
combination	4
completely	4
considered	4
cool	4
deal	4
decide	4
dig	4
discussion	4
dmoney	4
dobi	4
efficiency	4
ezra	4
fillin	4
finesses	4
focused	4
full	4
g2/3	4
g4->	4
g4/5	4
games	4
getting	4
gray	4
happened	4
help	4
him	4
i4x2?->	4
i5->	4
interested	4
kidding	4
l3	4
level	4
little	4
lord	4
love	4
low	4
m2->	4
m3/5	4
m4e->	4
melwen	4
messed	4
mind	4
mine	4
miss	4
missing	4
moves	4
n2/3/5	4
n3/5	4
necessary	4
nervous	4
noice	4
noooo	4
of:	4
oj4->	4
once	4
own	4
p2/3	4
p3e->	4
page	4
pass	4
poor	4
priority	4
pushing	4
r2/3	4
realize	4
realized	4
red1	4
red4	4
redistribute	4
regardless	4
replay	4
review	4
risky	4
round	4
sapphire	4
saving	4
saw	4
screw	4
second	4
sin	4
skipped	4
slightly	4
sumbitch	4
swear	4
t19	4
t20	4
t21	4
t29	4
t3/4	4
t31	4
t39	4
t43	4
t8	4
t9	4
takes	4
talk	4
talked	4
teal	4
they	4
things	4
trusting	4
u2/5	4
untouched	4
vote	4
vs	4
w1->	4
w2->	4
warmup	4
we'll	4
while	4
whole	4
world	4
writes	4
y/b4	4
y3e->	4
youre	4
(unless	3
.	3
0%	3
11	3
5cm	3
5pull	3
90%	3
:\	3
absolutely	3
ahhh	3
ahming	3
anxiety	3
assumes	3
avoiding	3
b/i3	3
b/y4	3
b2-->	3
b3/4/5	3
b4e	3
balls	3
ballsy	3
c1	3
c4	3
came	3
case	3
caused	3
check	3
clandestine	3
clever	3
cms	3
coming	3
considering	3
couldnt	3
cry	3
currently	3
deciding	3
deck	3
declined	3
deep	3
determine	3
digging	3
disagree	3
discussed	3
drop	3
dropped	3
duped	3
duplicated	3
explain	3
fact	3
finally	3
fixes	3
fixing	3
followup	3
fpe	3
free	3
fuckin	3
g/p4	3
g/r3	3
g/r4	3
g2e->	3
g3/i3	3
g5e->	3
gd	3
goddamnit	3
goin	3
guaranteed	3
hesitation	3
highly	3
hole	3
honestly	3
hurt	3
i've	3
i2+i3->	3
i3/4	3
i4->	3
i4x2->	3
ideally	3
ignored	3
indeed	3
jeff	3
justin	3
k2/3/4	3
k4/5	3
killed	3
knew	3
l5	3
lime	3
lul	3
m1e->	3
m2/3	3
m2/3/5	3
m2/4/5	3
m3/4/5	3
m4+m5->	3
making	3
matching	3
matter	3
mistakes	3
moment	3
n2/4/5	3
navy	3
neg	3
negative	3
nicely	3
normally	3
null2	3
null5	3
o3->	3
ofi	3
oo	3
opc	3
others	3
p/g4	3
patch	3
paying	3
perfect	3
pianoblook	3
pipers	3
positionals	3
possible:	3
previous	3
pulling	3
pushes	3
quickly	3
quite	3
r/m5	3
r/y4	3
r1/s	3
r4e-)	3
rank	3
real	3
reds	3
resolve	3
ritz	3
rkass	3
row	3
scb	3
scenario	3
scharks	3
sees	3
set	3
shadow	3
she	3
situation	3
solid	3
someone	3
soon	3
sooner	3
spend	3
spicy	3
spot	3
strange	3
stuff	3
stupid	3
suboptimal	3
suit	3
t15	3
t17	3
t2->	3
t27	3
t3/4/5	3
t33	3
t38	3
t40	3
t42	3
t45	3
t46	3
t57	3
t65	3
tan4	3
thinking	3
touching	3
tricky	3
true	3
u4->	3
u4/5->	3
uncertain	3
unlock	3
unnec	3
went	3
whatevs	3
whew	3
wont	3
worked	3
x2	3
xmil	3
y/m4	3
y/r4	3
y2/4	3
y5->	3
ye	3
#2	2
(not	2
2's	2
2/5	2
23	2
2nd	2
2p	2
2x	2
34	2
3bluffs	2
3rd	2
7	2
80%	2
99.9%	2
???	2
a5	2
abandon	2
abuse	2
ahead	2
applies	2
arent	2
argue	2
ask	2
asked	2
ass	2
assuming	2
aware	2
awesome	2
b/g2	2
b/g3->	2
b/g4	2
b/m1	2
b/m3	2
b/p4	2
b2e	2
b3+g2	2
b3/m3	2
b4/m4	2
b4/r4	2
b4s	2
b5/4?	2
badly	2
banking	2
based	2
beautiful	2
becomes	2
bet	2
blaze	2
bleh	2
bluff/	2
board	2
bom	2
brutal	2
bubblegum	2
bud	2
bunch	2
c2	2
c3	2
carunty	2
causes	2
charms	2
cheeky	2
cluable	2
cm/	2
comin	2
comp	2
confident	2
confusion	2
contextually	2
correct	2
da	2
dark	2
dead	2
depending	2
desparate	2
diff	2
digs	2
directly	2
discardable	2
doin	2
drawing	2
drawn	2
duck	2
dug	2
dupe	2
duper	2
durn	2
earlier	2
echo	2
educate	2
eh/	2
ejected	2
em	2
end	2
exact	2
excited	2
excuse	2
exist	2
expect	2
explanation	2
fair	2
fast	2
feelsbad	2
fill-in	2
finessing	2
fischat	2
fishcats	2
floriman	2
flush	2
followed	2
fool	2
ftl	2
ftw	2
fucking	2
future	2
g/b2	2
g/b4	2
g/i2	2
