Note	Frequency (31123 in total)
m23	3
many	3
matter	3
may	3
mean	3
meh	3
mess	3
next	3
nitrate2	3
nobody	3
nothing	3
obviously	3
ones	3
opc	3
pf	3
pianoblook	3
please	3
position	3
possible	3
prefer	3
psychic	3
r23	3
rainbow	3
redistribute	3
resolve	3
sadly	3
second	3
seph's	3
somehow	3
stalling	3
steal	3
stomp	3
stomping	3
swine	3
t45	3
t51	3
t52	3
target	3
tells	3
thedaniman's	3
these	3
thinking	3
though	3
touched	3
tricky	3
trusts	3
turns	3
unlucky	3
unsure	3
valid	3
variant	3
very	3
w	3
where	3
whether	3
while	3
who	3
won't	3
wonder	3
wow	3
!4	2
!a5	2
!b3	2
!m3	2
!m4	2
!r4	2
!t	2
!w4	2
!y2	2
!y5	2
(also	2
(and	2
(g1)	2
(i	2
(m1)	2
(o1)	2
(probably	2
(r1)	2
(r4)	2
(this	2
(y3)	2
+	2
0	2
1)	2
1-for-1	2
1ce	2
2)	2
7	2
:'(	2
[b3]	2
[b3]?	2
[b4]	2
[b5]	2
[bp3]	2
[g3]	2
[g3]?	2
[g5]?	2
[i2]	2
[n5]	2
[p4]	2
[r1]	2
[r2]	2
[u]	2
[unclued]	2
[y2]	2
a5	2
actual	2
afterwards	2
ahah	2
animex	2
anti	2
apply	2
b2/m2	2
blind-plays	2
bluffed	2
by	2
c3	2
c4	2
castles	2
christophe	2
clandestine	2
click	2
complicated	2
consider	2
convention	2
conventionally	2
conventions	2
convinced	2
defer	2
delay	2
despite	2
drawing	2
duplicating	2
easier	2
easily	2
efficiency	2
ending	2
exist	2
expecting	2
extremely	2
f3	2
fair	2
fear	2
feel	2
feels	2
feich	2
find	2
fine	2
fixing	2
floriman	2
for...someone?	2
forever	2
forget	2
forgotten	2
fresh	2
full	2
g2s	2
g7	2
gd	2
given	2
half	2
hanabiplus	2
honzas	2
i'd	2
ignition	2
interpreted	2
inverted	2
jack's	2
k234	2
kalisa	2
kill	2
kills	2
kimbi's	2
l2	2
l3	2
later	2
lel0uch	2
lies	2
light	2
likely	2
lock	2
looking	2
lpc	2
made	2
mb	2
means	2
messed	2
micerang	2
mind	2
misprompt	2
missing	2
necessary	2
nevermind	2
newduke	2
nils	2
nitawa	2
no-information	2
noes	2
nooooo	2
o	2
o23	2
o34	2
off	2
off-chop	2
oooh	2
ooooh	2
own	2
p7	2
pace	2
padi's	2
pass	2
perfect	2
perspective	2
pgy	2
plus	2
plus'	2
pm23	2
prism	2
promised	2
promises	2
protect	2
ps	2
pulling	2
puzzle	2
qbphoenix	2
r0	2
r24	2
r2s	2
r57	2
r7	2
real	2
redistribution	2
reds	2
require	2
reversed	2
risk	2
rob	2
rs	2
s3	2
s5	2
sad	2
same	2
saves	2
scharkbite's	2
sdcm	2
seat	2
seeing	2
self	2
self-cm	2
seriously	2
single	2
soft	2
sorryyyy	2
speedrun	2
stomped	2
stop	2
stuck	2
stuff	2
sucubis	2
suit	2
swineherd	2
t48	2
t50	2
t53	2
t55	2
table	2
taken	2
taking	2
talk	2
teal	2
terrible	2
thank	2
they	2
timotree	2
took	2
touches	2
triple	2
true	2
ts	2
twice	2
tyrcho	2
u1	2
unlikely	2
urgent	2
used	2
useful	2
valetta	2
waiting	2
wanted	2
weak	2
went	2
worst	2
y7	2
yay	2
!a4	1
!b1	1
!b2	1
!g3?	1
!i2	1
!i3	1
!i4	1
!k3	1
!m5	1
!n5	1
!p4	1
!p5?	1
!t5	1
!w2	1
!y1	1
(5	1
(as	1
(b3)	1
(because	1
(but	1
(does	1
(filthy	1
(from	1
(g3)	1
(hard	1
(he	1
(ignoring	1
(locked	1
(lucky!)	1
(m2)	1
(missed?	1
(not	1
(o4)	1
(p1)	1
(p3)	1
(playable)	1
(played	1
(r2)	1
(r3)	1
(save	1
(t4)	1
(time	1
(unless	1
(unsure	1
(w1/m1).	1
(well	1
(y5)/y3?	1
)	1
-->	1
0-for-1	1
100%	1
14	1
17).	1
2-saved	1
20	1
28	1
29	1
2xg4	1
3)	1
3-for-1	1
30	1
3rd	1
4-for-1!	1
5/2	1
51	1
5]	1
5pp	1
6	1
63	1
64	1
7-for-1	1
9	1
99%	1
:'(((	1
:)	1
:c	1
<-	1
<3	1
