player	variant	game_id	bdr
ADrone	Black (5 Suits)	86590	8
ADrone	Up or Down & Muddy Rainbow (6 Suits)	745047	7
ADrone	Rainbow (6 Suits)	746659	7
ADrone	Rainbow (6 Suits)	754154	7
ADrone	No Variant	86003	6
ADrone	Rainbow (6 Suits)	108036	6
ADrone	White-Ones & Brown (6 Suits)	264646	6
ADrone	Rainbow (6 Suits)	303681	6
ADrone	Rainbow (6 Suits)	376828	6
ADrone	Dual-Color Mix	409041	6
ADrone	Rainbow & Dark Pink (6 Suits)	686316	6
ADrone	No Variant	743959	6
ADrone	Rainbow (6 Suits)	83410	5
ADrone	No Variant	86023	5
ADrone	No Variant	88575	5
ADrone	No Variant	89526	5
ADrone	No Variant	90333	5
ADrone	Rainbow & White (5 Suits)	94940	5
ADrone	Pink & Brown (5 Suits)	157502	5
ADrone	Pink & Brown (5 Suits)	246206	5
ADrone	Up or Down (5 Suits)	275314	5
ADrone	No Variant	280254	5
ADrone	Null (5 Suits)	291795	5
ADrone	Up or Down & White (5 Suits)	331234	5
ADrone	No Variant	392620	5
ADrone	No Variant	451230	5
ADrone	Null (5 Suits)	502316	5
ADrone	Null (5 Suits)	503695	5
ADrone	Up or Down & Brown (5 Suits)	519454	5
ADrone	Clue Starved & Omni (6 Suits)	608975	5
ADrone	Omni & Muddy Rainbow (6 Suits)	631949	5
ADrone	Clue Starved (6 Suits)	700160	5
ADrone	No Variant	742961	5
ADrone	Black & Pink (6 Suits)	760270	5
ADrone	Muddy Rainbow (6 Suits)	763610	5
ADrone	Prism & Gray (6 Suits)	764862	5
ADrone	White & Dark Pink (6 Suits)	775238	5
ADrone	No Variant	77954	4
ADrone	Brown (6 Suits)	80787	4
ADrone	No Variant	81128	4
ADrone	Rainbow (5 Suits)	82597	4
ADrone	No Variant	85808	4
ADrone	Black & White (6 Suits)	87843	4
ADrone	Black & White (6 Suits)	87846	4
ADrone	No Variant	87999	4
ADrone	Black (6 Suits)	88053	4
ADrone	No Variant	90360	4
ADrone	No Variant	91415	4
ADrone	Dark Rainbow (5 Suits)	96677	4
ADrone	No Variant	97759	4
ADrone	No Variant	98585	4
ADrone	No Variant	104913	4
ADrone	No Variant	105938	4
ADrone	No Variant	114657	4
ADrone	Omni & Muddy Rainbow (6 Suits)	126529	4
ADrone	Light Pink (5 Suits)	130633	4
ADrone	Up or Down (5 Suits)	136611	4
ADrone	Omni-Ones (5 Suits)	192730	4
ADrone	Rainbow & Brown (5 Suits)	230674	4
ADrone	Gray Reversed (5 Suits)	248791	4
ADrone	No Variant	251205	4
ADrone	Extremely Ambiguous (6 Suits)	251237	4
ADrone	Prism (5 Suits)	290122	4
ADrone	Cocoa Rainbow (6 Suits)	294362	4
ADrone	Rainbow (6 Suits)	305697	4
ADrone	Omni (6 Suits)	314473	4
ADrone	No Variant	323872	4
ADrone	Up or Down (5 Suits)	324745	4
ADrone	Pink (6 Suits)	324772	4
ADrone	No Variant	388346	4
ADrone	Pink (5 Suits)	397805	4
ADrone	Null (5 Suits)	401454	4
ADrone	Black (6 Suits)	404183	4
ADrone	Black & White (6 Suits)	405203	4
ADrone	Dual-Color Mix	409070	4
ADrone	Pink (6 Suits)	465987	4
ADrone	Pink & Light Pink (5 Suits)	466391	4
ADrone	Rainbow & Omni (6 Suits)	469118	4
ADrone	Rainbow & Omni (6 Suits)	469150	4
ADrone	Prism Reversed (5 Suits)	479615	4
ADrone	Pink (6 Suits)	483988	4
ADrone	Pink (5 Suits)	501354	4
ADrone	Rainbow & White (6 Suits)	517819	4
ADrone	Up or Down & Brown (5 Suits)	519436	4
ADrone	Pink & Muddy Rainbow (6 Suits)	564328	4
ADrone	Black (6 Suits)	585552	4
ADrone	Pink & Brown (5 Suits)	595432	4
ADrone	White (6 Suits)	627605	4
ADrone	Omni (6 Suits)	660446	4
ADrone	No Variant	662121	4
ADrone	White-Ones & Rainbow (6 Suits)	663302	4
ADrone	Light-Pink-Fives & Cocoa Rainbow (6 Suits)	666440	4
ADrone	Brown & Light Pink (5 Suits)	667445	4
ADrone	Rainbow & Null (6 Suits)	668742	4
ADrone	Gray (6 Suits)	669853	4
ADrone	Rainbow & Brown (6 Suits)	682664	4
ADrone	Rainbow (6 Suits)	700086	4
ADrone	Rainbow & Prism (6 Suits)	738313	4
ADrone	Rainbow (5 Suits)	753646	4
ADrone	Black & Light Pink (6 Suits)	755616	4
ADrone	Prism & Gray (6 Suits)	764869	4
ADrone	Rainbow-Ones (6 Suits)	785974	4
ADrone	No Variant	77767	3
ADrone	No Variant	79691	3
ADrone	No Variant	79877	3
ADrone	No Variant	82753	3
ADrone	No Variant	84537	3
ADrone	Pink (5 Suits)	84602	3
ADrone	Black (6 Suits)	85887	3
