player	game_id	variant	bdr
ADrone	194352	Brown & Null (4 Suits)	3
ADrone	212188	Rainbow (6 Suits)	3
ADrone	212231	No Variant	3
ADrone	220960	Rainbow (6 Suits)	3
ADrone	221151	Rainbow (6 Suits)	3
ADrone	224498	Special Mix (6 Suits)	3
ADrone	230599	Up or Down (5 Suits)	3
ADrone	231999	White & Muddy Rainbow (6 Suits)	3
ADrone	237980	Pink-Fives (6 Suits)	3
ADrone	247869	Light Pink (5 Suits)	3
ADrone	248469	Rainbow (6 Suits)	3
ADrone	248766	Gray Reversed (5 Suits)	3
ADrone	256490	Dual-Color (6 Suits)	3
ADrone	260914	Dual-Color (6 Suits)	3
ADrone	260954	Dual-Color (6 Suits)	3
ADrone	264457	Pink-Ones & Pink (6 Suits)	3
ADrone	264891	Cocoa Rainbow (5 Suits)	3
ADrone	265543	Dual-Color (6 Suits)	3
ADrone	266487	Dual-Color (6 Suits)	3
ADrone	271194	Brown & Gray (5 Suits)	3
ADrone	291384	Prism (5 Suits)	3
ADrone	295851	No Variant	3
ADrone	300247	Rainbow (6 Suits)	3
ADrone	301614	Rainbow (6 Suits)	3
ADrone	303758	Rainbow (6 Suits)	3
ADrone	305808	Rainbow (6 Suits)	3
ADrone	307039	Rainbow (6 Suits)	3
ADrone	307124	Rainbow (6 Suits)	3
ADrone	308085	Rainbow (6 Suits)	3
ADrone	314458	Omni (6 Suits)	3
ADrone	318194	Gray (6 Suits)	3
ADrone	318459	Dark Omni (5 Suits)	3
ADrone	328480	Gray (6 Suits)	3
ADrone	331268	Up or Down & Omni (5 Suits)	3
ADrone	359396	Light Pink (6 Suits)	3
ADrone	359457	Null (5 Suits)	3
ADrone	379605	Muddy Rainbow (5 Suits)	3
ADrone	384132	Rainbow & White (6 Suits)	3
ADrone	386234	Dual-Color (5 Suits)	3
ADrone	387366	Dual-Color & White (6 Suits)	3
ADrone	390946	Deceptive-Ones & Black (6 Suits)	3
ADrone	392599	No Variant	3
ADrone	392667	No Variant	3
ADrone	394962	Dual-Color Mix	3
ADrone	396812	No Variant	3
ADrone	398117	Dual-Color & Dark Brown (6 Suits)	3
ADrone	411606	Rainbow & Pink (6 Suits)	3
ADrone	411998	Dual-Color Mix	3
ADrone	412077	Dual-Color Mix	3
ADrone	412646	No Variant	3
ADrone	419246	Pink-Fives & Brown (6 Suits)	3
ADrone	425655	White (6 Suits)	3
ADrone	438623	Rainbow & Gray (6 Suits)	3
ADrone	445728	Throw It in a Hole (6 Suits)	3
ADrone	458115	Rainbow-Ones (6 Suits)	3
ADrone	463177	Clue Starved & Null (5 Suits)	3
ADrone	466438	Pink & Light Pink (5 Suits)	3
ADrone	474126	Light Pink & Prism (5 Suits)	3
ADrone	474153	Brown & Muddy Rainbow (6 Suits)	3
ADrone	499156	Null (5 Suits)	3
ADrone	502909	Gray Reversed (5 Suits)	3
ADrone	503065	Prism (5 Suits)	3
ADrone	519445	Up or Down & Brown (5 Suits)	3
ADrone	522258	No Variant	3
ADrone	531765	No Variant	3
ADrone	532827	Black & White (6 Suits)	3
ADrone	533784	Light Pink & Prism (6 Suits)	3
ADrone	535161	No Variant	3
ADrone	593048	Up or Down & Rainbow (5 Suits)	3
ADrone	662145	No Variant	3
ADrone	666708	6 Suits	3
ADrone	678463	Rainbow-Ones & White (5 Suits)	3
ADrone	679585	No Variant	3
ADrone	680521	Gray Pink (6 Suits)	3
ADrone	681615	Null (4 Suits)	3
ADrone	683260	No Variant	3
ADrone	687264	Dark Prism (6 Suits)	3
ADrone	689797	Rainbow-Ones & Muddy Rainbow (6 Suits)	3
ADrone	690373	Rainbow & Gray Pink (6 Suits)	3
ADrone	691225	Black (5 Suits)	3
ADrone	691851	6 Suits	3
ADrone	697718	Rainbow (6 Suits)	3
ADrone	708027	Black & Omni (6 Suits)	3
ADrone	726821	Null & Prism (6 Suits)	3
ADrone	731135	White-Ones & Dark Brown (6 Suits)	3
ADrone	731770	Rainbow-Fives & White (6 Suits)	3
ADrone	732409	White & Muddy Rainbow (6 Suits)	3
ADrone	732688	No Variant	3
ADrone	740174	Rainbow & White (5 Suits)	3
ADrone	743444	Pink & Brown (6 Suits)	3
ADrone	744037	No Variant	3
ADrone	746790	6 Suits	3
ADrone	753238	Brown (6 Suits)	3
ADrone	754090	Rainbow (6 Suits)	3
ADrone	754572	No Variant	3
ADrone	756171	Black (6 Suits)	3
ADrone	760303	Black & Pink (6 Suits)	3
ADrone	760863	Brown & Dark Pink (6 Suits)	3
ADrone	761032	No Variant	3
ADrone	761997	Black & Omni (6 Suits)	3
ADrone	763635	Muddy Rainbow (6 Suits)	3
ADrone	768528	No Variant	3
ADrone	771904	No Variant	3
ADrone	779099	White (6 Suits)	3
ADrone	788694	Pink (6 Suits)	3
ADrone	791081	Omni & Prism (6 Suits)	3
ADrone	793538	Rainbow (6 Suits)	3
ADrone	794668	White & Dark Brown (6 Suits)	3
asaelr	57204	Up or Down (6 Suits)	8
asaelr	39187	Brown (6 Suits)	7
asaelr	43111	6 Suits	7
asaelr	47161	6 Suits	7
asaelr	74520	Extremely Ambiguous (6 Suits)	7
asaelr	76157	Dual-Color (6 Suits)	7
asaelr	656848	Rainbow & White (6 Suits)	7
asaelr	696768	Up or Down & Omni (6 Suits)	7
asaelr	37385	No Variant	6
asaelr	42351	Black & White (6 Suits)	6
asaelr	42729	Black & Brown (6 Suits)	6
asaelr	43378	Dark Pink (6 Suits)	6
asaelr	43721	6 Suits	6
asaelr	43825	Rainbow (6 Suits)	6
asaelr	44299	Black (6 Suits)	6
asaelr	47122	6 Suits	6
asaelr	48165	Brown (6 Suits)	6
asaelr	50148	No Variant	6
asaelr	52765	Rainbow & White (6 Suits)	6
asaelr	53472	Dark Pink (6 Suits)	6
asaelr	57921	Black & Brown (6 Suits)	6
asaelr	60819	Up or Down & Rainbow (6 Suits)	6
asaelr	63033	Gray Pink (6 Suits)	6
asaelr	72334	Rainbow (6 Suits)	6
asaelr	75085	Dual-Color (6 Suits)	6
asaelr	79078	Rainbow & White (5 Suits)	6
asaelr	144732	No Variant	6
asaelr	169198	No Variant	6
asaelr	196739	Pink-Fives & Dark Brown (6 Suits)	6
asaelr	231114	Rainbow (6 Suits)	6
asaelr	239129	Reversed (6 Suits)	6
asaelr	244134	Rainbow (6 Suits)	6
asaelr	258940	Black (6 Suits)	6
asaelr	288220	6 Suits	6
asaelr	304600	Prism (6 Suits)	6
asaelr	312685	Black (6 Suits)	6
asaelr	354323	Pink & Prism (6 Suits)	6
asaelr	497428	Null (5 Suits)	6
asaelr	551471	Black & Muddy Rainbow (6 Suits)	6
asaelr	617192	Rainbow-Ones & Pink (6 Suits)	6
asaelr	719426	White (6 Suits)	6
asaelr	795668	Rainbow & White (5 Suits)	6
asaelr	36110	No Variant	5
asaelr	38767	No Variant	5
asaelr	39184	Brown (6 Suits)	5
asaelr	39492	No Variant	5
asaelr	39546	Pink (6 Suits)	5
asaelr	42329	6 Suits	5
asaelr	42538	Black & White (6 Suits)	5
asaelr	43403	6 Suits	5
asaelr	44114	Black (6 Suits)	5
asaelr	46583	No Variant	5
asaelr	46600	Rainbow (6 Suits)	5
asaelr	47384	Up or Down (6 Suits)	5
asaelr	47458	White (6 Suits)	5
asaelr	47711	Rainbow (6 Suits)	5
asaelr	48302	Rainbow (6 Suits)	5
asaelr	49239	No Variant	5
asaelr	49421	6 Suits	5
asaelr	49438	4 Suits	5
asaelr	53812	Rainbow & Pink (6 Suits)	5
asaelr	53830	Pink (6 Suits)	5
asaelr	54156	Pink (6 Suits)	5
asaelr	56803	White (6 Suits)	5
asaelr	60129	Rainbow (6 Suits)	5
asaelr	61642	No Variant	5
asaelr	61787	Up or Down (6 Suits)	5
asaelr	63154	Rainbow & White (6 Suits)	5
asaelr	63765	Up or Down & Brown (5 Suits)	5
asaelr	65901	6 Suits	5
asaelr	68410	6 Suits	5
asaelr	71312	Dark Rainbow (6 Suits)	5
asaelr	74514	Extremely Ambiguous (6 Suits)	5
asaelr	75084	Dual-Color (6 Suits)	5
asaelr	75112	Brown (5 Suits)	5
asaelr	77347	Up or Down & Pink (5 Suits)	5
asaelr	102947	No Variant	5
asaelr	105845	6 Suits	5
asaelr	143644	Rainbow & Light Pink (5 Suits)	5
asaelr	168883	No Variant	5
asaelr	180045	Pink (6 Suits)	5
