Players	Avg eff	Num of games
newduke, newsun, Onen	1.45	2
nitawa, Sucubis, XMIL	1.45	3
ADrone, avanderwalde, rkass	1.44	2
CIken, McPhisto2051, MKQ, yvi	1.44	3
Dr_Kakashi, IAMJEFF, micerang	1.44	2
Dr_Kakashi, indego, TheDaniMan	1.44	2
FrozenStella, GameConqueror, ReaverSe, sinuni_hung	1.44	5
ace201, HelanaAshryvr, kooolant	1.44	2
asaelr, indego, Lanvin, MarkusKahlsen	1.44	2
avanderwalde, bazzy, rkass	1.44	2
awe, IAMJEFF, Jake_Stiles	1.44	3
dobi, indego, timotree	1.44	2
910dan, Cory, Libster, Mike, sankala	1.43	1
ADrone, Kyle, MarkusKahlsen	1.43	1
ADrone, kacasey1, maxeymo, Shadourow, Tailz	1.43	1
Amy2, MarkusKahlsen, nitawa, TimeHoodie, Veexliat	1.43	1
Amy2, newduke, timotree	1.43	1
Andrew_UK, pianoblook, piper, scharkbite, Valetta6789	1.43	1
BlameItOnRaz, James, RaKXeR	1.43	1
Bonja97, jack67889, newduke, robense	1.43	1
Bot-Fiora, Lanvin, rachyrules, TimeHoodie	1.43	1
CaitlinSmith, Kernel, knaphill, Nitrate2, Wittvector	1.43	1
CaitlinSmith, Lanvin, MarkusKahlsen, Syrah, VerySloppyTwo	1.43	1
CaitlinSmith, Nitrate2, Wittvector	1.43	1
Carunty, ChristopheAF, frosty104, katian, Lel0uch	1.43	1
Carunty, joano580, Lanvin	1.43	1
ChristopheAF, Floriman, indego, kevincaseytdk1, pianoblook, Wittvector	1.43	1
ChristopheAF, dobi, Lanvin, Lel0uch, TheDaniMan	1.43	1
ChristopheAF, dobi, ricardodd	1.43	1
ChristopheAF, duckless, indego	1.43	1
ChristopheAF, sephiroth, sin_faith	1.43	1
DMoney, emilyzhao, MarkusKahlsen, squidgetx	1.43	1
DMoney, melwen, sephiroth, TheDaniMan	1.43	1
DaBeast, Lanvin, newsun, TimeHoodie	1.43	1
DarthGandalf, Libster, RaKXeR, wortel	1.43	1
DarthGandalf, kunyavskiy, nkkarpov, Petr	1.43	1
Div, lotem, sin_faith, Sucubis, TimeHoodie, Zakisan	1.43	1
Fedorov, melwen, Ntalakas, ntinta	1.43	2
Fey, Lanvin, MangoPie, nkkarpov, wump	1.43	1
Fey, indego, Lel0uch	1.43	1
Fey, orucsoraihc, rz, wump	1.43	1
Fireheart, Floriman, NoMercy, Valetta6789	1.43	1
Fireheart, IAMJEFF, Livia	1.43	2
Fireheart, Kyle, scharkbite, Valetta6789	1.43	1
Fireheart, kopen, Livia	1.43	1
Floriman, Kyle, LaFayetteX, MarkusKahlsen, XMIL	1.43	1
Floriman, florrat2, scharkbite	1.43	1
Floriman, postmans, scharkbite, Valetta6789	1.43	1
FrozenStella, GameConqueror, QCW, ReaverSe	1.43	1
GameConqueror, ReaverSe, ssh8539	1.43	1
HelanaAshryvr, MarkusKahlsen, newduke, newsun	1.43	1
HelanaAshryvr, joelw, TimeHoodie	1.43	1
HelanaAshryvr, joelw, omegaxis, rahsosprout, Tailz	1.43	1
HelanaAshryvr, kacasey2, mystus, newduke	1.43	1
HelanaAshryvr, kappatosity, newsun, Sturm	1.43	1
HelanaAshryvr, kooolant, Kyle, melwen, newsun	1.43	1
HelanaAshryvr, newduke, RavenGr	1.43	1
IcyPanda, Lanvin, Sturm	1.43	2
IsabeltheCat, lolthisnotderk, louietyj, qqqq, wortel	1.43	1
James, Razgovor, scharkbite	1.43	1
Kyle, ricardodd, sephiroth	1.43	1
Kyle, scharkbite, sephiroth	1.43	1
Lanvin, Lel0uch, macanek, sjdrodge	1.43	1
Lanvin, rachyrules, robense	1.43	1
Lanvin, rahsosprout, TheDaniMan	1.43	1
Lel0uch, melwen, squirrel1988	1.43	2
Lel0uch, newduke, StKildaFan	1.43	2
Libster, NoMercy, RaKXeR	1.43	1
MKQ, Triqueon, yvi	1.43	2
MangoPie, newduke, Sturm, TheDaniMan	1.43	2
ace201, arv, IAMJEFF, newduke, ReaverSe	1.43	1
ace201, dramos, newduke, possum	1.43	1
ace201, newduke, rahsosprout	1.43	1
ace201, rahsosprout, ReaverSe	1.43	1
aitch2, Lanvin, orucsoraihc, yuto	1.43	1
aitch2, asaelr, HelanaAshryvr, MarkusKahlsen, Sturm	1.43	1
ankeszu, hakha3, postmans	1.43	2
antitelharsic, aquarelle, wump	1.43	1
antitelharsic, derekcheah, HelanaAshryvr, Lanvin, melwen, Pablo-	1.43	1
antitelharsic, dobi, jack67889, kevincaseytdk1, Lanvin	1.43	1
antitelharsic, jack67889, Lanvin, wump	1.43	1
aquarelle, ChristopheAF, HelanaAshryvr, rz, voss	1.43	1
asaelr, Fireheart, scharkbite	1.43	3
asaelr, Floriman, micerang, Romain672	1.43	1
asaelr, IAMJEFF, Jake_Stiles	1.43	1
asaelr, Lanvin, Sturm	1.43	2
asaelr, avanderwalde, kevincaseytdk1, Lanvin, MangoPie	1.43	1
asaelr, kappatosity, scharkbite, str8tsknacker, wshull	1.43	1
asaelr, plus, swineherd, TheDaniMan, Veexliat	1.43	1
avanderwalde, hakha3, rkass, TimeHoodie	1.43	1
avanderwalde, rkass, XMIL	1.43	1
bjnh, dobi, kevincaseytdk1, Lel0uch, melwen	1.43	1
catula, IcyPanda, Lanvin	1.43	1
catula, jack67889, sephiroth, Sucubis	1.43	1
charlesfire, Razvogor, ZeNertox	1.43	2
corys, dobi, wortel, xor	1.43	1
craborac, darnley, nkkarpov, Petr, SergeyMelnikov	1.43	1
darnley, DarthGandalf, nkkarpov	1.43	1
derekcheah, dobi, Lel0uch	1.43	2
derekcheah, kimbifille, Lel0uch, pianoblook, piper	1.43	1
dobi, HelanaAshryvr, melwen, newduke, Takis	1.43	1
dobi, ReaverSe, yagami_black	1.43	1
doctorabi, hakha3, Lel0uch, padi	1.43	1
doeo, DrDrej, FrozenWinters, lilyxy, TheDaniMan	1.43	1
eliclax, Fey, louietyj	1.43	1
eliclax, nitawa, Pablo-	1.43	2
florrat2, James, Libster, Razgovor	1.43	1
frosty104, kappatosity, MarkusKahlsen, micerang, omegaxis	1.43	1
frosty104, newduke, Sturm	1.43	1
griff77, HelanaAshryvr, kevincaseytdk1, mystus, nwajfromoz	1.43	1
hakha3, sephiroth, Sucubis, TimeHoodie	1.43	2
indego, James, Lel0uch	1.43	1
indego, jack67889, MarkusKahlsen, sephiroth	1.43	1
indego, kevincaseytdk1, Lanvin	1.43	1
joelwool, melwen, sephiroth	1.43	2
knaphill, Nitrate2, rz, sephiroth, Wittvector	1.43	1
lotem, melwen, Nitrate2, sephiroth	1.43	1
melwen, ntinta, Takis	1.43	2
nitawa, Pablo-, TimeHoodie	1.43	2
qqqq, scharkbite, Sucubis	1.43	1
robense, TimeHoodie, Wittvector	1.43	1
Fey, hakha3, MangoPie	1.42	3
Fireheart, Romain672, Valetta6789	1.42	3
McPhisto2051, MKQ, yvi	1.42	6
amattias, Andreasz, joano580	1.42	3
arv, newduke, Sturm	1.42	3
avanderwalde, emilyzhao, rkass, squidgetx	1.42	2
derekcheah, Lanvin, scharkbite	1.42	2
doeo, DrDrej, lilyxy, TheDaniMan	1.42	6
efaust, kemurphy, sjdrodge	1.42	3
joelw, maxeymo, newduke	1.42	2
Floriman, kimbifille, pianoblook, Valetta6789	1.41	2
hakha3, HelanaAshryvr, Lanvin, melwen	1.41	4
Floriman, kimbifille, pianoblook	1.4	3
Jake_Stiles, James, sankala fan	1.4	2
jeff10, rachyrules, TheDaniMan	1.4	2
3nvy, melwen, TimeHoodie	1.39	1
4head, DarthGandalf, yuto	1.39	1
4head, HelanaAshryvr, indego, TheDaniMan	1.39	1
4head, HelanaAshryvr, kappatosity	1.39	1
4head, arv, Livia, micerang	1.39	1
4head, asaelr, frosty104, macanek	1.39	1
4head, caña, DMoney	1.39	1
4head, kappatosity, MarkusKahlsen	1.39	1
4head, kappatosity, lucasmayer	1.39	1
4head, kappatosity, newduke, newsun	1.39	1
4head, kappatosity, wump	1.39	2
4head, kevincaseytdk1, Lanvin, Lel0uch	1.39	1
4head, louietyj, nishanoire	1.39	1
4head, mystus, newduke	1.39	1
4head, rahsosprout, voss	1.39	1
54321, MarkusKahlsen, TheDaniMan	1.39	1
54321, csmosley5885, ReaverSe	1.39	1
ADrone, Huxley, pianoblook	1.39	1
ADrone, Kyle, Tailz	1.39	1
ADrone, Kyle, piper, robense	1.39	1
ADrone, Kyle, postmans, TimeHoodie	1.39	1
Ahming, BlueNovember, HelanaAshryvr, Nitrate	1.39	1
Aluap, IsabeltheCat, MalachiteMoa	1.39	1
Aluap, antitelharsic, Littleinvad	1.39	1
Aluap, aquarelle, wump	1.39	1
Aluap, melwen, sephiroth	1.39	1
Amy2, Nitrate2, TheDaniMan, Wittvector	1.39	1
Amy2, Pablo-, sephiroth	1.39	1
Amy2, antitelharsic, catula, sephiroth	1.39	1
Amy2, nitawa, Pablo-	1.39	1
Andreasz, kinkajusrevenge, yuto	1.39	1
Andreasz, omegaxis, Sturm	1.39	1
Andrew_UK, Asddsa76, efaust	1.39	1
Animex52, MarkusKahlsen, melwen, padi, piper, sephiroth	1.39	1
Animex52, catula, Sucubis	1.39	2
Animex52, claudiob, honzas, kalisa, sephiroth, will.i.am	1.39	1
Animex52, ejwu, jack67889	1.39	1
Animex52, jack67889, nitawa	1.39	1
Animex52, jack67889, nitawa, penisman, sin_faith	1.39	1
Animex52, penisman, wump	1.39	1
Asddsa76, florrat2, Libster	1.39	1
BlueNovember, HelanaAshryvr, omegaxis	1.39	1
BlueNovember, Nitrate, wortel	1.39	1
BlueNovember, kappatosity, MarkusKahlsen	1.39	1
BlueNovember, vavke, yagami_black	1.39	1
Bonja97, Nitrate2, Pablo-	1.39	1
Bonja97, derekcheah, swineherd	1.39	1
Bonja97, jack67889, Jake_Stiles, Kyle	1.39	1
Bot-Fiora, ChristopheAF, indego, Syrah	1.39	1
Bot-Fiora, Fafrd, griff77	1.39	1
Bot-Fiora, caña, DarthGandalf, newduke	1.39	1
Bot-Fiora, eliclax, newduke, ReaverSe	1.39	1
Bot-Fiora, lucasmayer, newduke, NickLikesFire	1.39	1
Bot-Fiora, qqqq, yuto	1.39	1
CIken, MKQ, Triqueon	1.39	1
Cadenza, maddys, maxeymo, maxupicchu, Simon	1.39	1
CaitlinSmith, Lanvin, rahsosprout	1.39	1
ChristopheAF, HelanaAshryvr, Lanvin, rz	1.39	1
ChristopheAF, Lanvin, MangoPie	1.39	1
ChristopheAF, Lanvin, TheDaniMan	1.39	1
ChristopheAF, MangoPie, vEnhance	1.39	1
ChristopheAF, doctorabi, hakha3	1.39	1
ChristopheAF, doctorabi, melwen, XMIL	1.39	1
ChristopheAF, frosty104, Lel0uch, TimeHoodie	1.39	1
ChristopheAF, indego, MangoPie	1.39	1
ChristopheAF, jeff10, Lanvin	1.39	1
ChristopheAF, nitawa, Nitrate2, Pablo-	1.39	1
Cocorifle, kappatosity, ricardodd	1.39	1
Cory, DMoney, florrat2, James	1.39	1
Cory, James, wortel	1.39	1
Cynas, Kyle, TimeHoodie	1.39	1
Cynas, kimbifille, Kyle	1.39	1
Cynas, macanek, wshull	1.39	1
DMoney, Dr_Kakashi, kimbifille	1.39	1
DMoney, Dr_Kakashi, will.i.am	1.39	1
DMoney, Fireheart, Libster, Romain672	1.39	1
DMoney, Fireheart, florrat2, James	1.39	1
DMoney, IAMJEFF, TheDaniMan	1.39	1
DMoney, Kyle, narabio	1.39	1
DMoney, MarkusKahlsen, padi, will.i.am	1.39	1
DMoney, ReaverSe, sinuni_hung	1.39	1
DMoney, Smandon, timotree	1.39	1
DMoney, TheDaniMan, TimeHoodie	1.39	1
DMoney, joano580, newsun	1.39	1
DMoney, maxeymo, wump	1.39	1
DaBeast, DMoney, Kyle, MarkusKahlsen	1.39	1
DaBeast, MarkusKahlsen, mystus	1.39	1
DaBeast, Sturm, Tailz	1.39	1
DaBeast, newduke, Sturm	1.39	1
DaBeast, newsun, TimeHoodie	1.39	1
DarthGandalf, MalachiteMoa, Onen	1.39	1
DarthGandalf, knaphill, possum	1.39	1
DarthGandalf, maddys, maxeymo, wshull	1.39	1
Div, ebin_noob, Fey, MangoPie	1.39	1
Doge, ksfortson, wump	1.39	1
Dr_Kakashi, IAMJEFF, pianoblook	1.39	1
Dr_Kakashi, James, kooolant	1.39	1
Dr_Kakashi, LaFayetteX, pianoblook	1.39	1
Dr_Kakashi, RaKXeR, scharkbite	1.39	1
Dr_Kakashi, efaust, wjomlex	1.39	1
Dr_Kakashi, kimbifille, TimeHoodie	1.39	1
Dr_Kakashi, kimbifille, sjdrodge, timotree	1.39	1
Dr_Kakashi, kopen, Valetta6789	1.39	1
FairyBoots, MangoPie, Sturm	1.39	1
FairyBoots, joano580, Neema, yagami_black, yuto	1.39	1
FairyBoots, joelw, rahsosprout	1.39	1
Feich59, pianoblook, piper	1.39	1
Fey, Lanvin, MangoPie	1.39	1
Fey, MarkusKahlsen, Pablo-	1.39	1
Fey, katian, Wittvector	1.39	1
Fireheart, James, Valetta6789	1.39	1
Fireheart, Lanvin, wump	1.39	1
Fireheart, Libster, Romain672	1.39	1
Fireheart, kimbifille, Valetta6789	1.39	2
Fireheart, kopen, sjdrodge	1.39	1
Fireheart, kopen, swineherd	1.39	1
Fireheart, melwen, TheDaniMan	1.39	1
Fireheart, micerang, Romain672	1.39	1
Floriman, IAMJEFF, Valetta6789	1.39	1
Floriman, Kyle, RaKXeR, TimeHoodie	1.39	1
Floriman, Kyle, letical, scharkbite	1.39	1
Floriman, Kyle, scharkbite	1.39	1
Floriman, jack67889, Kyle	1.39	1
Floriman, kimbifille, plus	1.39	1
Floriman, kodomazer, Livia	1.39	1
Floriman, plus, TimeHoodie, wortel	1.39	1
FrozenStella, GameConqueror, ReaverSe, ssh8539	1.39	1
G4M8, Razvogor, ZeNertox	1.39	1
GamerSKTrashCan, James, kodomazer	1.39	1
HelanaAshryvr, James, TheDaniMan	1.39	1
HelanaAshryvr, Lanvin, swineherd	1.39	1
HelanaAshryvr, RavenGr, TimeHoodie	1.39	1
HelanaAshryvr, joelw, omegaxis, qqqq	1.39	1
HelanaAshryvr, kooolant, MarkusKahlsen, Nitrate	1.39	1
HelanaAshryvr, kooolant, micerang	1.39	1
HelanaAshryvr, kooolant, omegaxis, TimeHoodie	1.39	1
HelanaAshryvr, maddys, wshull	1.39	1
HelanaAshryvr, melwen, Romain672	1.39	1
HelanaAshryvr, melwen, Takis	1.39	1
HelanaAshryvr, rahsosprout, TimeHoodie	1.39	1
IAMJEFF, Razvogor, Valetta6789	1.39	1
IAMJEFF, scharkbite, Valetta6789	1.39	1
IsabeltheCat, Pablo-, vEnhance	1.39	1
IsabeltheCat, mystus, timotree	1.39	1
IsabeltheCat, orucsoraihc, yuto	1.39	1
Jake_Stiles, Kyle, scharkbite	1.39	1
James, Kyle, MarkusKahlsen	1.39	1
James, Libster, qqqq	1.39	1
James, Razgovor, scharkbite, sjdrodge	1.39	1
James, kimbifille, plus	1.39	1
James, kimbifille, scharkbite	1.39	1
James, kopen, NoMercy	1.39	1
James, micerang, scharkbite	1.39	1
Kyle, Libster, Valetta6789	1.39	1
Kyle, Maiorskills, micerang, Sucubis	1.39	1
Kyle, newduke, Smandon, timotree	1.39	1
Kyle, rz, timotree	1.39	1
Lanvin, Lel0uch, rahsosprout	1.39	1
Lanvin, MangoPie, wump	1.39	1
Lanvin, MarkusKahlsen, Onen	1.39	1
Lanvin, Spieler42, wump	1.39	1
Lanvin, macanek, Wittvector	1.39	1
Lanvin, omegaxis, orucsoraihc	1.39	1
Lanvin, pianoblook, qqqq	1.39	1
Lanvin, ricardodd, robense, wump	1.39	1
Lanvin, robense, Sturm	1.39	1
Lanvin, rz, Wittvector	1.39	1
Lel0uch, melwen, pianoblook	1.39	1
Lel0uch, micerang, omegaxis	1.39	1
Lel0uch, newduke, TheDaniMan	1.39	1
Libster, NoMercy, sjdrodge	1.39	1
MKQ, newduke, Sturm	1.39	1
MalachiteMoa, ReaverSe, wump	1.39	1
MarkusKahlsen, Onen, TimeHoodie	1.39	1
MarkusKahlsen, melwen, Nitrate2	1.39	1
MarkusKahlsen, micerang, will.i.am	1.39	1
MarkusKahlsen, plus, wump	1.39	1
MarkusKahlsen, scharkbite, XMIL	1.39	1
MarkusKahlsen, sephiroth, swineherd, Zakisan	1.39	1
Nitrate2, TimeHoodie, timotree	1.39	1
Nitrate2, plus, TheDaniMan	1.39	1
Nitrate2, sin_faith, TimeHoodie	1.39	1
Onen, sydneyf, Veexliat	1.39	1
Pablo-, Sucubis, XMIL	1.39	1
Pablo-, sephiroth, XMIL	1.39	1
Pablo-, sin_faith, Sucubis	1.39	1
ReaverSe, sinuni_hung, wump	1.39	1
ace201, Onen, TimeHoodie	1.39	1
ace201, ReaverSe, sinuni_hung	1.39	1
ace201, TheDaniMan, will.i.am	1.39	1
ace201, arv, ReaverSe	1.39	1
ace201, bjnh, IsabeltheCat, scharkbite	1.39	2
ace201, caña, rahsosprout	1.39	1
ace201, derekcheah, Lel0uch	1.39	1
ace201, dobi, IAMJEFF	1.39	1
ace201, dobi, MarkusKahlsen, melwen	1.39	1
ace201, dramos, Nitrate, wump	1.39	1
ace201, eliclax, Sturm	1.39	1
ace201, joelw, robense	1.39	1
acpaige, thejazzagent, voss	1.39	3
adis, HelanaAshryvr, TheDaniMan	1.39	1
aitch2, ChristopheAF, Lel0uch	1.39	1
aitch2, ChristopheAF, mystus, TheDaniMan	1.39	1
aitch2, HelanaAshryvr, Kyle, robense	1.39	1
aitch2, HelanaAshryvr, MarkusKahlsen, TimeHoodie	1.39	1
aitch2, HelanaAshryvr, Pablo-	1.39	1
aitch2, Kyle, Lanvin	1.39	1
aitch2, Kyle, MarkusKahlsen	1.39	1
aitch2, Lanvin, MarkusKahlsen	1.39	1
aitch2, Lanvin, TheDaniMan	1.39	1
aitch2, Lanvin, qqqq, robense	1.39	1
aitch2, arv, newduke, yuto	1.39	1
aitch2, kappatosity, louietyj	1.39	1
aitch2, mystus, newduke, newsun	1.39	1
aitch2, omegaxis, qqqq	1.39	1
alphabeta, Dr_Kakashi, duckmammal	1.39	1
amattias, Andreasz, percolate, Virgil	1.39	1
antitelharsic, aquarelle, MangoPie	1.39	1
antitelharsic, derekcheah, joelwool, piper	1.39	1
antitelharsic, dobi, robense	1.39	1
aquarelle, HelanaAshryvr, rahsosprout	1.39	1
archi42, CIken, MKQ	1.39	1
arv, DMoney, Sturm	1.39	1
arv, Onen, TheDaniMan	1.39	1
arv, caña, NumerateClutter, wump	1.39	1
arv, derekcheah, sin_faith, TheDaniMan	1.39	1
arv, elamate90, ReaverSe	1.39	1
arv, joelw, ReaverSe	1.39	1
arv, joelw, newduke, Varius	1.39	1
arv, ksfortson, Sturm	1.39	1
arv, maxeymo, newduke	1.39	1
arv, maxupicchu, newsun	1.39	1
arv, micerang, will.i.am	1.39	1
asaelr, Bonja97, Fey, padi	1.39	1
asaelr, DMoney, Dr_Kakashi	1.39	2
asaelr, Fey, Floriman	1.39	1
asaelr, Fey, ricardodd	1.39	1
asaelr, IAMJEFF, qqqq	1.39	1
asaelr, James, Kyle	1.39	1
asaelr, Kyle, Libster	1.39	1
asaelr, Kyle, Shos, wortel	1.39	1
asaelr, MarkusKahlsen, melwen, Nitrate2	1.39	1
asaelr, avanderwalde, indego	1.39	1
asaelr, bjnh, IsabeltheCat, Wittvector	1.39	1
asaelr, bjnh, Lel0uch	1.39	1
asaelr, joelwool, TheDaniMan	1.39	1
asaelr, pianoblook, scharkbite	1.39	1
avanderwalde, HelanaAshryvr, jeff10, scharkbite	1.39	1
avanderwalde, JerryYang, newduke, rkass	1.39	1
avanderwalde, Pablo-, rkass	1.39	1
awe, invarse, Kyle, micerang	1.39	1
axe_y, Razvogor, ZeNertox	1.39	2
baads, frosty104, jack67889, Wittvector	1.39	1
banjoleb, PMP, StKildaFan	1.39	1
bhudnell, Feer, tyler	1.39	1
bjnh, Bot-Fiora, mystus	1.39	1
bjnh, Lel0uch, melwen	1.39	1
bjnh, dobi, Fey, Lanvin	1.39	1
bjnh, kevincaseytdk1, wump	1.39	1
bjnh, newduke, ReaverSe, yuto	1.39	1
bjnh, newduke, robense, wump	1.39	1
bjnh, rahsosprout, wump	1.39	1
bob65536, kacasey1, newduke, yuto	1.39	1
catula, dobi, Meowie	1.39	1
catula, eevee, jack67889, nitawa, rz, Sucubis	1.39	1
catula, jack67889, sin_faith, Sucubis	1.39	1
caña, HelanaAshryvr, joano580	1.39	1
caña, kacasey1, rahsosprout	1.39	1
caña, kevincaseytdk1, nwajfromoz	1.39	1
charmander, frosty104, Lel0uch, postmans	1.39	1
colton, HelanaAshryvr, MalachiteMoa	1.39	1
colton, jeff10, sephiroth	1.39	1
corys, joelw, ReaverSe	1.39	1
derekcheah, Dr_Kakashi, IAMJEFF, TheDaniMan	1.39	1
derekcheah, HelanaAshryvr, omegaxis	1.39	1
derekcheah, HelanaAshryvr, squirrel1988, TheDaniMan	1.39	1
derekcheah, Kyle, TimeHoodie	1.39	1
derekcheah, Lanvin, newduke, TheDaniMan	1.39	1
derekcheah, Lel0uch, TheDaniMan	1.39	1
derekcheah, Smandon, will.i.am	1.39	1
derekcheah, dobi, will.i.am, wump	1.39	1
derekcheah, doctorabi, sephiroth	1.39	1
derekcheah, indego, scharkbite, TheDaniMan	1.39	1
derekcheah, melwen, Smandon	1.39	1
derekcheah, melwen, will.i.am	1.39	1
derekcheah, piper, will.i.am	1.39	1
derekcheah, possum, swineherd	1.39	1
dobi, HelanaAshryvr, Kyle	1.39	1
dobi, HelanaAshryvr, omegaxis, TimeHoodie	1.39	1
dobi, Lanvin, qqqq, sin_faith	1.39	1
dobi, Lel0uch, qqqq	1.39	1
dobi, ReaverSe, Sturm, TheDaniMan	1.39	1
dobi, eliclax, newduke	1.39	1
dobi, hakha3, MangoPie, Wittvector	1.39	1
dobi, jeff10, Kyle, sephiroth	1.39	1
dobi, kappatosity, newduke	1.39	1
dobi, newduke, TheDaniMan	1.39	1
dobi, scharkbite, vEnhance	1.39	1
doctorabi, Fey, ricardodd	1.39	1
doctorabi, HelanaAshryvr, Wittvector	1.39	1
doctorabi, melwen, sjdrodge	1.39	1
doeo, FrozenWinters, lilyxy, TheDaniMan	1.39	1
dramos, newduke, scharkbite	1.39	1
duckmammal, Fireheart, Floriman, micerang	1.39	1
duckmedic, JackFrost, wump	1.39	1
efaust, IAMJEFF, kemurphy	1.39	1
efaust, micerang, paulcd2000	1.39	1
efaust, sjdrodge, wjomlex	1.39	1
elamate90, HelanaAshryvr, Sturm	1.39	1
elamate90, joelw, newduke, Sturm	1.39	1
elamate90, orucsoraihc, TimeHoodie	1.39	1
eliclax, Kyle, TimeHoodie	1.39	1
eliclax, Lanvin, robense	1.39	1
eliclax, Lanvin, wump	1.39	1
eliclax, MarkusKahlsen, robense	1.39	1
eliclax, Pablo-, Sucubis	1.39	1
eljavi, ksfortson, possum, wump	1.39	1
emilyzhao, JerryYang, squidgetx	1.39	1
emilyzhao, MarkusKahlsen, rachyrules, squidgetx	1.39	6
esakach, frosty104, katian	1.39	1
florrat2, James, Libster, Razvogor	1.39	1
florrat2, James, Libster, micerang	1.39	1
florrat2, James, micerang	1.39	1
frosty104, IAMJEFF, newduke, omegaxis	1.39	1
frosty104, Lanvin, MarkusKahlsen	1.39	1
frosty104, Lanvin, melwen	1.39	1
frosty104, jack67889, Lel0uch, Sucubis	1.39	1
frosty104, joelw, ReaverSe, TheDaniMan	1.39	1
frosty104, katian, Lel0uch	1.39	1
garbo late game, NoMercy, RaKXeR	1.39	1
griff77, MangoPie, Wittvector	1.39	1
griff77, MangoPie, sean1815	1.39	1
griff77, hakha3, wump	1.39	1
griff77, kimbifille, pianoblook	1.39	1
griff77, possum, rahsosprout	1.39	1
hakha3, kimbifille, postmans	1.39	2
hanablebee, nkkarpov, tacobot5000	1.39	1
honzas, Nitrate2, will.i.am	1.39	1
indego, jeff10, TheDaniMan, TimeHoodie	1.39	1
indego, kopen, Lel0uch, VerySloppyTwo	1.39	1
indego, micerang, TheDaniMan	1.39	1
indego, swineherd, TimeHoodie	1.39	1
jack67889, Lanvin, robense	1.39	1
jack67889, nitawa, Nitrate2, Sucubis	1.39	1
jack67889, nitawa, Nitrate2, XMIL	1.39	1
jatloe, Kyle, VBVBVBVB	1.39	1
jeff10, kacasey1, newduke, Sturm	1.39	1
jeff10, katian, scharkbite	1.39	1
jeff10, macanek, mystus	1.39	1
joano580, Sturm, wshull	1.39	1
joano580, joelw, omegaxis	1.39	1
joano580, narabio, omegaxis	1.39	1
joelw, kappatosity, pianoblook	1.39	1
joelw, maxeymo, Neema, newduke	1.39	1
joelw, newduke, orucsoraihc	1.39	1
joelwool, MarkusKahlsen, TheDaniMan	1.39	1
kacasey2, newsun, Onen	1.39	1
kappatosity, Kyle, MarkusKahlsen	1.39	1
kappatosity, Lanvin, Sturm, TimeHoodie	1.39	1
kappatosity, Tailz, wump	1.39	1
kappatosity, newduke, yuto	1.39	1
kappatosity, newsun, ReaverSe, Tailz	1.39	1
kevincaseytdk1, Onen, rz	1.39	1
kimbifille, Lanvin, rahsosprout	1.39	1
kimbifille, melwen, Nitrate2	1.39	1
kinkajusrevenge, vEnhance, Wittvector	1.39	1
kooolant, Lilliana, qbphoenix, TheDaniMan	1.39	1
kooolant, micerang, pianoblook, scharkbite	1.39	1
kopen, Lanvin, Lel0uch	1.39	1
letical, piper, XMIL	1.39	1
lotem, MarkusKahlsen, Pepepe, Wittvector	1.39	1
lotem, orucsoraihc, Sturm	1.39	1
lotem, sephiroth, TheDaniMan, Zakisan	1.39	1
lucasmayer, maxeymo, newduke	1.39	1
macanek, qqqq, rz	1.39	1
macanek, rz, wump	1.39	1
maddys, MarkusKahlsen, sjdrodge	1.39	1
maxupicchu, micerang, yuto	1.39	1
melwen, Nitrate2, plus	1.39	1
melwen, Pablo-, Sucubis	1.39	1
methmatics, nitawa, Sucubis	1.39	1
mystus, Onen, TheDaniMan	1.39	1
mystus, newduke, Tailz	1.39	1
newduke, Onen, orucsoraihc	1.39	1
newduke, ReaverSe, TimeHoodie	1.39	1
newduke, ReaverSe, scharkbite, TheDaniMan	1.39	1
newduke, nishanoire, omegaxis, ReaverSe	1.39	1
newduke, orucsoraihc, timotree	1.39	1
newsun, vavke, wshull	1.39	1
nitawa, Nitrate2, Sucubis, XMIL	1.39	1
omegaxis, ReaverSe, TheDaniMan	1.39	2
plus, sephiroth, sin_faith	1.39	1
qqqq, rz, wump	1.39	1
qqqq, sin_faith, yuto	1.39	1
reychen, robense, Thiercy	1.39	1
Fireheart, micerang, Valetta6789	1.38	3
FrozenStella, ReaverSe, seungapark	1.38	2
HelanaAshryvr, Kyle, newsun	1.38	2
ReaverSe, sinuni_hung, ssh8539	1.38	7
aitch2, Lanvin, Lel0uch	1.38	4
aitch2, jack67889, Lanvin, MarkusKahlsen	1.38	2
duckmedic, rz, wump	1.38	2
dobi, rz, wump	1.37	6
910dan, florrat2, Instantiation, James, Libster	1.36	1
ADrone, kimbifille, pianoblook, piper	1.36	2
Andrew_UK, Libster, NoMercy, sjdrodge	1.36	1
Andrew_UK, florrat2, Libster	1.36	1
Begun, MangoPie, sjdrodge	1.36	1
Bonja97, Fireheart, Nitrate2, Valetta6789	1.36	1
ChristopheAF, nkkarpov, orucsoraihc	1.36	1
DMoney, Fireheart, James	1.36	1
DMoney, Floriman, MarkusKahlsen, Pablo-	1.36	1
Fey, MarkusKahlsen, sephiroth	1.36	1
Fireheart, IAMJEFF, James, pikachuuu	1.36	1
Fireheart, scharkbite, Valetta6789, wortel	1.36	1
Floriman, IAMJEFF, scharkbite	1.36	1
GameConqueror, LEMONKX, ReaverSe	1.36	3
