player	year	month	hours
Valetta6789	2019	8	7
Valetta6789	2019	9	46
Valetta6789	2019	10	70
Valetta6789	2019	11	80
Valetta6789	2019	12	51
Valetta6789	2020	1	45
Valetta6789	2020	2	33
Valetta6789	2020	3	46
Valetta6789	2020	4	24
Valetta6789	2020	5	25
Valetta6789	2020	6	21
Valetta6789	2020	7	12
Valetta6789	2020	8	30
Valetta6789	2020	9	17
Valetta6789	2020	10	36
Valetta6789	2020	11	21
Valetta6789	2020	12	15
Valetta6789	2021	1	29
Valetta6789	2021	2	32
Valetta6789	2021	3	30
Valetta6789	2021	4	26
Valetta6789	2021	5	47
Valetta6789	2021	6	56
Valetta6789	2021	7	17
Valetta6789	2021	8	6
Valetta6789	2021	9	13
Valetta6789	2021	10	11
Valetta6789	2021	11	7
Valetta6789	2021	12	2
Valetta6789	2022	1	5
Valetta6789	2022	2	8
Valetta6789	2022	3	6
Valetta6789	2022	4	4
Valetta6789	2022	5	8
Valetta6789	2022	6	16
Valetta6789	2022	7	4
Valetta6789	2022	8	3
Valetta6789	2022	9	2
Valetta6789	2022	10	2
