game_id	seed	score	formula	cards from last-10 to the last
980518	p4v0s42	25	57	['y2', 'b1', 'p4', 'g2', 'b2', 'r1', 'g1', 'p1', 'y5', 'r4']
980517	p4v0s41	25	55	['y2', 'b2', 'r2', 'p2', 'g4', 'y4', 'y3', 'g3', 'g1', 'y4']
980515	p4v0s40	25	46	['g4', 'g3', 'b5', 'y2', 'y1', 'p4', 'y3', 'g1', 'g2', 'p2']
980480	p4v0s24	25	64	['g1', 'y1', 'r4', 'y3', 'y4', 'g4', 'g5', 'p4', 'p5', 'b1']
980450	p4v0s302	25	54	['r5', 'g3', 'p1', 'b1', 'g1', 'p2', 'g4', 'p3', 'b1', 'p4']
980397	p4v0s20	25	50	['p5', 'r5', 'g5', 'g4', 'g3', 'b1', 'b5', 'r1', 'p1', 'r2']
980186	p4v0s77	25	55	['b2', 'p4', 'b3', 'r2', 'p2', 'p1', 'p1', 'p5', 'r1', 'g4']
980174	p4v0s13	25	54	['y3', 'y4', 'b1', 'y1', 'b4', 'r1', 'r2', 'p2', 'p5', 'b2']
980158	p4v0s171	25	56	['p5', 'r5', 'p1', 'y5', 'y1', 'b4', 'b4', 'p3', 'b2', 'y2']
979784	p4v0s58	25	51	['r3', 'b1', 'y3', 'p3', 'b5', 'b1', 'y4', 'r1', 'p1', 'p4']
979731	p4v0s90	25	48	['b2', 'y4', 'y3', 'b4', 'y1', 'g2', 'b2', 'y2', 'g3', 'r2']
979262	p4v0s142	25	55	['g4', 'y4', 'r1', 'b2', 'g1', 'p3', 'p1', 'y1', 'p5', 'b3']
979251	p4v0s160	25	50	['p4', 'g1', 'r2', 'r4', 'g1', 'g2', 'p3', 'g3', 'b4', 'p1']
979011	p4v0s13	25	54	['y3', 'y4', 'b1', 'y1', 'b4', 'r1', 'r2', 'p2', 'p5', 'b2']
979002	p4v0s13	25	54	['y3', 'y4', 'b1', 'y1', 'b4', 'r1', 'r2', 'p2', 'p5', 'b2']
978906	p4v0s102	25	65	['y4', 'y5', 'r1', 'y3', 'r5', 'p1', 'y1', 'g4', 'p3', 'y4']
978896	p4v0s100	25	65	['p4', 'r1', 'r4', 'y3', 'b2', 'p1', 'g2', 'y5', 'p4', 'r3']
978853	p4v0s277	25	54	['g5', 'b2', 'b3', 'p1', 'g2', 'g3', 'r4', 'b4', 'b2', 'y2']
978625	p4v0s26	25	50	['b2', 'p2', 'p1', 'g2', 'b1', 'r1', 'y3', 'p2', 'b1', 'b5']
978570	p4v0s113	25	68	['g1', 'y1', 'p2', 'r4', 'p4', 'r5', 'g4', 'p5', 'g2', 'b4']
978454	p4v0s32	25	40	['g1', 'b1', 'g3', 'r1', 'y3', 'g2', 'r3', 'g3', 'p1', 'p2']
978443	p4v0s20	25	50	['p5', 'r5', 'g5', 'g4', 'g3', 'b1', 'b5', 'r1', 'p1', 'r2']
978434	p4v0s50	25	40	['g1', 'y3', 'p3', 'r3', 'r2', 'g2', 'r1', 'p1', 'g4', 'g1']
978420	p4v0s10	25	48	['y4', 'p3', 'g1', 'r1', 'y2', 'b1', 'p1', 'y1', 'r4', 'g3']
978418	p4v0s9	25	55	['b1', 'p3', 'y5', 'r2', 'g4', 'p2', 'p4', 'y2', 'r1', 'b4']
978417	p4v0s8	25	71	['y5', 'p4', 'r4', 'g5', 'p4', 'b1', 'g3', 'p2', 'g4', 'b4']
978101	p4v0s13	25	54	['y3', 'y4', 'b1', 'y1', 'b4', 'r1', 'r2', 'p2', 'p5', 'b2']
977820	p4v0s29	25	33	['p5', 'r2', 'g5', 'p1', 'b1', 'r1', 'g1', 'r1', 'g2', 'p1']
982094	p4v0s73	0	37	['p3', 'r1', 'r2', 'r4', 'y1', 'b2', 'r4', 'b1', 'p2', 'g1']
981991	p4v0s3	22	54	['g1', 'b2', 'r1', 'p1', 'r3', 'r5', 'g5', 'b1', 'g2', 'r4']
981985	p4v0s2	21	36	['g3', 'y1', 'g2', 'g3', 'r1', 'b1', 'b3', 'y2', 'r2', 'g1']
981978	p4v0s1	0	46	['r1', 'g4', 'y3', 'y3', 'g3', 'g1', 'b3', 'b1', 'g3', 'g2']
981959	p4v0s66	0	51	['b1', 'b3', 'y4', 'r3', 'b3', 'r2', 'p1', 'r4', 'b4', 'b1']
981956	p4v0s17	22	58	['g3', 'b3', 'b3', 'r3', 'b1', 'y4', 'b5', 'r4', 'r1', 'p3']
981768	p4v0s7	22	71	['p5', 'r5', 'r1', 'r3', 'p1', 'b3', 'g4', 'r3', 'r4', 'p4']
981755	p4v0s284	0	60	['p1', 'b3', 'g1', 'y4', 'r1', 'g4', 'r3', 'g4', 'p2', 'p4']
981648	p4v0s75	0	35	['b1', 'b2', 'p4', 'y1', 'g2', 'r2', 'r3', 'y1', 'g1', 'y2']
981647	p4v0s74	23	49	['r1', 'y3', 'y5', 'p1', 'r3', 'y4', 'g5', 'p3', 'b2', 'g1']
981642	p4v0s71	24	64	['b3', 'r2', 'p4', 'p3', 'y3', 'p2', 'r1', 'b4', 'y2', 'p5']
981640	p4v0s69	24	41	['g2', 'r5', 'b2', 'p4', 'g4', 'g5', 'r1', 'r1', 'g1', 'y2']
981622	p4v0s67	23	49	['y2', 'g1', 'b4', 'y2', 'r1', 'y1', 'p4', 'g1', 'y3', 'g3']
981619	p4v0s66	23	51	['b1', 'b3', 'y4', 'r3', 'b3', 'r2', 'p1', 'r4', 'b4', 'b1']
981615	p4v0s65	22	64	['r2', 'g5', 'p4', 'p1', 'y3', 'b4', 'g3', 'y4', 'b3', 'r3']
981555	p4v0s14	0	57	['b4', 'r3', 'y1', 'y1', 'g2', 'y2', 'b1', 'y4', 'p5', 'y2']
981522	p4v0s2	18	36	['g3', 'y1', 'g2', 'g3', 'r1', 'b1', 'b3', 'y2', 'r2', 'g1']
981518	p4v0s1	0	46	['r1', 'g4', 'y3', 'y3', 'g3', 'g1', 'b3', 'b1', 'g3', 'g2']
981490	p4v0s93	22	47	['r1', 'b1', 'r2', 'p4', 'b2', 'y2', 'b3', 'y4', 'y3', 'y1']
981473	p4v0s92	23	52	['b3', 'b2', 'y2', 'y4', 'y1', 'y5', 'r2', 'r1', 'p2', 'p4']
981206	p4v0s30	0	52	['y1', 'p4', 'g1', 'b5', 'b1', 'y3', 'g4', 'g2', 'r2', 'y3']
981194	p4v0s6	21	42	['y1', 'y2', 'y2', 'b2', 'g5', 'r2', 'b2', 'b5', 'b1', 'b1']
981186	p4v0s5	19	61	['b3', 'g3', 'y4', 'r1', 'b4', 'y5', 'g1', 'p4', 'r3', 'g3']
981143	p4v0s6	0	42	['y1', 'y2', 'y2', 'b2', 'g5', 'r2', 'b2', 'b5', 'b1', 'b1']
981137	p4v0s6	0	42	['y1', 'y2', 'y2', 'b2', 'g5', 'r2', 'b2', 'b5', 'b1', 'b1']
981131	p4v0s4	0	65	['y4', 'r2', 'y1', 'p1', 'r1', 'r1', 'g3', 'b4', 'p3', 'g5']
981125	p4v0s1	19	46	['r1', 'g4', 'y3', 'y3', 'g3', 'g1', 'b3', 'b1', 'g3', 'g2']
981118	p4v0s20	0	50	['p5', 'r5', 'g5', 'g4', 'g3', 'b1', 'b5', 'r1', 'p1', 'r2']
981091	p4v0s2	0	36	['g3', 'y1', 'g2', 'g3', 'r1', 'b1', 'b3', 'y2', 'r2', 'g1']
981089	p4v0s1	21	46	['r1', 'g4', 'y3', 'y3', 'g3', 'g1', 'b3', 'b1', 'g3', 'g2']
981085	p4v0s61	24	53	['r3', 'y1', 'r1', 'r1', 'p1', 'b2', 'g2', 'r3', 'g4', 'p3']
981022	p4v0s33	22	58	['y2', 'p1', 'b3', 'p3', 'r2', 'y5', 'p5', 'b1', 'y1', 'r5']
981019	p4v0s32	0	40	['g1', 'b1', 'g3', 'r1', 'y3', 'g2', 'r3', 'g3', 'p1', 'p2']
980983	p4v0s31	24	71	['y2', 'b3', 'r1', 'y5', 'g2', 'y3', 'b1', 'r4', 'y4', 'p5']
980981	p4v0s43	21	48	['r5', 'g3', 'g2', 'g2', 'r3', 'g1', 'b1', 'p1', 'p3', 'r3']
980970	p4v0s31	21	71	['y2', 'b3', 'r1', 'y5', 'g2', 'y3', 'b1', 'r4', 'y4', 'p5']
980914	p4v0s31	0	71	['y2', 'b3', 'r1', 'y5', 'g2', 'y3', 'b1', 'r4', 'y4', 'p5']
980896	p4v0s12	23	57	['y4', 'g3', 'p5', 'r1', 'y4', 'b4', 'p2', 'g1', 'b1', 'b5']
980891	p4v0s68	24	43	['y1', 'g2', 'b4', 'p3', 'y3', 'p1', 'r2', 'p2', 'b1', 'y3']
980831	p4v0s2	0	36	['g3', 'y1', 'g2', 'g3', 'r1', 'b1', 'b3', 'y2', 'r2', 'g1']
980660	p4v0s24	0	64	['g1', 'y1', 'r4', 'y3', 'y4', 'g4', 'g5', 'p4', 'p5', 'b1']
980655	p4v0s24	0	64	['g1', 'y1', 'r4', 'y3', 'y4', 'g4', 'g5', 'p4', 'p5', 'b1']
980646	p4v0s24	22	64	['g1', 'y1', 'r4', 'y3', 'y4', 'g4', 'g5', 'p4', 'p5', 'b1']
980625	p4v0s23	0	51	['b4', 'p5', 'p1', 'p1', 'g5', 'y1', 'b2', 'b1', 'g3', 'g3']
980620	p4v0s263	0	47	['p3', 'p2', 'b5', 'p4', 'p1', 'b4', 'g1', 'y3', 'g3', 'b1']
980614	p4v0s262	24	54	['b2', 'g4', 'b1', 'p5', 'r4', 'b4', 'p1', 'y5', 'g3', 'g1']
980603	p4v0s24	24	64	['g1', 'y1', 'r4', 'y3', 'y4', 'g4', 'g5', 'p4', 'p5', 'b1']
980577	p4v0s4	0	65	['y4', 'r2', 'y1', 'p1', 'r1', 'r1', 'g3', 'b4', 'p3', 'g5']
980570	p4v0s3	19	54	['g1', 'b2', 'r1', 'p1', 'r3', 'r5', 'g5', 'b1', 'g2', 'r4']
980564	p4v0s2	21	36	['g3', 'y1', 'g2', 'g3', 'r1', 'b1', 'b3', 'y2', 'r2', 'g1']
