Players	Avg eff	Num of games	Link
ChristopheAF, Floriman, IsabeltheCat, Jake_Stiles, sephiroth	1.92	1	https://hanab.live/history/ChristopheAF/Floriman/IsabeltheCat/Jake_Stiles/sephiroth
DMoney, pianoblook, piper, plus, will.i.am	1.92	1	https://hanab.live/history/DMoney/pianoblook/piper/plus/will.i.am
Dr_Kakashi, Floriman, kimbifille, Pablo-, piper	1.92	1	https://hanab.live/history/Dr_Kakashi/Floriman/kimbifille/Pablo-/piper
Fireheart, Floriman, Kyle	1.92	1	https://hanab.live/history/Fireheart/Floriman/Kyle
Fireheart, Floriman, Livia, scharkbite	1.92	1	https://hanab.live/history/Fireheart/Floriman/Livia/scharkbite
Fireheart, IAMJEFF, kopen, Valetta6789	1.92	1	https://hanab.live/history/Fireheart/IAMJEFF/kopen/Valetta6789
Floriman, James, Livia, padi	1.92	1	https://hanab.live/history/Floriman/James/Livia/padi
Floriman, Kyle, melwen, TheDaniMan, will.i.am	1.92	1	https://hanab.live/history/Floriman/Kyle/melwen/TheDaniMan/will.i.am
Floriman, kimbifille, pianoblook, piper, sjdrodge	1.92	1	https://hanab.live/history/Floriman/kimbifille/pianoblook/piper/sjdrodge
Floriman, pianoblook, postmans, timotree, Zakisan	1.92	1	https://hanab.live/history/Floriman/pianoblook/postmans/timotree/Zakisan
HelanaAshryvr, indego, katian, Lanvin, Sucubis	1.92	1	https://hanab.live/history/HelanaAshryvr/indego/katian/Lanvin/Sucubis
Lanvin, MarkusKahlsen, newduke, Pablo-	1.92	1	https://hanab.live/history/Lanvin/MarkusKahlsen/newduke/Pablo-
Lanvin, MarkusKahlsen, newsun, will.i.am	1.92	1	https://hanab.live/history/Lanvin/MarkusKahlsen/newsun/will.i.am
Lanvin, ReaverSe, squirrel1988	1.92	1	https://hanab.live/history/Lanvin/ReaverSe/squirrel1988
Lel0uch, MarkusKahlsen, rachyrules	1.92	1	https://hanab.live/history/Lel0uch/MarkusKahlsen/rachyrules
MarkusKahlsen, plus, Zakisan	1.92	1	https://hanab.live/history/MarkusKahlsen/plus/Zakisan
MarkusKahlsen, sephiroth, will.i.am	1.92	1	https://hanab.live/history/MarkusKahlsen/sephiroth/will.i.am
ace201, ADrone, MangoPie, MarkusKahlsen	1.92	1	https://hanab.live/history/ace201/ADrone/MangoPie/MarkusKahlsen
ace201, Dr_Kakashi, IAMJEFF, newduke	1.92	1	https://hanab.live/history/ace201/Dr_Kakashi/IAMJEFF/newduke
ace201, arv, newduke, ReaverSe, sinuni_hung	1.92	1	https://hanab.live/history/ace201/arv/newduke/ReaverSe/sinuni_hung
ace201, derekcheah, Dr_Kakashi, TheDaniMan	1.92	1	https://hanab.live/history/ace201/derekcheah/Dr_Kakashi/TheDaniMan
ace201, indego, Lel0uch, melwen	1.92	1	https://hanab.live/history/ace201/indego/Lel0uch/melwen
aitch2, Lanvin, robense	1.92	1	https://hanab.live/history/aitch2/Lanvin/robense
antitelharsic, indego, Lel0uch, sephiroth, VerySloppyTwo	1.92	1	https://hanab.live/history/antitelharsic/indego/Lel0uch/sephiroth/VerySloppyTwo
aquarelle, jack67889, Lanvin	1.92	1	https://hanab.live/history/aquarelle/jack67889/Lanvin
asaelr, DMoney, kacasey4, Lanvin	1.92	1	https://hanab.live/history/asaelr/DMoney/kacasey4/Lanvin
asaelr, Dr_Kakashi, kimbifille, Kyle	1.92	1	https://hanab.live/history/asaelr/Dr_Kakashi/kimbifille/Kyle
avanderwalde, DMoney, Floriman, Kyle, TimeHoodie	1.92	1	https://hanab.live/history/avanderwalde/DMoney/Floriman/Kyle/TimeHoodie
avanderwalde, ejwu, Feich59, JerryYang, rkass	1.92	1	https://hanab.live/history/avanderwalde/ejwu/Feich59/JerryYang/rkass
bjnh, Fafrd, HelanaAshryvr, scharkbite	1.92	1	https://hanab.live/history/bjnh/Fafrd/HelanaAshryvr/scharkbite
bjnh, Lanvin, MarkusKahlsen	1.92	1	https://hanab.live/history/bjnh/Lanvin/MarkusKahlsen
bjnh, newduke, Wittvector, zeinab001	1.92	1	https://hanab.live/history/bjnh/newduke/Wittvector/zeinab001
catula, eliclax, jack67889, nitawa, Sucubis	1.92	1	https://hanab.live/history/catula/eliclax/jack67889/nitawa/Sucubis
catula, jack67889, nitawa, Pablo-, Sucubis	1.92	1	https://hanab.live/history/catula/jack67889/nitawa/Pablo-/Sucubis
caña, gideon, reychen	1.92	1	https://hanab.live/history/caña/gideon/reychen
derekcheah, HelanaAshryvr, MarkusKahlsen	1.92	1	https://hanab.live/history/derekcheah/HelanaAshryvr/MarkusKahlsen
derekcheah, plus, TheDaniMan, Zakisan	1.92	1	https://hanab.live/history/derekcheah/plus/TheDaniMan/Zakisan
dobi, indego, pianoblook	1.92	1	https://hanab.live/history/dobi/indego/pianoblook
doctorabi, IAMJEFF, katian, Livia, Wittvector	1.92	1	https://hanab.live/history/doctorabi/IAMJEFF/katian/Livia/Wittvector
efaust, Feer, kemurphy, sjdrodge	1.92	1	https://hanab.live/history/efaust/Feer/kemurphy/sjdrodge
emilyzhao, squidgetx, TheDaniMan, TimeHoodie	1.92	1	https://hanab.live/history/emilyzhao/squidgetx/TheDaniMan/TimeHoodie
indego, Lanvin, MangoPie, melwen	1.92	1	https://hanab.live/history/indego/Lanvin/MangoPie/melwen
jack67889, robense, sephiroth, Wittvector, Zakisan	1.92	1	https://hanab.live/history/jack67889/robense/sephiroth/Wittvector/Zakisan
joano580, newduke, Sturm, TheDaniMan	1.92	1	https://hanab.live/history/joano580/newduke/Sturm/TheDaniMan
joelw, newduke, nkkarpov	1.92	1	https://hanab.live/history/joelw/newduke/nkkarpov
