Player	Preference
sjdrodge	0.87
ADrone	0.85
MarkusKahlsen	0.78
Valetta6789	0.77
Nitrate	0.75
piper	0.75
Pablo-	0.72
micerang	0.69
TimeHoodie	0.69
asaelr	0.66
kimbifille	0.65
Floriman	0.63
eliclax	0.63
timotree	0.62
Bot-Fiora	0.6
Lanvin	0.59
florrat2	0.49
Lel0uch	0.49
pianoblook	0.47
RaKXeR	0.46
IAMJEFF	0.44
Libster	0.43
scharkbite	0.42
Fireheart	0.4
Kyle	0.4
melwen	0.4
padi	0.38
nitawa	0.37
sin_faith	0.35
Dr_Kakashi	0.31
DMoney	0.2
indego	0.17
Zamiel	0.13
