Variant	Variant id	Games	Total	Max scores
Muddy-Rainbow-Fives & Muddy Rainbow (5 Suits)	1144	5	11	2
Muddy-Rainbow-Fives & Cocoa Rainbow (6 Suits)	1163	5	17	3
Light-Pink-Fives & Light Pink (5 Suits)	1200	5	20	4
Light-Pink-Fives & Cocoa Rainbow (5 Suits)	1216	5	11	2
Light-Pink-Fives & Gray Pink (5 Suits)	1218	5	10	2
Throw It in a Hole & Rainbow (5 Suits)	1221	5	64	11
Throw It in a Hole & Muddy Rainbow (6 Suits)	1238	5	5	1
Throw It in a Hole & Muddy Rainbow (4 Suits)	1240	5	5	1
Throw It in a Hole & Light Pink (6 Suits)	1241	5	5	1
Alternating Clues & Omni (3 Suits)	1265	5	22	4
Clue Starved & White (6 Suits)	1281	5	71	12
Rainbow & Muddy Rainbow (3 Suits)	1295	5	65	13
Muddy Rainbow & Dark Rainbow (5 Suits)	1305	5	62	12
White-Fives & Black (6 Suits)	1324	5	30	6
Null-Ones & Black (6 Suits)	1326	5	61	12
Reversed (6 Suits)	1342	5	685	136
Rainbow Reversed (5 Suits)	1349	5	325	64
Synesthesia (6 Suits)	1353	5	189	32
Ambiguous & Light Pink (3 Suits)	1370	5	10	2
Extremely Ambiguous & White (6 Suits)	1391	5	10	2
Extremely Ambiguous & Dark Rainbow (6 Suits)	1409	5	5	1
Extremely Ambiguous & Gray (5 Suits)	1414	5	5	1
Dual-Color & Omni (6 Suits)	1432	5	120	21
Dual-Color & Omni (4 Suits)	1433	5	64	11
Dual-Color & Null (6 Suits)	1434	5	50	10
Dual-Color & Muddy Rainbow (4 Suits)	1437	5	50	10
Alternating Clues & Gray (5 Suits)	1453	5	22	4
Prism & Dark Pink (6 Suits)	1523	5	88	16
Prism & Dark Null (5 Suits)	1532	5	20	4
Prism & Gray Pink (5 Suits)	1536	5	67	13
White-Ones & Dark Prism (5 Suits)	1562	5	52	9
Brown-Ones & Dark Prism (5 Suits)	1568	5	28	5
Rainbow-Fives & Prism (6 Suits)	1593	5	80	14
Rainbow-Fives & Dark Prism (6 Suits)	1597	5	51	9
Brown-Fives & Prism (6 Suits)	1611	5	65	11
Null-Fives & Prism (5 Suits)	1624	5	11	2
Muddy-Rainbow-Fives & Prism (6 Suits)	1629	5	31	6
Light-Pink-Fives & Dark Prism (5 Suits)	1640	5	20	4
Alternating Clues & Prism (5 Suits)	1653	5	17	3
Up or Down & Prism (6 Suits)	1669	5	454	89
Up or Down & Prism (5 Suits)	1670	5	294	56
Deceptive-Ones & Brown (5 Suits)	1690	5	23	4
Deceptive-Ones & Omni (3 Suits)	1696	5	25	5
Deceptive-Ones & Prism (5 Suits)	1710	5	26	5
Deceptive-Ones & Dark Prism (5 Suits)	1730	5	17	3
Deceptive-Fives (6 Suits)	1731	5	93	17
Deceptive-Fives & White (6 Suits)	1745	5	39	7
Deceptive-Fives & White (5 Suits)	1746	5	22	4
Deceptive-Fives & Muddy Rainbow (6 Suits)	1761	5	11	2
Deceptive-Fives & Dark Prism (6 Suits)	1789	5	16	3
Critical Fours & Omni (6 Suits)	1831	5	17	3
Rainbow & White (6 Suits)	6	4	1561	380
3 Suits	18	4	4490	1079
Up or Down & Rainbow (6 Suits)	25	4	3136	678
Ambiguous & Rainbow (5 Suits)	32	4	229	52
Pink-Fives (5 Suits)	46	4	217	51
Brown (6 Suits)	69	4	2440	554
Brown (3 Suits)	72	4	775	166
Rainbow & Brown (6 Suits)	75	4	554	135
Rainbow & Brown (5 Suits)	76	4	661	142
Number Blind (3 Suits)	105	4	35	8
Pink (5 Suits)	107	4	3571	842
Pink (3 Suits)	109	4	1025	226
Pink & White (6 Suits)	123	4	713	151
Pink & Brown (3 Suits)	130	4	192	40
Brown & Dark Pink (6 Suits)	144	4	144	31
Rainbow & Pink (3 Suits)	149	4	275	59
Up or Down & Brown (6 Suits)	157	4	302	65
Muddy Rainbow (5 Suits)	161	4	1164	287
Muddy Rainbow (3 Suits)	163	4	389	93
Light Pink (6 Suits)	164	4	1402	339
Rainbow-Ones & Pink (3 Suits)	175	4	62	14
Omni (5 Suits)	177	4	1585	380
Rainbow & Omni (5 Suits)	191	4	257	56
Rainbow & Omni (3 Suits)	193	4	134	28
Pink & Omni (6 Suits)	198	4	274	55
Pink & Null (3 Suits)	205	4	110	23
White & Omni (6 Suits)	206	4	198	49
White & Omni (5 Suits)	207	4	188	44
Brown & Omni (6 Suits)	214	4	363	80
Brown & Omni (5 Suits)	215	4	167	38
Brown & Null (5 Suits)	219	4	78	18
Omni & Null (6 Suits)	222	4	499	115
Throw It in a Hole (4 Suits)	281	4	375	92
Extremely Ambiguous (4 Suits)	282	4	162	35
Alternating Clues (5 Suits)	284	4	402	85
Alternating Clues (4 Suits)	285	4	90	22
Rainbow-Ones & White (6 Suits)	298	4	156	37
Rainbow-Ones & Brown (5 Suits)	303	4	96	23
Rainbow-Ones & Null (4 Suits)	312	4	14	3
Pink-Ones (6 Suits)	326	4	222	48
Pink-Ones & Dark Pink (5 Suits)	357	4	19	4
White-Ones & Brown (4 Suits)	384	4	48	10
White-Ones & Dark Omni (5 Suits)	403	4	56	12
Brown-Ones & Rainbow (5 Suits)	411	4	81	17
Brown-Ones & Null (3 Suits)	433	4	16	4
Omni-Ones (6 Suits)	446	4	108	26
Omni-Ones & Pink (3 Suits)	457	4	13	3
Omni-Ones & White (3 Suits)	461	4	12	3
Omni-Ones & Dark Rainbow (5 Suits)	475	4	9	2
Omni-Ones & Dark Brown (6 Suits)	480	4	19	4
Null-Ones (6 Suits)	486	4	128	30
Null-Ones & Rainbow (5 Suits)	491	4	54	11
Null-Ones & Pink (4 Suits)	496	4	22	5
Null-Ones & Pink (3 Suits)	497	4	24	5
Null-Ones & Brown (6 Suits)	502	4	21	5
Null-Ones & Omni (5 Suits)	507	4	17	4
Null-Ones & Null (6 Suits)	510	4	31	7
Null-Ones & Dark Pink (5 Suits)	517	4	20	5
Null-Ones & Dark Omni (5 Suits)	523	4	8	2
Rainbow-Fives & Rainbow (6 Suits)	530	4	79	19
Rainbow-Fives & Brown (5 Suits)	543	4	51	11
Rainbow-Fives & Dark Pink (5 Suits)	557	4	23	5
Rainbow-Fives & Dark Omni (5 Suits)	563	4	21	5
Pink-Fives & Pink (5 Suits)	567	4	31	7
Pink-Fives & White (6 Suits)	570	4	56	13
Pink-Fives & White (3 Suits)	573	4	29	7
Pink-Fives & Omni (6 Suits)	578	4	20	5
White-Fives & Brown (5 Suits)	615	4	49	12
White-Fives & Dark Rainbow (5 Suits)	627	4	24	6
White-Fives & Gray (5 Suits)	631	4	21	5
Brown-Fives (6 Suits)	638	4	98	20
Brown-Fives & Rainbow (4 Suits)	644	4	27	6
Brown-Fives & Pink (5 Suits)	647	4	41	9
Omni-Fives (6 Suits)	678	4	142	29
Omni-Fives & White (6 Suits)	690	4	60	14
Omni-Fives & Brown (6 Suits)	694	4	106	23
Omni-Fives & Omni (5 Suits)	699	4	26	6
Omni-Fives & Null (5 Suits)	703	4	9	2
Omni-Fives & Dark Pink (5 Suits)	709	4	13	3
Null-Fives & Rainbow (5 Suits)	723	4	20	5
Null-Fives & White (4 Suits)	732	4	16	4
Pink & Muddy Rainbow (6 Suits)	760	4	217	44
Pink & Muddy Rainbow (3 Suits)	763	4	63	15
Omni & Muddy Rainbow (6 Suits)	772	4	103	21
Null & Muddy Rainbow (4 Suits)	778	4	34	7
Rainbow & Light Pink (6 Suits)	782	4	355	82
White & Light Pink (6 Suits)	786	4	179	44
Omni & Light Pink (6 Suits)	794	4	116	25
Muddy Rainbow & Light Pink (5 Suits)	803	4	122	25
Muddy Rainbow & Light Pink (3 Suits)	805	4	43	9
White & Cocoa Rainbow (5 Suits)	830	4	114	25
White & Gray Pink (5 Suits)	843	4	111	26
Up or Down & Light Pink (6 Suits)	865	4	108	26
Rainbow-Ones & Muddy Rainbow (5 Suits)	868	4	61	13
Pink-Ones & Muddy Rainbow (6 Suits)	879	4	44	11
Brown-Ones & Muddy Rainbow (5 Suits)	904	4	35	8
Omni-Ones & Light Pink (6 Suits)	919	4	28	6
Null-Ones & Light Pink (5 Suits)	932	4	36	8
Rainbow-Fives & Muddy Rainbow (3 Suits)	942	4	12	3
Rainbow-Fives & Cocoa Rainbow (6 Suits)	947	4	22	5
Rainbow-Fives & Cocoa Rainbow (5 Suits)	948	4	19	4
Pink-Fives & Light Pink (6 Suits)	955	4	26	6
White-Fives & Muddy Rainbow (6 Suits)	963	4	25	6
White-Fives & Muddy Rainbow (3 Suits)	966	4	12	3
Brown-Fives & Muddy Rainbow (6 Suits)	975	4	26	6
Brown-Fives & Light Pink (6 Suits)	979	4	30	7
Null-Fives & Muddy Rainbow (3 Suits)	1002	4	4	1
Null-Fives & Light Pink (5 Suits)	1004	4	4	1
Muddy-Rainbow-Ones & Rainbow (5 Suits)	1016	4	20	5
Muddy-Rainbow-Ones & White (6 Suits)	1023	4	52	11
Muddy-Rainbow-Ones & White (5 Suits)	1024	4	50	11
Muddy-Rainbow-Ones & Omni (6 Suits)	1031	4	20	5
Muddy-Rainbow-Ones & Light Pink (5 Suits)	1044	4	30	7
Muddy-Rainbow-Ones & Dark Rainbow (6 Suits)	1047	4	13	3
Muddy-Rainbow-Ones & Dark Null (5 Suits)	1058	4	9	2
Muddy-Rainbow-Ones & Cocoa Rainbow (6 Suits)	1059	4	8	2
Light-Pink-Ones (6 Suits)	1063	4	70	16
Light-Pink-Ones & Rainbow (5 Suits)	1068	4	31	7
Light-Pink-Ones & Muddy Rainbow (5 Suits)	1092	4	17	4
Light-Pink-Ones & Dark Omni (6 Suits)	1107	4	13	3
Muddy-Rainbow-Fives (6 Suits)	1115	4	57	14
Muddy-Rainbow-Fives & Rainbow (4 Suits)	1121	4	22	5
Muddy-Rainbow-Fives & Brown (3 Suits)	1134	4	9	2
Muddy-Rainbow-Fives & Light Pink (4 Suits)	1149	4	12	3
Light-Pink-Fives (6 Suits)	1167	4	63	14
Light-Pink-Fives & Rainbow (5 Suits)	1172	4	42	10
Light-Pink-Fives & White (6 Suits)	1179	4	36	8
Light-Pink-Fives & Brown (5 Suits)	1184	4	24	5
Light-Pink-Fives & Muddy Rainbow (6 Suits)	1195	4	13	3
Light-Pink-Fives & Light Pink (6 Suits)	1199	4	20	5
Throw It in a Hole & Brown (4 Suits)	1231	4	18	4
Throw It in a Hole & Light Pink (4 Suits)	1243	4	13	3
Alternating Clues & Rainbow (5 Suits)	1247	4	25	6
Alternating Clues & White (5 Suits)	1255	4	35	8
Alternating Clues & Null (5 Suits)	1267	4	4	1
Alternating Clues & Light Pink (6 Suits)	1274	4	12	3
Pink & Light Pink (6 Suits)	1296	4	190	41
Pink & Light Pink (4 Suits)	1298	4	119	25
Rainbow-Fives & Black (5 Suits)	1319	4	54	11
Pink-Fives & Black (5 Suits)	1323	4	40	10
Muddy-Rainbow-Fives & Black (6 Suits)	1338	4	29	6
Reversed (5 Suits)	1343	4	789	196
Rainbow Reversed (6 Suits)	1348	4	273	64
Ambiguous & Pink (5 Suits)	1354	4	82	20
White Reversed (5 Suits)	1357	4	345	71
Ambiguous & Omni (5 Suits)	1363	4	37	8
Ambiguous & Muddy Rainbow (5 Suits)	1367	4	36	8
Very Ambiguous & Brown (4 Suits)	1396	4	13	3
Dual-Color & Null (4 Suits)	1435	4	24	5
Dual-Color & Dark Null (6 Suits)	1445	4	19	4
Prism (6 Suits)	1464	4	2941	709
Pink & Prism (6 Suits)	1479	4	319	73
White & Prism (6 Suits)	1485	4	488	104
Brown & Prism (6 Suits)	1491	4	224	51
Omni & Prism (6 Suits)	1497	4	121	25
Muddy Rainbow & Prism (5 Suits)	1510	4	116	29
Light Pink & Prism (6 Suits)	1515	4	176	42
Prism & Dark Rainbow (6 Suits)	1521	4	1229	257
Prism & Dark Brown (6 Suits)	1527	4	97	20
Brown-Ones & Prism (5 Suits)	1564	4	41	10
Omni-Ones & Prism (6 Suits)	1569	4	14	3
Omni-Ones & Prism (4 Suits)	1571	4	12	3
Pink-Fives & Prism (6 Suits)	1599	4	57	12
White-Fives & Dark Prism (5 Suits)	1610	4	19	4
Omni-Fives & Prism (5 Suits)	1618	4	37	8
Ambiguous & Prism (5 Suits)	1641	4	32	8
Odds And Evens (6 Suits)	1646	4	13	3
Alternating Clues & Prism (4 Suits)	1654	4	13	3
Alternating Clues & Prism (3 Suits)	1655	4	4	1
Throw It in a Hole & Prism (6 Suits)	1660	4	22	5
Deceptive-Ones (5 Suits)	1672	4	250	62
Deceptive-Ones & Rainbow (6 Suits)	1677	4	53	12
Deceptive-Ones & Rainbow (5 Suits)	1678	4	55	13
Deceptive-Ones & Rainbow (3 Suits)	1680	4	8	2
Deceptive-Ones & Omni (4 Suits)	1695	4	9	2
Deceptive-Ones & Light Pink (5 Suits)	1706	4	26	6
Deceptive-Ones & Dark Rainbow (6 Suits)	1713	4	23	5
Deceptive-Ones & Dark Brown (6 Suits)	1719	4	4	1
Deceptive-Fives (4 Suits)	1733	4	41	9
Deceptive-Fives & Rainbow (3 Suits)	1740	4	4	1
Deceptive-Fives & Pink (6 Suits)	1741	4	33	7
Deceptive-Fives & Pink (5 Suits)	1742	4	20	5
Deceptive-Fives & Brown (5 Suits)	1750	4	19	4
Deceptive-Fives & Light Pink (4 Suits)	1767	4	12	3
Deceptive-Fives & Light Pink (3 Suits)	1768	4	8	2
Deceptive-Fives & Prism (6 Suits)	1769	4	14	3
Deceptive-Fives & Prism (5 Suits)	1770	4	14	3
Synesthesia & Brown (5 Suits)	1798	4	27	6
Odds and Evens (4 Suits)	1812	4	51	11
Odds and Evens (3 Suits)	1816	4	24	5
Critical Fours & Pink (5 Suits)	1826	4	50	11
Critical Fours & White (5 Suits)	1828	4	53	11
Critical Fours & Brown (6 Suits)	1829	4	34	7
Critical Fours & Light Pink (5 Suits)	1838	4	13	3
Dual-Color (6 Suits)	4	3	1915	500
Dual-Color & Rainbow (6 Suits)	5	3	459	130
White (6 Suits)	13	3	3706	1035
Pink-Fives & Rainbow (5 Suits)	14	3	98	30
4 Suits	15	3	6614	1808
Rainbow (5 Suits)	16	3	7238	1827
Rainbow (4 Suits)	17	3	1795	540
Rainbow (3 Suits)	19	3	1250	370
White (5 Suits)	22	3	3684	1164
Rainbow & White (5 Suits)	28	3	854	257
Ambiguous (4 Suits)	30	3	586	178
Dual-Color (5 Suits)	36	3	1672	493
Dual-Color & Rainbow (4 Suits)	38	3	203	67
Up or Down & Rainbow (5 Suits)	43	3	1036	292
Pink-Fives (6 Suits)	45	3	150	48
Pink-Fives & Rainbow (4 Suits)	47	3	60	16
Pink-Fives & Rainbow (3 Suits)	48	3	32	10
Brown (5 Suits)	70	3	5792	1626
Brown (4 Suits)	71	3	823	239
Rainbow & Brown (4 Suits)	77	3	292	82
White & Brown (6 Suits)	79	3	396	109
White & Brown (3 Suits)	82	3	129	33
White & Dark Rainbow (5 Suits)	84	3	168	44
Number Blind (4 Suits)	104	3	30	8
Pink (4 Suits)	108	3	1070	275
Color Mute (4 Suits)	112	3	45	15
Rainbow & Pink (5 Suits)	121	3	598	157
Pink & White (5 Suits)	124	3	393	108
Pink & White (4 Suits)	125	3	208	62
Pink & Brown (5 Suits)	128	3	500	131
Pink & Brown (4 Suits)	129	3	241	64
Totally Blind (4 Suits)	153	3	52	15
Up or Down & Brown (5 Suits)	158	3	197	53
Muddy Rainbow (6 Suits)	160	3	1280	342
Muddy Rainbow (4 Suits)	162	3	506	142
Light Pink (5 Suits)	165	3	900	284
Light Pink (3 Suits)	167	3	368	99
Rainbow-Ones (6 Suits)	168	3	309	81
Rainbow-Ones (5 Suits)	169	3	432	142
Rainbow-Ones & Pink (6 Suits)	172	3	135	34
Rainbow-Ones & Pink (4 Suits)	174	3	60	19
Omni (4 Suits)	178	3	501	144
Omni (3 Suits)	179	3	942	243
Rainbow & Omni (4 Suits)	192	3	132	39
Pink & Null (4 Suits)	204	3	71	22
White & Omni (4 Suits)	208	3	92	30
White & Omni (3 Suits)	209	3	72	22
Brown & Omni (4 Suits)	216	3	78	23
Brown & Omni (3 Suits)	217	3	65	17
Rainbow-Ones & Rainbow (6 Suits)	294	3	104	33
Rainbow-Ones & Rainbow (4 Suits)	296	3	64	21
Rainbow-Ones & Brown (6 Suits)	302	3	78	24
Rainbow-Ones & Omni (6 Suits)	306	3	61	16
Rainbow-Ones & Null (5 Suits)	311	3	19	5
Rainbow-Ones & Dark Pink (5 Suits)	317	3	31	8
Rainbow-Ones & Dark Omni (6 Suits)	322	3	36	10
Pink-Ones & Rainbow (4 Suits)	332	3	39	13
Pink-Ones & Pink (6 Suits)	334	3	51	13
Pink-Ones & Pink (5 Suits)	335	3	54	18
Pink-Ones & Pink (4 Suits)	336	3	24	7
Pink-Ones & Pink (3 Suits)	337	3	13	4
Pink-Ones & White (6 Suits)	338	3	66	19
Pink-Ones & Brown (5 Suits)	343	3	58	19
Pink-Ones & Omni (5 Suits)	347	3	30	10
Pink-Ones & Omni (3 Suits)	349	3	11	3
White-Ones & Rainbow (6 Suits)	370	3	125	40
White-Ones & Pink (5 Suits)	375	3	76	24
White-Ones & Pink (4 Suits)	376	3	40	11
White-Ones & White (6 Suits)	378	3	137	39
White-Ones & Brown (6 Suits)	382	3	132	36
White-Ones & Omni (6 Suits)	386	3	47	14
White-Ones & Null (6 Suits)	390	3	22	6
Brown-Ones (5 Suits)	407	3	243	71
Brown-Ones & Rainbow (6 Suits)	410	3	70	18
Brown-Ones & Rainbow (4 Suits)	412	3	45	13
Brown-Ones & White (6 Suits)	418	3	70	21
Brown-Ones & White (5 Suits)	419	3	81	25
Brown-Ones & Brown (6 Suits)	422	3	57	15
Brown-Ones & Brown (5 Suits)	423	3	58	17
Brown-Ones & Omni (6 Suits)	426	3	22	7
Brown-Ones & Omni (5 Suits)	427	3	23	7
Brown-Ones & Omni (4 Suits)	428	3	7	2
Brown-Ones & Omni (3 Suits)	429	3	12	4
Brown-Ones & Dark Pink (5 Suits)	437	3	15	4
Brown-Ones & Dark Null (5 Suits)	445	3	6	2
Omni-Ones & Rainbow (6 Suits)	450	3	42	11
Omni-Ones & Brown (3 Suits)	465	3	12	4
Omni-Ones & Null (4 Suits)	472	3	13	4
Null-Ones (5 Suits)	487	3	194	50
Null-Ones & Pink (6 Suits)	494	3	35	9
Null-Ones & White (6 Suits)	498	3	26	7
Null-Ones & White (3 Suits)	501	3	10	3
Null-Ones & Brown (5 Suits)	503	3	32	9
Null-Ones & Brown (4 Suits)	504	3	14	4
Null-Ones & Omni (3 Suits)	509	3	6	2
Null-Ones & Dark Pink (6 Suits)	516	3	6	2
Rainbow-Fives (6 Suits)	526	3	172	47
Rainbow-Fives & Rainbow (4 Suits)	532	3	37	10
Rainbow-Fives & Rainbow (3 Suits)	533	3	18	5
Rainbow-Fives & Pink (6 Suits)	534	3	42	11
Rainbow-Fives & Pink (5 Suits)	535	3	34	10
Rainbow-Fives & White (6 Suits)	538	3	85	25
Rainbow-Fives & Brown (6 Suits)	542	3	57	17
Rainbow-Fives & Omni (6 Suits)	546	3	43	12
Rainbow-Fives & Omni (3 Suits)	549	3	11	3
Rainbow-Fives & Dark Brown (6 Suits)	560	3	35	9
Rainbow-Fives & Dark Brown (5 Suits)	561	3	10	3
Pink-Fives & Pink (6 Suits)	566	3	18	5
Pink-Fives & Pink (4 Suits)	568	3	27	7
Pink-Fives & White (5 Suits)	571	3	33	10
Pink-Fives & Brown (6 Suits)	574	3	32	9
Pink-Fives & Brown (5 Suits)	575	3	38	12
Pink-Fives & Omni (4 Suits)	580	3	13	4
Pink-Fives & Omni (3 Suits)	581	3	3	1
Pink-Fives & Null (5 Suits)	583	3	15	4
White-Fives (6 Suits)	598	3	141	44
White-Fives (5 Suits)	599	3	162	51
White-Fives & Rainbow (6 Suits)	602	3	68	21
White-Fives & Rainbow (4 Suits)	604	3	42	14
White-Fives & Pink (5 Suits)	607	3	34	10
White-Fives & Pink (3 Suits)	609	3	20	6
White-Fives & White (5 Suits)	611	3	45	15
White-Fives & Brown (3 Suits)	617	3	12	4
White-Fives & Null (4 Suits)	624	3	10	3
Brown-Fives (5 Suits)	639	3	163	52
Brown-Fives & Rainbow (6 Suits)	642	3	27	7
Brown-Fives & Pink (4 Suits)	648	3	22	7
Brown-Fives & White (6 Suits)	650	3	37	10
Brown-Fives & White (5 Suits)	651	3	54	16
Brown-Fives & White (3 Suits)	653	3	9	3
Brown-Fives & Dark Null (5 Suits)	677	3	3	1
Omni-Fives (5 Suits)	679	3	147	43
Omni-Fives & Rainbow (5 Suits)	683	3	38	10
Omni-Fives & White (3 Suits)	693	3	18	6
Omni-Fives & Brown (5 Suits)	695	3	15	5
Omni-Fives & Null (6 Suits)	702	3	3	1
Omni-Fives & Null (4 Suits)	704	3	10	3
Null-Fives & Brown (5 Suits)	735	3	12	4
Null-Fives & Brown (4 Suits)	736	3	21	6
Null-Fives & Omni (3 Suits)	741	3	7	2
Pink & Muddy Rainbow (5 Suits)	761	3	162	46
White & Muddy Rainbow (6 Suits)	764	3	180	46
White & Muddy Rainbow (5 Suits)	765	3	157	51
White & Muddy Rainbow (4 Suits)	766	3	71	23
White & Muddy Rainbow (3 Suits)	767	3	77	20
Omni & Muddy Rainbow (4 Suits)	774	3	45	12
Rainbow & Light Pink (5 Suits)	783	3	213	65
Rainbow & Light Pink (4 Suits)	784	3	158	45
White & Light Pink (5 Suits)	787	3	158	45
Brown & Light Pink (5 Suits)	791	3	145	41
Brown & Light Pink (3 Suits)	793	3	42	12
Omni & Light Pink (3 Suits)	797	3	28	8
Null & Light Pink (4 Suits)	800	3	25	7
Null & Light Pink (3 Suits)	801	3	30	8
Rainbow-Ones & Light Pink (6 Suits)	871	3	53	16
Rainbow-Ones & Light Pink (3 Suits)	874	3	19	6
Rainbow-Ones & Gray Pink (5 Suits)	878	3	21	6
Pink-Ones & Muddy Rainbow (5 Suits)	880	3	18	6
Pink-Ones & Light Pink (6 Suits)	883	3	38	12
Pink-Ones & Light Pink (4 Suits)	885	3	19	5
White-Ones & Muddy Rainbow (6 Suits)	891	3	60	20
White-Ones & Light Pink (5 Suits)	896	3	62	17
White-Ones & Light Pink (3 Suits)	898	3	12	4
White-Ones & Gray Pink (5 Suits)	902	3	24	7
Brown-Ones & Muddy Rainbow (3 Suits)	906	3	19	6
Brown-Ones & Light Pink (5 Suits)	908	3	20	6
Brown-Ones & Light Pink (4 Suits)	909	3	15	5
Omni-Ones & Muddy Rainbow (6 Suits)	915	3	29	8
Omni-Ones & Muddy Rainbow (4 Suits)	917	3	6	2
Omni-Ones & Light Pink (4 Suits)	921	3	7	2
Omni-Ones & Light Pink (3 Suits)	922	3	17	5
Null-Ones & Muddy Rainbow (6 Suits)	927	3	10	3
Null-Ones & Light Pink (4 Suits)	933	3	6	2
Rainbow-Fives & Muddy Rainbow (5 Suits)	940	3	18	6
Rainbow-Fives & Muddy Rainbow (4 Suits)	941	3	17	5
Rainbow-Fives & Gray Pink (5 Suits)	950	3	22	6
Pink-Fives & Light Pink (4 Suits)	957	3	15	5
White-Fives & Muddy Rainbow (4 Suits)	965	3	11	3
White-Fives & Light Pink (6 Suits)	967	3	30	8
White-Fives & Gray Pink (5 Suits)	974	3	13	4
Brown-Fives & Muddy Rainbow (4 Suits)	977	3	23	6
Brown-Fives & Light Pink (5 Suits)	980	3	17	5
Omni-Fives & Muddy Rainbow (6 Suits)	987	3	6	2
Omni-Fives & Gray Pink (5 Suits)	998	3	7	2
Null-Fives & Light Pink (6 Suits)	1003	3	3	1
Muddy-Rainbow-Ones & Rainbow (4 Suits)	1017	3	22	7
Muddy-Rainbow-Ones & Pink (6 Suits)	1019	3	36	12
Muddy-Rainbow-Ones & Pink (5 Suits)	1020	3	30	10
Muddy-Rainbow-Ones & Brown (6 Suits)	1027	3	29	8
Muddy-Rainbow-Ones & Brown (4 Suits)	1029	3	10	3
Muddy-Rainbow-Ones & Light Pink (3 Suits)	1046	3	3	1
Muddy-Rainbow-Ones & Dark Pink (5 Suits)	1050	3	14	4
Light-Pink-Ones (4 Suits)	1065	3	31	10
Light-Pink-Ones & Rainbow (6 Suits)	1067	3	31	8
Light-Pink-Ones & Brown (5 Suits)	1080	3	19	6
Light-Pink-Ones & Brown (3 Suits)	1082	3	6	2
Light-Pink-Ones & Muddy Rainbow (4 Suits)	1093	3	14	4
Muddy-Rainbow-Fives (5 Suits)	1116	3	50	16
Muddy-Rainbow-Fives (3 Suits)	1118	3	21	6
Muddy-Rainbow-Fives & Rainbow (6 Suits)	1119	3	13	4
Muddy-Rainbow-Fives & Rainbow (5 Suits)	1120	3	20	6
Muddy-Rainbow-Fives & Pink (4 Suits)	1125	3	10	3
Muddy-Rainbow-Fives & Null (4 Suits)	1141	3	3	1
Muddy-Rainbow-Fives & Muddy Rainbow (4 Suits)	1145	3	9	3
Light-Pink-Fives & Rainbow (6 Suits)	1171	3	18	6
Light-Pink-Fives & White (5 Suits)	1180	3	30	10
Light-Pink-Fives & Brown (4 Suits)	1185	3	24	7
Light-Pink-Fives & Dark Brown (5 Suits)	1210	3	10	3
Throw It in a Hole & Pink (4 Suits)	1225	3	19	5
Throw It in a Hole & Omni (4 Suits)	1234	3	11	3
Throw It in a Hole & Muddy Rainbow (5 Suits)	1239	3	17	5
Alternating Clues & Pink (4 Suits)	1252	3	14	4
Alternating Clues & Brown (5 Suits)	1259	3	19	6
Alternating Clues & Brown (4 Suits)	1260	3	3	1
Alternating Clues & Null (6 Suits)	1266	3	3	1
Rainbow & Muddy Rainbow (6 Suits)	1292	3	192	53
Rainbow & Muddy Rainbow (4 Suits)	1294	3	100	32
Pink & Light Pink (5 Suits)	1297	3	155	40
Pink & Light Pink (3 Suits)	1299	3	62	18
Light-Pink-Ones & Black (5 Suits)	1335	3	6	2
Rainbow Reversed (3 Suits)	1351	3	76	22
Ambiguous & Omni (3 Suits)	1364	3	11	3
Ambiguous & Light Pink (5 Suits)	1369	3	54	15
Very Ambiguous & Pink (4 Suits)	1390	3	15	4
Extremely Ambiguous & White (5 Suits)	1392	3	3	1
Very Ambiguous & White (4 Suits)	1393	3	24	7
Extremely Ambiguous & Omni (6 Suits)	1397	3	10	3
Very Ambiguous & Null (4 Suits)	1402	3	11	3
Extremely Ambiguous & Light Pink (5 Suits)	1407	3	6	2
Extremely Ambiguous & Cocoa Rainbow (6 Suits)	1421	3	3	1
Dual-Color & Pink (6 Suits)	1426	3	175	46
Dual-Color & White (6 Suits)	1428	3	211	57
Dual-Color & Brown (6 Suits)	1430	3	99	29
Dual-Color & Brown (4 Suits)	1431	3	61	19
Dual-Color & Muddy Rainbow (6 Suits)	1436	3	63	21
Alternating Clues & Dark Omni (6 Suits)	1456	3	6	2
Prism (5 Suits)	1465	3	1781	589
Rainbow & Prism (4 Suits)	1475	3	289	81
Rainbow & Prism (3 Suits)	1476	3	156	45
Pink & Prism (5 Suits)	1480	3	273	73
Pink & Prism (4 Suits)	1481	3	149	46
Pink & Prism (3 Suits)	1482	3	107	28
White & Prism (5 Suits)	1486	3	337	106
White & Prism (4 Suits)	1487	3	184	54
Brown & Prism (5 Suits)	1492	3	215	68
Brown & Prism (4 Suits)	1493	3	84	27
Brown & Prism (3 Suits)	1494	3	42	14
Omni & Prism (5 Suits)	1498	3	98	27
Null & Prism (6 Suits)	1503	3	46	15
Null & Prism (5 Suits)	1504	3	51	15
Null & Prism (3 Suits)	1506	3	17	5
Muddy Rainbow & Prism (6 Suits)	1509	3	107	27
Rainbow-Ones & Prism (6 Suits)	1545	3	117	31
Rainbow-Ones & Prism (3 Suits)	1548	3	27	9
Rainbow-Ones & Dark Prism (5 Suits)	1550	3	22	7
Pink-Ones & Prism (6 Suits)	1551	3	46	13
Pink-Ones & Prism (3 Suits)	1554	3	17	5
