player	variant	count
ADrone	No Variant	234
asaelr	No Variant	728
Bot-Fiora	No Variant	92
Dr_Kakashi	No Variant	594
eliclax	No Variant	196
Fireheart	No Variant	442
Floriman	No Variant	309
florrat2	No Variant	271
IAMJEFF	No Variant	57
indego	No Variant	325
kimbifille	No Variant	147
Kyle	No Variant	648
Lanvin	Special Mix (5 Suits)	256
Lel0uch	No Variant	257
Libster	No Variant	532
MarkusKahlsen	No Variant	259
melwen	No Variant	451
micerang	No Variant	628
nitawa	No Variant	182
Nitrate	No Variant	196
Pablo-	No Variant	287
padi	No Variant	205
pianoblook	No Variant	454
piper	No Variant	224
RaKXeR	No Variant	463
rinka	No Variant	68
scharkbite	No Variant	539
sin_faith	No Variant	543
sjdrodge	4 Suits	1192
timotree	No Variant	574
Valetta6789	No Variant	213
VerySloppyTwo	Special Mix (5 Suits)	172
Zamiel	No Variant	1411
