variant	count
White-Ones & Null (5 Suits)	27
Pink-Fives & Black (5 Suits)	27
Omni-Fives & Cocoa Rainbow (6 Suits)	27
Light-Pink-Fives (5 Suits)	27
Number Blind (4 Suits)	27
Deceptive-Fives & Dark Rainbow (6 Suits)	27
Null-Fives & Rainbow (6 Suits)	27
Omni & Cocoa Rainbow (5 Suits)	27
Dual-Color & Pink (4 Suits)	27
Rainbow-Fives & Prism (6 Suits)	27
Pink-Ones (3 Suits)	27
Light-Pink-Ones & Brown (6 Suits)	27
Null-Ones & Prism (4 Suits)	27
White-Ones & Dark Prism (5 Suits)	27
Null & Cocoa Rainbow (5 Suits)	27
Rainbow-Ones & Dark Brown (6 Suits)	27
Rainbow-Fives & Dark Brown (6 Suits)	26
Pink-Ones & Muddy Rainbow (6 Suits)	26
Dual-Color & Muddy Rainbow (4 Suits)	26
White-Fives & Brown (5 Suits)	26
Muddy-Rainbow-Fives & Dark Prism (5 Suits)	26
White-Ones & Omni (6 Suits)	26
Alternating Clues & Black (6 Suits)	26
Light-Pink-Ones & Gray (5 Suits)	26
Throw It in a Hole & Pink (5 Suits)	26
Omni-Ones (3 Suits)	26
Deceptive-Fives & White (6 Suits)	26
Pink-Ones & Brown (4 Suits)	26
Deceptive-Ones & Black (5 Suits)	26
Dark Brown & Gray Pink (6 Suits)	26
Pink-Ones & White (5 Suits)	26
Omni-Fives & Rainbow (6 Suits)	25
Deceptive-Fives & Gray (6 Suits)	25
Ambiguous & Muddy Rainbow (5 Suits)	25
Light-Pink-Ones & Dark Prism (6 Suits)	25
Alternating Clues & Omni (6 Suits)	25
Brown-Fives & Pink (5 Suits)	25
Ambiguous & Prism (5 Suits)	25
Rainbow-Ones & Brown (4 Suits)	25
Null & Prism (6 Suits)	25
Light-Pink-Fives & Dark Pink (5 Suits)	25
Null-Ones & Rainbow (5 Suits)	25
Rainbow-Fives & Rainbow (6 Suits)	25
Null-Ones & Pink (6 Suits)	25
White-Fives (3 Suits)	25
Deceptive-Ones & Omni (6 Suits)	25
Null-Ones & Null (5 Suits)	24
Light-Pink-Ones (4 Suits)	24
Null & Muddy Rainbow (4 Suits)	24
Clue Starved & Null (5 Suits)	24
Light Pink & Dark Null (5 Suits)	24
Rainbow-Ones & Dark Rainbow (6 Suits)	24
Light-Pink-Ones & Dark Rainbow (6 Suits)	24
White-Ones & Muddy Rainbow (6 Suits)	24
Dual-Color & White (4 Suits)	24
Rainbow-Ones & Light Pink (5 Suits)	24
Omni-Ones (4 Suits)	24
Omni-Ones & White (5 Suits)	24
Deceptive-Fives & Light Pink (6 Suits)	24
Omni-Fives & White (6 Suits)	24
Muddy-Rainbow-Fives & Dark Rainbow (6 Suits)	24
Brown-Fives & Omni (6 Suits)	24
Throw It in a Hole & Rainbow (4 Suits)	24
Null-Ones & Rainbow (4 Suits)	23
Throw It in a Hole & Omni (6 Suits)	23
Omni-Fives & Pink (6 Suits)	23
Extremely Ambiguous & Light Pink (6 Suits)	23
Muddy-Rainbow-Fives & Dark Pink (5 Suits)	23
Rainbow-Ones & Gray (5 Suits)	23
Light Pink & Prism (4 Suits)	23
Null-Ones (3 Suits)	23
Brown & Prism (3 Suits)	23
Throw It in a Hole & Prism (5 Suits)	23
Brown-Fives & Omni (3 Suits)	23
Omni-Ones & Brown (5 Suits)	23
White-Fives & White (5 Suits)	23
White-Ones & Muddy Rainbow (3 Suits)	23
Light-Pink-Ones & Black (6 Suits)	23
Muddy-Rainbow-Ones & Black (5 Suits)	23
Pink-Fives & Gray (6 Suits)	23
Rainbow-Ones & Gray Pink (6 Suits)	22
Light-Pink-Ones & Rainbow (5 Suits)	22
Deceptive-Ones & White (5 Suits)	22
White-Ones & Muddy Rainbow (5 Suits)	22
White-Ones & Omni (5 Suits)	22
Very Ambiguous & White (4 Suits)	22
Rainbow-Ones & Omni (5 Suits)	22
White-Ones & Prism (4 Suits)	22
Null-Fives & Omni (5 Suits)	22
Throw It in a Hole & Light Pink (5 Suits)	22
Alternating Clues & Black (5 Suits)	22
Rainbow-Ones & Prism (5 Suits)	22
Brown-Fives & Pink (3 Suits)	22
Ambiguous & Omni (5 Suits)	22
Null-Ones & Light Pink (5 Suits)	22
Omni & Muddy Rainbow (4 Suits)	21
Null-Ones (4 Suits)	21
Extremely Ambiguous & Gray Pink (6 Suits)	21
Omni & Gray Pink (5 Suits)	21
Brown-Ones & Pink (4 Suits)	21
Brown-Ones & Dark Prism (6 Suits)	21
Null-Ones & Dark Rainbow (6 Suits)	21
Null-Ones & Dark Prism (6 Suits)	21
Light-Pink-Ones & Rainbow (6 Suits)	21
Deceptive-Ones (3 Suits)	21
Ambiguous & Dark Null (5 Suits)	21
White-Ones & Dark Omni (6 Suits)	21
White-Ones & Dark Omni (5 Suits)	21
Null & Light Pink (3 Suits)	21
Muddy-Rainbow-Fives & Gray (5 Suits)	20
Pink-Fives & Cocoa Rainbow (5 Suits)	20
White-Fives & Cocoa Rainbow (6 Suits)	20
Pink-Ones & Prism (5 Suits)	20
Muddy-Rainbow-Fives & Muddy Rainbow (6 Suits)	20
White-Fives & Prism (6 Suits)	20
Rainbow-Fives & Brown (5 Suits)	20
Pink-Ones & Light Pink (6 Suits)	20
Ambiguous & White (3 Suits)	20
Muddy-Rainbow-Ones & Pink (5 Suits)	20
Omni-Ones & Rainbow (6 Suits)	20
Null & Dark Omni (5 Suits)	20
Omni-Ones & Rainbow (5 Suits)	20
Null & Dark Pink (5 Suits)	20
White-Ones & Rainbow (3 Suits)	20
Pink-Fives & Muddy Rainbow (4 Suits)	20
Null-Fives & Prism (4 Suits)	20
Rainbow-Ones & Omni (6 Suits)	20
Rainbow-Ones & Muddy Rainbow (6 Suits)	20
Omni-Ones & Dark Pink (6 Suits)	20
Omni-Fives & Prism (5 Suits)	20
Pink-Fives & Cocoa Rainbow (6 Suits)	19
Pink-Ones & Light Pink (3 Suits)	19
Dark Pink & Cocoa Rainbow (6 Suits)	19
Muddy-Rainbow-Ones & Muddy Rainbow (6 Suits)	19
Muddy-Rainbow-Ones & Light Pink (4 Suits)	19
Alternating Clues & Omni (3 Suits)	19
Brown-Ones & Gray (6 Suits)	19
Muddy-Rainbow-Ones (6 Suits)	19
White-Ones & Dark Null (5 Suits)	19
Brown & Dark Null (6 Suits)	19
Brown-Ones & Gray Pink (5 Suits)	19
White-Ones & Dark Prism (6 Suits)	19
Rainbow-Ones & Light Pink (6 Suits)	19
Brown-Ones & White (4 Suits)	19
Pink-Ones & Rainbow (5 Suits)	19
Light-Pink-Ones & Omni (6 Suits)	19
Deceptive-Fives & Pink (6 Suits)	19
Null-Ones & Pink (3 Suits)	19
Muddy-Rainbow-Ones & Gray Pink (6 Suits)	19
Rainbow-Fives & Dark Rainbow (5 Suits)	19
Ambiguous & Dark Omni (5 Suits)	19
Pink-Ones & Pink (4 Suits)	18
Light-Pink-Ones & Dark Prism (5 Suits)	18
Null-Fives & Brown (4 Suits)	18
Pink-Ones & Pink (6 Suits)	18
Pink-Ones & Prism (6 Suits)	18
Muddy-Rainbow-Fives (3 Suits)	18
White-Ones & Null (6 Suits)	18
Rainbow-Fives & Light Pink (5 Suits)	18
Clue Starved & Muddy Rainbow (5 Suits)	18
Pink-Ones & Dark Brown (6 Suits)	18
Brown-Ones & Muddy Rainbow (6 Suits)	18
Rainbow-Fives & Brown (4 Suits)	18
Rainbow-Fives & Rainbow (4 Suits)	18
Brown-Fives & Muddy Rainbow (4 Suits)	18
Rainbow-Fives (4 Suits)	18
Brown-Fives & White (6 Suits)	18
Deceptive-Ones & Light Pink (5 Suits)	18
Pink-Ones & Dark Prism (5 Suits)	17
Omni-Fives & Black (6 Suits)	17
Alternating Clues & Cocoa Rainbow (6 Suits)	17
Muddy-Rainbow-Fives & Rainbow (3 Suits)	17
Muddy-Rainbow-Fives & Rainbow (4 Suits)	17
Rainbow-Fives & White (3 Suits)	17
Pink-Ones & Cocoa Rainbow (5 Suits)	17
Muddy-Rainbow-Ones & Prism (6 Suits)	17
Pink-Ones & Omni (6 Suits)	17
Light-Pink-Ones & Gray (6 Suits)	17
Pink-Ones & Dark Omni (6 Suits)	17
Pink-Ones & Dark Rainbow (5 Suits)	17
Light Pink & Prism (3 Suits)	17
Omni-Ones & Light Pink (6 Suits)	17
Deceptive-Fives & Pink (5 Suits)	17
Omni-Ones & Gray Pink (6 Suits)	17
Alternating Clues & Dark Prism (5 Suits)	17
Null-Fives & Gray (5 Suits)	17
Muddy Rainbow & Light Pink (4 Suits)	17
Pink-Fives & White (3 Suits)	17
Brown-Fives & Rainbow (4 Suits)	17
Brown-Ones & Prism (5 Suits)	17
Muddy-Rainbow-Ones & Light Pink (5 Suits)	16
Light-Pink-Fives & Brown (5 Suits)	16
Omni-Fives & Prism (6 Suits)	16
Muddy-Rainbow-Fives & Pink (3 Suits)	16
Ambiguous & Dark Prism (5 Suits)	16
Extremely Ambiguous & Null (5 Suits)	16
Rainbow-Fives & Omni (4 Suits)	16
Pink-Ones & Omni (5 Suits)	16
Pink-Ones & White (3 Suits)	16
Omni-Fives & White (3 Suits)	16
Deceptive-Ones & Omni (3 Suits)	16
Omni-Fives & White (5 Suits)	16
Deceptive-Fives & White (5 Suits)	16
Dark Omni & Dark Prism (6 Suits)	16
Deceptive-Ones & Rainbow (6 Suits)	16
White-Fives & Rainbow (3 Suits)	16
Brown-Ones & Cocoa Rainbow (5 Suits)	16
Muddy-Rainbow-Fives & Dark Rainbow (5 Suits)	16
Pink-Fives & Prism (4 Suits)	16
White-Fives & Null (3 Suits)	16
Brown-Ones & Rainbow (3 Suits)	16
Ambiguous & Null (3 Suits)	16
Omni-Fives & Dark Rainbow (6 Suits)	16
Brown-Fives & Dark Pink (5 Suits)	16
Brown-Fives & White (4 Suits)	16
White-Fives & Pink (5 Suits)	15
Null-Fives & Brown (3 Suits)	15
Null-Fives & Dark Brown (6 Suits)	15
Throw It in a Hole & Brown (4 Suits)	15
Omni-Ones & Omni (5 Suits)	15
Brown-Fives & Prism (4 Suits)	15
Rainbow-Ones & Rainbow (3 Suits)	15
Rainbow-Ones & Prism (3 Suits)	15
Pink-Fives & Light Pink (6 Suits)	15
Null-Fives (3 Suits)	15
Null-Fives (6 Suits)	15
Rainbow-Fives & Dark Pink (6 Suits)	15
Rainbow-Ones & Muddy Rainbow (4 Suits)	15
Deceptive-Fives & Cocoa Rainbow (6 Suits)	15
Brown-Fives & Black (5 Suits)	15
White-Ones & Brown (3 Suits)	15
Null-Ones & Dark Pink (5 Suits)	15
Light-Pink-Ones & Muddy Rainbow (5 Suits)	15
Dual-Color & Null (4 Suits)	15
Pink-Fives & Null (5 Suits)	15
Null-Ones & Omni (6 Suits)	15
Rainbow-Fives (3 Suits)	15
Throw It in a Hole & Null (4 Suits)	15
Gray & Dark Prism (6 Suits)	15
Rainbow-Fives & Rainbow (5 Suits)	15
Extremely Ambiguous & Omni (5 Suits)	15
Muddy-Rainbow-Fives & Cocoa Rainbow (5 Suits)	15
Rainbow-Fives & Black (5 Suits)	15
Deceptive-Ones & Gray Pink (5 Suits)	15
Light-Pink-Fives & Brown (4 Suits)	15
Brown-Ones & Omni (5 Suits)	14
Alternating Clues & Brown (5 Suits)	14
Muddy-Rainbow-Ones & Brown (3 Suits)	14
Null & Dark Prism (6 Suits)	14
Null & Light Pink (4 Suits)	14
Rainbow-Ones & Brown (3 Suits)	14
Muddy-Rainbow-Ones & Brown (6 Suits)	14
Alternating Clues & White (3 Suits)	14
Pink-Fives & Brown (4 Suits)	14
Light-Pink-Ones & Light Pink (4 Suits)	14
Pink-Ones & Null (5 Suits)	14
Deceptive-Ones & Dark Prism (5 Suits)	14
White-Fives & White (4 Suits)	14
Alternating Clues & Prism (6 Suits)	14
Rainbow-Ones & Gray Pink (5 Suits)	14
Muddy-Rainbow-Fives & Omni (6 Suits)	14
White-Ones & Muddy Rainbow (4 Suits)	14
Null-Ones & Brown (6 Suits)	14
Muddy-Rainbow-Fives & Omni (3 Suits)	14
Omni-Ones & Light Pink (3 Suits)	14
Brown-Fives & Brown (4 Suits)	14
Deceptive-Ones & Rainbow (5 Suits)	14
Brown-Fives & Light Pink (3 Suits)	14
Pink-Fives & Prism (6 Suits)	14
Brown-Fives & Light Pink (5 Suits)	14
Extremely Ambiguous & Dark Omni (5 Suits)	14
White-Fives & Cocoa Rainbow (5 Suits)	14
Prism & Dark Null (6 Suits)	14
Light-Pink-Ones & Prism (6 Suits)	14
Extremely Ambiguous & Black (5 Suits)	14
Pink-Ones & Prism (4 Suits)	14
Rainbow-Ones & White (3 Suits)	14
White-Ones & Cocoa Rainbow (5 Suits)	14
Gray Pink & Dark Prism (6 Suits)	14
Brown-Ones & Null (3 Suits)	14
White-Fives & Prism (4 Suits)	14
Brown-Ones & Muddy Rainbow (3 Suits)	14
Alternating Clues & Brown (6 Suits)	14
Throw It in a Hole & Muddy Rainbow (5 Suits)	14
Omni-Ones & Prism (5 Suits)	13
Light-Pink-Ones & Light Pink (5 Suits)	13
Light-Pink-Ones & Light Pink (6 Suits)	13
Light-Pink-Ones & Pink (5 Suits)	13
White-Ones & Light Pink (4 Suits)	13
White-Ones & Dark Rainbow (5 Suits)	13
Alternating Clues & Brown (3 Suits)	13
Light-Pink-Fives & Gray (5 Suits)	13
Muddy-Rainbow-Fives & Brown (6 Suits)	13
White-Fives & Pink (6 Suits)	13
Muddy-Rainbow-Fives & Dark Prism (6 Suits)	13
Muddy-Rainbow-Fives & Gray (6 Suits)	13
Muddy-Rainbow-Fives & Gray Pink (5 Suits)	13
White-Fives & Black (6 Suits)	13
Muddy-Rainbow-Fives & White (6 Suits)	13
Ambiguous & Gray Pink (5 Suits)	13
Muddy-Rainbow-Ones & Dark Omni (6 Suits)	13
Muddy-Rainbow-Ones & Dark Pink (6 Suits)	13
Muddy-Rainbow-Ones & Light Pink (6 Suits)	13
Very Ambiguous & Pink (4 Suits)	13
Null-Fives & Black (6 Suits)	13
Null-Fives & Cocoa Rainbow (6 Suits)	13
Rainbow-Ones & White (4 Suits)	13
Brown-Fives & White (5 Suits)	13
Rainbow-Ones & Dark Pink (5 Suits)	13
Omni & Light Pink (3 Suits)	13
Rainbow-Fives & Gray (6 Suits)	13
Omni & Prism (3 Suits)	13
Rainbow-Fives & Cocoa Rainbow (5 Suits)	13
Brown-Ones & Muddy Rainbow (4 Suits)	13
Omni-Fives & Omni (5 Suits)	13
Omni-Ones & Gray (5 Suits)	13
Omni-Ones & Null (5 Suits)	13
Deceptive-Fives & Gray Pink (6 Suits)	13
Deceptive-Fives & Muddy Rainbow (5 Suits)	13
Pink-Ones & White (4 Suits)	13
Dual-Color & Light Pink (4 Suits)	13
Pink-Ones & Rainbow (3 Suits)	13
Deceptive-Ones & Pink (5 Suits)	13
Pink-Fives & Brown (6 Suits)	13
Alternating Clues & Rainbow (5 Suits)	12
Ambiguous & Pink (3 Suits)	12
Pink-Fives & Muddy Rainbow (5 Suits)	12
Muddy-Rainbow-Ones & Gray Pink (5 Suits)	12
Brown-Fives & Pink (6 Suits)	12
Muddy-Rainbow-Ones & Null (3 Suits)	12
Extremely Ambiguous & Dark Null (6 Suits)	12
Deceptive-Ones & Cocoa Rainbow (5 Suits)	12
Muddy-Rainbow-Ones & White (6 Suits)	12
Omni-Fives (3 Suits)	12
Null & Gray Pink (6 Suits)	12
Brown-Ones & Omni (6 Suits)	12
Omni-Fives & Pink (4 Suits)	12
Light-Pink-Fives & Rainbow (5 Suits)	12
Rainbow-Fives & Pink (5 Suits)	12
White-Ones & Omni (3 Suits)	12
Dark Brown & Cocoa Rainbow (6 Suits)	12
White-Ones & White (3 Suits)	12
Pink-Ones & Light Pink (4 Suits)	12
Light-Pink-Fives & Muddy Rainbow (6 Suits)	12
Alternating Clues & Dark Brown (5 Suits)	12
Muddy Rainbow & Prism (4 Suits)	12
Light Pink & Dark Omni (5 Suits)	12
White-Fives & Omni (6 Suits)	12
Brown-Ones & Null (6 Suits)	12
Rainbow-Ones & Light Pink (3 Suits)	12
Alternating Clues & Light Pink (6 Suits)	12
White-Fives & Brown (3 Suits)	12
Muddy-Rainbow-Fives & Pink (5 Suits)	12
Null-Ones & Brown (5 Suits)	12
Rainbow-Ones & Null (4 Suits)	12
Null-Ones & Black (6 Suits)	12
Omni-Ones & Light Pink (5 Suits)	12
Brown-Ones & Light Pink (4 Suits)	12
Omni-Ones & Black (6 Suits)	12
Null-Fives & Rainbow (5 Suits)	12
White-Ones & Pink (3 Suits)	12
Omni-Ones & Muddy Rainbow (6 Suits)	12
Brown-Fives (3 Suits)	12
White-Ones & Prism (3 Suits)	11
Omni-Fives & Cocoa Rainbow (5 Suits)	11
Omni-Ones & Black (5 Suits)	11
Extremely Ambiguous & Dark Pink (5 Suits)	11
Omni & Light Pink (4 Suits)	11
Omni-Ones & Dark Pink (5 Suits)	11
Null-Ones & Muddy Rainbow (5 Suits)	11
Rainbow-Ones & Null (5 Suits)	11
Rainbow-Ones & Null (6 Suits)	11
Omni-Ones & Omni (6 Suits)	11
Throw It in a Hole & Brown (5 Suits)	11
Throw It in a Hole & Pink (4 Suits)	11
Pink-Fives & Dark Brown (5 Suits)	11
Null & Gray Pink (5 Suits)	11
Light-Pink-Fives & Dark Null (6 Suits)	11
Light-Pink-Fives (4 Suits)	11
Muddy-Rainbow-Ones & Dark Pink (5 Suits)	11
Pink-Fives & White (5 Suits)	11
Ambiguous & Dark Rainbow (5 Suits)	11
White-Fives & Brown (6 Suits)	11
White-Fives & Dark Brown (5 Suits)	11
White-Fives & Light Pink (4 Suits)	11
Pink-Fives & Dark Prism (6 Suits)	11
White-Fives & Pink (3 Suits)	11
Light-Pink-Fives & White (5 Suits)	11
Pink-Ones & Null (6 Suits)	11
Light-Pink-Fives & Gray Pink (6 Suits)	11
Alternating Clues & Dark Prism (6 Suits)	11
Light-Pink-Ones (3 Suits)	11
Light-Pink-Ones & White (5 Suits)	11
Light-Pink-Ones & Pink (4 Suits)	11
White-Ones & Omni (4 Suits)	11
Brown-Ones & Pink (3 Suits)	11
Brown-Ones & Light Pink (5 Suits)	11
Light-Pink-Fives (3 Suits)	10
Muddy-Rainbow-Ones & Brown (5 Suits)	10
Extremely Ambiguous & Brown (5 Suits)	10
Muddy-Rainbow-Fives (4 Suits)	10
Muddy-Rainbow-Fives & Rainbow (6 Suits)	10
Pink-Ones & Cocoa Rainbow (6 Suits)	10
Omni-Ones & Null (4 Suits)	10
Null-Ones & Dark Null (5 Suits)	10
Rainbow-Ones & Light Pink (4 Suits)	10
Deceptive-Ones & Gray (6 Suits)	10
Pink-Ones & Gray (6 Suits)	10
Pink-Ones & Dark Pink (6 Suits)	10
Deceptive-Ones & Prism (5 Suits)	10
White-Fives & Gray Pink (6 Suits)	10
White-Ones & Light Pink (6 Suits)	10
White-Fives & Muddy Rainbow (3 Suits)	10
Omni-Fives & Dark Brown (5 Suits)	10
Rainbow-Ones & Dark Null (6 Suits)	10
Light-Pink-Ones & Brown (5 Suits)	10
Muddy-Rainbow-Fives & Dark Null (5 Suits)	10
Muddy-Rainbow-Fives & Black (5 Suits)	10
Pink-Ones & Omni (3 Suits)	10
Rainbow-Fives & Dark Omni (5 Suits)	10
Extremely Ambiguous & Gray Pink (5 Suits)	10
Omni-Fives & Brown (5 Suits)	10
Brown-Ones & Brown (4 Suits)	10
Throw It in a Hole & Null (6 Suits)	10
Deceptive-Ones & Muddy Rainbow (5 Suits)	10
Muddy Rainbow & Prism (3 Suits)	10
Throw It in a Hole & Null (5 Suits)	10
Dark Null & Gray Pink (6 Suits)	10
Rainbow-Fives & Muddy Rainbow (4 Suits)	10
Light-Pink-Fives & Dark Omni (5 Suits)	10
Deceptive-Ones & Brown (5 Suits)	10
Omni-Ones & Pink (3 Suits)	10
Throw It in a Hole & White (4 Suits)	10
Muddy-Rainbow-Ones & Rainbow (4 Suits)	10
Brown-Fives & Gray (6 Suits)	10
Very Ambiguous & Brown (4 Suits)	10
Muddy-Rainbow-Ones & Omni (6 Suits)	10
Null-Fives & Gray Pink (5 Suits)	10
Muddy-Rainbow-Ones & Muddy Rainbow (4 Suits)	10
Brown-Fives & Rainbow (5 Suits)	10
Light-Pink-Ones & Brown (4 Suits)	10
Light-Pink-Ones & Gray Pink (5 Suits)	10
Null-Ones & White (5 Suits)	10
Muddy-Rainbow-Ones & Dark Null (6 Suits)	10
Rainbow-Fives & Dark Prism (5 Suits)	10
Dual-Color & Dark Null (6 Suits)	10
Omni-Fives & Light Pink (5 Suits)	9
Light-Pink-Ones & Cocoa Rainbow (5 Suits)	9
Muddy Rainbow & Dark Null (6 Suits)	9
Light-Pink-Fives & Dark Rainbow (6 Suits)	9
Muddy-Rainbow-Fives & Black (6 Suits)	9
Muddy-Rainbow-Ones & Dark Brown (6 Suits)	9
Muddy-Rainbow-Ones & Dark Rainbow (6 Suits)	9
Muddy-Rainbow-Ones & Gray (5 Suits)	9
Muddy-Rainbow-Ones & Rainbow (3 Suits)	9
Muddy-Rainbow-Ones (4 Suits)	9
Light-Pink-Fives & Cocoa Rainbow (6 Suits)	9
Null & Prism (3 Suits)	9
Null-Ones & Omni (5 Suits)	9
Extremely Ambiguous & Pink (6 Suits)	9
Extremely Ambiguous & Dark Omni (6 Suits)	9
Omni-Fives & Gray (6 Suits)	9
Omni-Fives & Gray Pink (6 Suits)	9
Omni-Fives & Rainbow (5 Suits)	9
Omni-Fives & White (4 Suits)	9
Omni-Ones & Brown (3 Suits)	9
Omni-Ones & Dark Rainbow (5 Suits)	9
Omni-Ones & Muddy Rainbow (5 Suits)	9
Omni-Ones & Pink (5 Suits)	9
Deceptive-Ones & Pink (4 Suits)	9
Deceptive-Ones & Pink (3 Suits)	9
Pink-Fives & Light Pink (5 Suits)	9
Pink-Fives & Omni (6 Suits)	9
Pink-Fives & Prism (5 Suits)	9
Deceptive-Ones & Brown (4 Suits)	9
Deceptive-Fives (3 Suits)	9
Pink-Ones & Pink (3 Suits)	9
Pink-Ones & Prism (3 Suits)	9
Deceptive-Fives & Light Pink (4 Suits)	9
Deceptive-Fives & Dark Rainbow (5 Suits)	9
Deceptive-Fives & Black (6 Suits)	9
Brown-Ones & Prism (4 Suits)	9
Brown-Ones & Omni (3 Suits)	9
Brown-Ones & Light Pink (3 Suits)	9
Rainbow-Fives & Dark Pink (5 Suits)	9
Rainbow-Fives & Dark Rainbow (6 Suits)	9
Rainbow-Fives & Gray (5 Suits)	9
Rainbow-Fives & Light Pink (3 Suits)	9
Rainbow-Fives & Muddy Rainbow (3 Suits)	9
Rainbow-Fives & Omni (3 Suits)	9
Rainbow-Fives & Pink (3 Suits)	9
Rainbow-Fives & Prism (5 Suits)	9
Rainbow-Fives & White (4 Suits)	9
Brown-Fives & Rainbow (6 Suits)	9
Brown-Fives & Prism (6 Suits)	9
Brown-Fives & Pink (4 Suits)	9
Brown-Fives & Gray Pink (6 Suits)	9
Ambiguous & Omni (3 Suits)	9
Ambiguous & Cocoa Rainbow (5 Suits)	9
Alternating Clues & White (4 Suits)	9
Alternating Clues & Rainbow (4 Suits)	9
White-Fives & Dark Omni (5 Suits)	9
White-Fives & Muddy Rainbow (5 Suits)	9
White-Ones & Gray Pink (5 Suits)	9
Alternating Clues & Cocoa Rainbow (5 Suits)	9
Light-Pink-Fives & Prism (4 Suits)	9
Light-Pink-Fives & Prism (6 Suits)	9
Light-Pink-Ones & Null (4 Suits)	8
Omni-Fives & Null (4 Suits)	8
White-Fives & Omni (5 Suits)	8
Omni-Fives & Light Pink (6 Suits)	8
Light-Pink-Ones & Prism (5 Suits)	8
White-Fives & Light Pink (3 Suits)	8
Muddy-Rainbow-Ones & Omni (5 Suits)	8
Muddy-Rainbow-Ones & Omni (4 Suits)	8
Rainbow-Fives & Gray Pink (5 Suits)	8
Rainbow-Fives & Brown (3 Suits)	8
Light-Pink-Fives & Light Pink (3 Suits)	8
Light-Pink-Fives & White (4 Suits)	8
Muddy-Rainbow-Fives & Brown (3 Suits)	8
Omni-Ones & White (4 Suits)	8
White-Fives & Pink (4 Suits)	8
Brown-Fives & Gray Pink (5 Suits)	8
White-Fives & Prism (3 Suits)	8
Pink-Fives & Omni (4 Suits)	8
Muddy-Rainbow-Ones & Brown (4 Suits)	8
Null-Ones & Rainbow (3 Suits)	8
Light-Pink-Fives & Black (6 Suits)	8
Null-Ones & Rainbow (6 Suits)	8
Light-Pink-Fives & Dark Null (5 Suits)	8
Throw It in a Hole & Prism (4 Suits)	8
White-Fives & Light Pink (6 Suits)	8
Omni-Ones & Rainbow (3 Suits)	8
Brown-Fives & Muddy Rainbow (6 Suits)	8
Pink-Fives & Prism (3 Suits)	8
Light-Pink-Ones & White (6 Suits)	8
Omni-Ones & Rainbow (4 Suits)	8
Muddy-Rainbow-Ones & Gray (6 Suits)	8
Deceptive-Ones & Dark Rainbow (6 Suits)	8
Pink-Fives & Gray (5 Suits)	8
Deceptive-Fives & Dark Omni (5 Suits)	8
Light-Pink-Fives & Pink (5 Suits)	8
Alternating Clues & Gray Pink (6 Suits)	8
Deceptive-Ones & White (6 Suits)	8
Rainbow-Fives & Pink (4 Suits)	8
Omni-Ones & Dark Null (5 Suits)	8
Alternating Clues & Dark Pink (5 Suits)	8
Omni-Ones & White (6 Suits)	8
Muddy-Rainbow-Ones & Prism (5 Suits)	8
Brown-Ones & White (3 Suits)	8
Brown-Fives & Cocoa Rainbow (5 Suits)	8
White-Fives & Omni (3 Suits)	8
Brown-Fives & Brown (6 Suits)	8
Rainbow-Ones & Dark Omni (6 Suits)	8
Null-Ones & Gray Pink (6 Suits)	7
Pink-Fives & Pink (4 Suits)	7
Pink-Fives & White (4 Suits)	7
Omni-Ones & Cocoa Rainbow (5 Suits)	7
Null-Ones & Light Pink (6 Suits)	7
Pink-Fives & Pink (6 Suits)	7
Null-Ones & White (3 Suits)	7
Throw It in a Hole & Prism (6 Suits)	7
Null-Ones & White (4 Suits)	7
Light-Pink-Ones & Null (3 Suits)	7
Rainbow-Ones & Omni (4 Suits)	7
Null-Fives & White (4 Suits)	7
Light-Pink-Ones & Rainbow (3 Suits)	7
Omni-Fives & Muddy Rainbow (5 Suits)	7
Brown-Fives & Brown (5 Suits)	7
Rainbow-Ones & Dark Omni (5 Suits)	7
Muddy-Rainbow-Ones (3 Suits)	7
Null-Fives & Omni (3 Suits)	7
Deceptive-Fives & Prism (3 Suits)	7
Rainbow-Ones & Muddy Rainbow (3 Suits)	7
Very Ambiguous & Null (4 Suits)	7
Null-Ones & Dark Brown (6 Suits)	7
Light-Pink-Fives & Light Pink (6 Suits)	7
Muddy-Rainbow-Ones & Pink (4 Suits)	7
Light-Pink-Ones & Muddy Rainbow (4 Suits)	7
Brown-Ones & Gray Pink (6 Suits)	7
Null-Ones & Dark Brown (5 Suits)	7
Light-Pink-Ones & Pink (6 Suits)	7
White-Fives & Gray (6 Suits)	7
White-Ones & Light Pink (3 Suits)	7
Rainbow-Fives & Omni (6 Suits)	7
Deceptive-Ones & Omni (5 Suits)	7
Light-Pink-Ones & Dark Pink (5 Suits)	7
Brown-Fives & Light Pink (6 Suits)	7
Ambiguous & Light Pink (3 Suits)	7
Muddy-Rainbow-Ones & Rainbow (6 Suits)	7
Pink-Ones & Muddy Rainbow (3 Suits)	7
Omni-Fives & Dark Brown (6 Suits)	7
White-Fives & Muddy Rainbow (6 Suits)	7
Deceptive-Fives & Prism (4 Suits)	7
Omni-Ones & Dark Omni (5 Suits)	7
Omni-Fives & Rainbow (3 Suits)	7
Muddy-Rainbow-Fives & Dark Brown (6 Suits)	7
Extremely Ambiguous & Muddy Rainbow (6 Suits)	7
Ambiguous & Muddy Rainbow (3 Suits)	7
Throw It in a Hole & Light Pink (4 Suits)	7
Null-Ones & Cocoa Rainbow (6 Suits)	7
