529725, kinkajusrevenge, win
528717, asaelr, loss
528711, indego, loss
528068, melwen, loss
528053, melwen, loss
528031, Lanvin, loss
528015, asaelr, win
528004, dobi, win
527990, HelanaAshryvr, loss
527988, asaelr, loss
527408, wump, win
527385, asaelr, loss
527364, bjnh, win
526962, Lanvin, win
526946, Lel0uch, loss
526933, melwen, loss
525975, Lanvin, win
525970, Lanvin, loss
525966, asaelr, loss
525963, asaelr, win
525955, asaelr, loss
525954, rz, loss
525911, asaelr, loss
525910, Kernel, loss
525909, Lanvin, loss
525907, Kernel, loss
525904, asaelr, loss
525447, derekcheah, win
525438, asaelr, loss
525429, derekcheah, win
524546, asaelr, loss
524507, asaelr, win
524451, scharkbite, loss
524401, asaelr, loss
524343, Valetta6789, loss
524329, scharkbite, win
524316, Floriman, loss
524303, asaelr, loss
524286, Valetta6789, loss
522980, asaelr, win
522975, indego, loss
522973, Lanvin, win
521734, asaelr, loss
521189, just_a_dick, win
521182, macanek, loss
521173, macanek, loss
520512, asaelr, win
520343, squirrel1988, win
520341, Wittvector, loss
520338, asaelr, loss
520337, Wittvector, loss
520336, Wittvector, loss
519707, Lanvin, win
519690, ricardodd, loss
519679, Lanvin, loss
519656, ricardodd, loss
519533, Nitrate, win
518607, asaelr, win
518601, HelanaAshryvr, loss
518599, squirrel1988, win
518113, Lanvin, win
518088, rz, win
516777, asaelr, loss
515974, Floriman, win
515948, Valetta6789, win
515916, asaelr, loss
515627, Wittvector, loss
515625, Lel0uch, loss
515322, asaelr, loss
515290, asaelr, win
512372, MarkusKahlsen, loss
511766, Lanvin, loss
511747, melwen, loss
511737, MangoPie, loss
510231, indego, loss
510219, asaelr, loss
510203, Lel0uch, loss
508742, duckless, loss
508695, Kyle, loss
508677, asaelr, loss
508666, MangoPie, loss
505918, scharkbite, loss
505911, asaelr, loss
505884, asaelr, win
505850, scharkbite, loss
505832, Floriman, loss
505822, scharkbite, loss
505797, Floriman, loss
505778, Floriman, loss
505252, asaelr, loss
505245, asaelr, loss
505189, Lel0uch, loss
504845, Lanvin, loss
504826, asaelr, loss
504781, bjnh, loss
504330, duckless, loss
504309, asaelr, loss
504298, timotree, loss
504279, duckless, loss
504268, timotree, loss
502343, asaelr, loss
502336, Lanvin, loss
502324, indego, loss
502082, asaelr, win
502064, asaelr, win
502045, asaelr, win
502029, Floriman, loss
502017, asaelr, win
501995, Floriman, loss
501983, scharkbite, win
501095, Kyle, win
501056, Kyle, loss
501030, Valetta6789, loss
501022, asaelr, loss
500189, asaelr, win
500152, Kyle, loss
500114, asaelr, loss
500069, voss, loss
499706, wolfpack, loss
499699, asaelr, loss
499003, newduke, win
498976, newduke, loss
498963, asaelr, loss
498302, asaelr, win
498301, Lel0uch, loss
498300, Lel0uch, loss
498298, asaelr, win
498290, Lel0uch, loss
497584, asaelr, win
497557, VBVBVBVB, win
497481, scharkbite, loss
497472, scharkbite, loss
497463, asaelr, loss
497452, scharkbite, win
497428, Floriman, loss
497408, asaelr, loss
497393, asaelr, loss
497304, asaelr, loss
497292, Damian000, loss
496630, scharkbite, loss
496601, scharkbite, win
496564, scharkbite, loss
496537, Floriman, loss
496495, Syrah, loss
496430, Lanvin, loss
496387, asaelr, loss
496378, ChristopheAF, loss
496316, MarkusKahlsen, loss
494820, asaelr, loss
494451, griff77, loss
494434, derekcheah, loss
494087, Wittvector, loss
493920, Lanvin, win
493912, Lanvin, win
493906, jack67889, loss
493900, indego, loss
493026, asaelr, win
493022, swineherd, loss
493020, swineherd, loss
493017, jack67889, loss
493015, swineherd, loss
493008, indego, loss
492607, kevincaseytdk1, loss
492135, Wittvector, win
491645, bob65536, loss
491635, bob65536, loss
491618, timotree, win
491599, asaelr, win
491579, asaelr, loss
491553, Kyle, win
490587, Lanvin, loss
490559, Lanvin, loss
490539, asaelr, loss
489791, asaelr, loss
489778, squirrel1988, win
489753, dobi, loss
489613, Krepps57, loss
488209, asaelr, loss
488204, Syrah, loss
487381, sin_faith, loss
487378, Lel0uch, loss
487374, sin_faith, loss
487371, asaelr, loss
486770, Wittvector, win
486739, IsabeltheCat, loss
486719, asaelr, loss
486697, asaelr, loss
486677, IsabeltheCat, loss
486297, derekcheah, loss
485546, ChristopheAF, win
485538, asaelr, loss
485535, wump, loss
485378, Syrah, win
485367, asaelr, loss
480113, Lel0uch, win
480105, Syrah, loss
478498, Lanvin, loss
478227, Valetta6789, loss
478204, asaelr, win
478183, Valetta6789, loss
478153, Valetta6789, win
478147, Valetta6789, win
478136, scharkbite, win
478125, asaelr, loss
478113, scharkbite, win
476446, asaelr, loss
476428, timotree, loss
476420, timotree, loss
476396, timotree, loss
474952, griff77, win
474935, griff77, win
474917, asaelr, loss
474910, griff77, loss
471406, swineherd, loss
471394, Fey, loss
470408, swineherd, win
470380, Bot-Fiora, loss
470358, HariKrishnan, loss
470280, indego, loss
470264, NumerateClutter, loss
470112, Lanvin, loss
470104, VerySloppyTwo, loss
