Players	# with purples
kimbifille	4018
Kyle	3912
Lanvin	3695
Dr_Kakashi	3109
melwen	2974
Zamiel	2854
Lel0uch	2772
scharkbite	2697
Floriman	2654
micerang	2563
pianoblook	2452
Fireheart	2170
asaelr	2088
IAMJEFF	1938
indego	1723
Valetta6789	1703
MarkusKahlsen	1598
sjdrodge	1483
Libster	1352
sin_faith	1342
piper	1297
timotree	1155
florrat2	1049
RaKXeR	775
Pablo-	758
ADrone	624
padi	548
eliclax	422
Nitrate	376
VerySloppyTwo	237
Bot-Fiora	232
nitawa	184
rinka	0
