Player	Num games
Zamiel	1414
sjdrodge	1214
timotree	1145
melwen	991
asaelr	902
Dr_Kakashi	769
Lel0uch	751
Kyle	740
micerang	684
scharkbite	588
sin_faith	571
Libster	559
Fireheart	524
RaKXeR	456
pianoblook	450
indego	355
florrat2	329
MarkusKahlsen	321
Floriman	315
Pablo-	315
VerySloppyTwo	278
ADrone	265
piper	243
Valetta6789	231
padi	215
Nitrate	210
nitawa	195
eliclax	178
Lanvin	171
kimbifille	131
rinka	78
IAMJEFF	77
Bot-Fiora	73
