Player: WR (Total games)	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
micerang	34.82% (151)	27.61% (208)	19.91% (271)	30.63% (290)	30.14% (285)	31.6% (279)	45.28% (231)	32.26% (205)	27.84% (124)	31.82% (58)	33.33% (20)	23.08% (16)	107.69% (27)	72.22% (31)	20.83% (29)	57.69% (41)	32.26% (82)	16.95% (69)	25.37% (84)	24.39% (102)	27.27% (98)	41.49% (133)	20.0% (180)	20.99% (196)
newduke	8.73% (137)	15.38% (135)	14.39% (159)	12.68% (160)	8.57% (152)	19.3% (136)	9.9% (111)	14.41% (127)	33.33% (28)	6.67% (16)	33.33% (4)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (14)	10.34% (32)	10.61% (73)	13.51% (126)	11.39% (176)	11.48% (204)	14.86% (170)	11.76% (171)	7.77% (111)
nitawa	9.76% (45)	75.0% (14)	40.0% (7)	14.29% (8)	16.67% (7)	0.0% (2)	8.33% (13)	7.41% (29)	36.84% (26)	57.14% (22)	16.67% (42)	24.62% (81)	31.67% (79)	19.67% (73)	20.31% (77)	27.78% (92)	33.85% (87)	38.71% (86)	23.38% (95)	18.48% (109)	23.08% (112)	37.21% (118)	22.35% (104)	20.41% (59)
Nitrate	18.18% (65)	33.33% (64)	19.35% (74)	22.58% (38)	40.0% (7)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (1)	16.67% (7)	20.0% (18)	40.0% (7)	16.67% (7)	64.29% (23)	11.43% (39)	22.22% (33)	33.33% (48)	28.12% (41)	25.93% (34)
Nitrate2	28.57% (90)	21.43% (85)	20.59% (82)	15.79% (66)	43.18% (63)	17.65% (40)	12.5% (18)	46.15% (19)	53.85% (20)	31.91% (62)	21.67% (73)	22.22% (55)	31.82% (58)	40.0% (63)	22.67% (92)	32.0% (99)	29.58% (92)	29.85% (87)	26.67% (95)	25.0% (55)	25.0% (40)	30.56% (47)	23.08% (80)	24.66% (91)
nkkarpov	19.44% (43)	26.92% (33)	8.33% (52)	21.74% (56)	18.42% (45)	10.71% (31)	15.38% (15)	0.0% (7)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	100.0% (4)	0.0% (4)	38.46% (18)	21.43% (17)	17.39% (27)	13.79% (33)	17.95% (46)	27.5% (51)	6.25% (51)
NoMercy	12.61% (134)	12.62% (116)	20.0% (96)	30.0% (65)	26.67% (38)	29.03% (40)	16.22% (43)	23.4% (58)	27.27% (42)	16.67% (21)	14.29% (8)	0.0% (1)	0% (0)	0.0% (4)	0.0% (7)	14.29% (8)	100.0% (6)	18.18% (13)	19.05% (25)	19.23% (31)	28.57% (45)	11.39% (88)	16.67% (112)	11.0% (111)
orucsoraihc	26.92% (33)	22.22% (33)	2.86% (36)	9.09% (48)	45.45% (48)	25.58% (54)	22.92% (59)	26.47% (43)	50.0% (42)	25.0% (30)	23.81% (26)	29.41% (22)	18.75% (19)	14.29% (16)	11.11% (20)	20.0% (24)	15.79% (22)	41.67% (34)	21.43% (34)	47.06% (25)	22.22% (33)	11.54% (29)	11.54% (29)	28.57% (18)
Pablo-	22.35% (104)	12.96% (61)	20.83% (29)	20.0% (24)	17.65% (20)	11.11% (20)	14.29% (24)	21.88% (39)	32.65% (65)	29.85% (87)	30.0% (117)	24.73% (116)	27.84% (124)	20.91% (133)	35.4% (153)	34.38% (172)	35.78% (148)	28.79% (170)	24.24% (164)	24.59% (152)	28.46% (158)	32.5% (212)	19.26% (161)	19.15% (112)
padi	17.5% (47)	3.23% (32)	46.51% (63)	14.29% (48)	38.89% (25)	33.33% (4)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (1)	100.0% (2)	40.0% (21)	19.44% (43)	47.22% (53)	11.9% (47)	13.33% (34)	12.77% (53)	15.94% (80)	20.37% (65)	16.33% (57)	10.17% (65)	13.11% (69)
pianoblook	21.95% (150)	21.28% (228)	26.75% (289)	19.13% (330)	18.05% (327)	28.32% (290)	20.27% (178)	25.64% (98)	14.63% (94)	25.0% (70)	5.26% (40)	42.86% (10)	100.0% (6)	22.22% (22)	22.22% (33)	28.21% (100)	20.69% (175)	29.49% (202)	44.23% (150)	21.88% (117)	24.8% (156)	26.4% (158)	20.17% (143)	11.67% (134)
Pimak	16.67% (7)	0.0% (6)	0% (0)	0.0% (2)	100.0% (2)	0% (0)	0% (0)	100.0% (2)	50.0% (3)	50.0% (3)	18.18% (13)	0.0% (10)	16.67% (7)	15.0% (23)	13.64% (25)	31.58% (25)	64.71% (28)	10.53% (21)	12.5% (27)	30.77% (17)	7.14% (15)	0.0% (11)	17.86% (33)	25.0% (25)
piper	18.18% (65)	42.86% (80)	37.21% (118)	25.68% (186)	26.07% (266)	32.77% (312)	29.94% (230)	36.43% (176)	28.09% (114)	34.09% (59)	30.0% (13)	0% (0)	0% (0)	0.0% (2)	75.0% (7)	26.92% (33)	40.0% (49)	25.93% (68)	71.88% (55)	38.78% (68)	42.55% (67)	39.58% (67)	17.91% (79)	42.86% (60)
possum	25.0% (5)	10.0% (11)	7.69% (14)	5.26% (20)	31.25% (21)	30.77% (34)	21.74% (28)	42.86% (20)	23.53% (21)	27.78% (23)	8.57% (38)	13.73% (58)	25.58% (54)	25.0% (55)	46.15% (38)	33.33% (28)	17.14% (41)	31.25% (21)	11.11% (20)	0.0% (8)	0.0% (5)	0.0% (5)	50.0% (9)	22.22% (11)
qqqq	36.36% (15)	20.69% (70)	30.26% (99)	24.64% (86)	23.08% (48)	13.79% (33)	28.95% (49)	14.58% (55)	18.18% (39)	21.43% (34)	14.29% (48)	14.29% (24)	18.75% (57)	26.23% (77)	26.67% (95)	17.14% (41)	50.0% (15)	0% (0)	0% (0)	0% (0)	100.0% (2)	0% (0)	0% (2)	0.0% (1)
qwertyelmer	29.17% (31)	35.29% (46)	50.0% (27)	30.0% (39)	7.14% (15)	11.11% (20)	26.67% (19)	0.0% (23)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (2)	0.0% (3)	0.0% (6)	50.0% (15)	16.67% (14)	114.29% (15)	16.67% (21)
rachyrules	28.0% (32)	0.0% (7)	11.11% (10)	18.18% (13)	66.67% (5)	0% (0)	0% (0)	0.0% (5)	100.0% (4)	57.14% (11)	88.89% (17)	25.0% (50)	11.11% (40)	12.5% (45)	28.57% (27)	32.14% (37)	34.09% (59)	16.95% (69)	25.53% (59)	19.44% (86)	28.77% (94)	37.88% (91)	30.51% (77)	26.09% (58)
RaKXeR	18.18% (91)	18.64% (70)	13.21% (60)	20.37% (65)	13.79% (33)	25.0% (25)	11.11% (30)	33.33% (16)	10.0% (22)	34.78% (31)	22.73% (27)	16.67% (14)	6.25% (17)	16.67% (7)	3.57% (29)	9.52% (46)	11.63% (48)	10.87% (51)	16.67% (42)	9.09% (36)	17.65% (60)	13.64% (50)	26.19% (53)	19.3% (68)
Razvogor	11.69% (86)	18.81% (120)	14.88% (139)	18.67% (89)	11.67% (67)	25.71% (44)	33.33% (24)	0.0% (11)	0.0% (4)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	33.33% (4)	50.0% (6)	16.67% (7)	14.29% (8)	66.67% (10)	15.0% (23)	13.79% (33)	17.86% (33)	8.06% (67)
rkass	28.63% (301)	32.13% (329)	29.45% (189)	39.58% (67)	72.73% (19)	40.0% (7)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0.0% (4)	100.0% (4)	55.56% (14)	57.89% (30)	25.0% (35)	36.0% (34)	30.0% (39)	31.91% (62)	24.53% (66)	24.14% (36)	19.18% (87)
rs1	0.0% (10)	25.0% (15)	0.0% (20)	15.0% (23)	23.08% (16)	17.65% (20)	22.22% (22)	30.43% (30)	23.08% (16)	20.0% (6)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	0.0% (1)	14.29% (8)	16.67% (7)	22.22% (11)	16.67% (7)	0.0% (3)	0.0% (7)
rz	20.41% (59)	22.62% (103)	34.12% (114)	20.97% (75)	9.38% (35)	12.5% (18)	50.0% (12)	11.11% (10)	0.0% (6)	25.0% (10)	33.33% (4)	66.67% (10)	10.0% (22)	24.39% (51)	21.54% (79)	23.33% (74)	26.25% (101)	28.06% (178)	23.76% (125)	28.3% (68)	19.64% (67)	28.0% (64)	28.81% (76)	25.93% (68)
sankala	25.0% (15)	28.57% (9)	10.0% (11)	37.5% (11)	0.0% (11)	150.0% (5)	100.0% (2)	0% (1)	0% (1)	0% (0)	0% (0)	0.0% (2)	0% (1)	0.0% (1)	0% (0)	0% (0)	0.0% (4)	0.0% (4)	80.0% (9)	0.0% (8)	0.0% (2)	0.0% (2)	14.29% (8)	18.18% (13)
scharkbite	14.68% (250)	19.23% (310)	16.46% (460)	22.35% (646)	18.64% (662)	19.66% (353)	23.08% (128)	43.75% (23)	0.0% (4)	0.0% (3)	0% (0)	0% (0)	0% (0)	0.0% (1)	42.86% (20)	35.42% (65)	17.5% (188)	27.68% (226)	25.0% (235)	21.64% (326)	23.56% (409)	16.14% (511)	19.89% (452)	17.41% (290)
sephiroth	8.79% (99)	25.4% (79)	14.29% (40)	14.29% (24)	14.29% (8)	22.22% (11)	30.0% (26)	25.0% (90)	22.88% (145)	16.5% (233)	16.04% (217)	19.35% (185)	15.28% (166)	17.54% (248)	18.06% (268)	26.2% (236)	20.53% (182)	20.77% (157)	17.26% (197)	13.39% (144)	20.57% (170)	17.57% (174)	17.37% (196)	10.64% (104)
sin_faith	5.26% (20)	17.39% (27)	16.13% (36)	23.08% (16)	10.53% (21)	23.08% (32)	15.52% (67)	27.66% (120)	20.83% (87)	9.26% (59)	6.35% (67)	18.87% (63)	17.8% (139)	13.71% (141)	12.12% (148)	19.2% (149)	19.01% (169)	23.08% (144)	14.61% (102)	19.4% (80)	16.07% (65)	3.7% (28)	26.32% (24)	0.0% (26)
sjdrodge	15.89% (124)	33.73% (111)	31.33% (109)	22.43% (131)	29.85% (174)	35.96% (276)	32.49% (367)	39.47% (477)	31.44% (464)	32.11% (325)	39.5% (166)	41.3% (65)	65.22% (38)	83.33% (22)	22.22% (11)	16.67% (14)	28.57% (18)	26.67% (19)	50.0% (24)	26.67% (38)	36.84% (52)	22.64% (65)	28.36% (86)	31.48% (71)
skyblueexo	0.0% (1)	0% (1)	0.0% (3)	0.0% (2)	50.0% (3)	0.0% (5)	9.09% (12)	40.0% (7)	44.44% (13)	16.67% (14)	40.0% (14)	60.0% (16)	5.56% (19)	17.14% (41)	16.0% (58)	20.0% (60)	17.46% (74)	4.0% (26)	0.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)
Smandon	50.0% (3)	33.33% (8)	5.0% (21)	33.9% (79)	28.33% (77)	33.33% (28)	14.29% (8)	50.0% (6)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	0% (0)	66.67% (5)	66.67% (5)	20.0% (6)	0.0% (10)	42.86% (10)
Spieler42	0% (0)	0% (0)	100.0% (2)	0% (0)	0% (1)	0% (1)	0.0% (3)	0.0% (2)	25.0% (5)	25.0% (5)	20.0% (12)	11.54% (29)	12.9% (35)	21.05% (23)	6.25% (34)	23.26% (53)	23.53% (42)	17.39% (27)	16.67% (28)	7.69% (28)	10.53% (42)	31.25% (21)	20.0% (30)	16.67% (7)
squirrel1988	5.13% (41)	13.33% (68)	7.94% (68)	16.07% (65)	27.59% (74)	13.58% (92)	35.14% (50)	7.14% (15)	4.0% (26)	23.33% (37)	21.95% (50)	14.08% (81)	11.11% (60)	16.67% (42)	2.78% (111)	5.19% (81)	7.02% (61)	22.73% (54)	8.77% (62)	20.51% (94)	18.64% (70)	12.5% (45)	12.28% (64)	11.36% (49)
StKildaFan	8.18% (119)	13.33% (102)	13.19% (103)	19.64% (67)	38.46% (54)	28.57% (81)	12.0% (84)	9.88% (89)	41.46% (58)	20.37% (65)	29.73% (48)	8.82% (74)	24.74% (121)	22.15% (193)	22.06% (83)	25.0% (25)	0.0% (1)	0% (0)	25.0% (5)	25.0% (5)	42.86% (20)	18.0% (59)	21.05% (69)	14.81% (124)
Sucubis	28.57% (36)	0.0% (12)	35.71% (19)	53.85% (20)	100.0% (6)	0.0% (6)	100.0% (2)	0.0% (3)	11.11% (10)	16.67% (49)	22.34% (115)	14.01% (179)	18.03% (144)	30.93% (127)	24.27% (128)	29.03% (120)	23.31% (164)	28.93% (156)	23.53% (105)	39.47% (53)	22.64% (65)	31.58% (50)	16.39% (71)	19.05% (50)
swineherd	20.0% (60)	19.05% (75)	7.55% (57)	13.95% (49)	23.08% (48)	27.27% (28)	18.18% (26)	25.0% (25)	20.69% (35)	35.71% (19)	25.0% (40)	8.57% (38)	12.5% (36)	31.43% (46)	14.29% (48)	30.43% (60)	19.64% (67)	20.0% (78)	9.09% (84)	14.46% (95)	21.31% (74)	20.0% (66)	14.71% (78)	30.36% (73)
Syrah	100.0% (6)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	100.0% (2)	0.0% (5)	9.68% (34)	35.19% (73)	40.0% (42)	13.33% (17)	23.53% (21)	16.0% (29)	8.7% (25)	16.67% (14)	20.0% (36)	27.78% (46)	24.0% (93)	39.73% (102)	35.29% (69)	62.96% (44)
TheDaniMan	18.86% (208)	20.57% (252)	12.42% (362)	17.45% (451)	14.5% (387)	11.79% (294)	18.62% (293)	22.55% (250)	26.97% (113)	23.4% (58)	16.22% (43)	38.1% (29)	17.65% (20)	29.17% (31)	21.57% (62)	31.46% (117)	20.35% (136)	17.45% (175)	18.71% (184)	15.85% (190)	22.54% (174)	15.57% (193)	18.24% (201)	23.53% (147)
TimeHoodie	18.59% (185)	27.33% (219)	16.88% (277)	19.27% (229)	20.0% (126)	44.0% (72)	25.64% (49)	21.21% (40)	40.0% (28)	25.0% (25)	20.45% (53)	34.38% (86)	22.83% (113)	26.83% (156)	21.43% (153)	19.74% (182)	18.63% (242)	33.33% (196)	19.41% (203)	16.67% (175)	22.7% (200)	20.78% (186)	23.3% (127)	16.3% (107)
timotree	21.33% (91)	16.33% (114)	25.71% (132)	13.0% (113)	16.67% (98)	23.08% (64)	20.0% (36)	13.04% (26)	40.0% (14)	16.67% (7)	0% (1)	0% (0)	0% (0)	0.0% (1)	11.11% (10)	38.89% (25)	32.56% (57)	12.5% (63)	20.73% (99)	23.44% (79)	13.04% (78)	34.43% (82)	19.3% (68)	20.78% (93)
Valetta6789	0.0% (1)	0% (0)	0% (0)	50.0% (3)	21.43% (17)	16.33% (57)	32.31% (86)	21.74% (140)	20.86% (197)	23.33% (222)	26.15% (246)	31.76% (224)	23.37% (227)	37.77% (259)	21.08% (247)	29.49% (202)	27.27% (182)	23.29% (270)	26.23% (462)	24.18% (606)	32.48% (620)	27.67% (466)	41.41% (181)	18.75% (19)
vEnhance	16.67% (28)	17.86% (33)	15.91% (51)	27.5% (51)	14.58% (55)	14.29% (32)	33.33% (20)	66.67% (5)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (5)	15.38% (15)	5.56% (19)	31.58% (25)	0.0% (16)	31.25% (21)	38.46% (18)	36.36% (15)	36.36% (30)	88.89% (17)	29.41% (22)
VerySloppyTwo	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (4)	10.42% (53)	16.67% (84)	22.22% (33)	20.51% (47)	21.31% (74)	20.48% (100)	11.22% (109)	10.26% (86)	3.45% (30)	13.04% (26)	15.22% (159)	15.43% (202)	17.69% (173)	18.46% (154)	16.07% (65)	0.0% (7)
will.i.am	9.93% (155)	13.82% (173)	6.9% (155)	12.8% (141)	9.91% (122)	18.03% (72)	16.67% (28)	100.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (3)	8.33% (26)	14.0% (57)	15.52% (67)	19.35% (37)	13.1% (95)	17.59% (127)	16.85% (104)	12.07% (130)	11.54% (116)	10.0% (55)
willwin4sure	14.89% (54)	23.08% (64)	23.21% (69)	10.53% (63)	21.57% (62)	33.33% (8)	33.33% (4)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	7.69% (14)	20.0% (36)	12.0% (84)	24.1% (103)	12.86% (79)	10.0% (55)	16.39% (71)	26.19% (53)	17.33% (88)	20.9% (81)	21.82% (67)
Wittvector	20.0% (30)	12.5% (18)	0% (0)	0% (0)	0% (0)	0% (0)	40.0% (7)	32.26% (41)	35.0% (81)	17.11% (89)	19.39% (117)	24.64% (86)	17.02% (110)	23.21% (138)	17.54% (134)	14.6% (157)	19.83% (145)	20.3% (160)	21.05% (115)	19.8% (121)	20.79% (122)	27.27% (126)	14.17% (137)	17.65% (80)
wolfpack	19.23% (31)	23.08% (16)	66.67% (5)	50.0% (12)	22.22% (11)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	62.5% (13)	37.04% (37)	13.79% (33)	31.25% (21)	50.0% (6)	28.57% (18)	150.0% (10)	100.0% (2)	0% (0)	50.0% (3)	0.0% (2)	16.67% (7)
wortel	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	20.59% (41)	26.79% (71)	32.61% (61)	20.51% (47)	34.48% (39)	62.5% (13)	0.0% (3)	42.86% (10)	16.67% (14)	8.33% (13)	15.38% (15)	33.33% (16)	28.12% (41)	33.33% (80)	26.56% (81)	27.27% (42)	75.0% (7)	0% (0)	0% (0)
wump	27.78% (69)	25.81% (78)	37.93% (80)	22.73% (81)	17.74% (73)	25.0% (95)	13.64% (75)	22.92% (59)	60.87% (37)	42.86% (10)	0.0% (2)	14.29% (8)	0.0% (8)	8.33% (13)	30.77% (17)	16.67% (28)	35.42% (65)	39.06% (89)	24.62% (81)	35.59% (80)	38.46% (54)	20.0% (66)	30.77% (68)	34.62% (70)
Zakisan	0% (0)	0% (0)	0% (0)	33.33% (4)	0.0% (4)	66.67% (10)	50.0% (27)	64.0% (41)	20.93% (52)	9.8% (56)	21.95% (50)	26.47% (43)	15.38% (45)	38.71% (43)	15.25% (68)	25.42% (74)	14.29% (32)	8.7% (25)	28.57% (45)	25.0% (40)	18.52% (32)	17.65% (20)	0.0% (3)	0% (0)
Zamiel	8.12% (679)	11.13% (629)	14.59% (707)	16.98% (675)	14.74% (576)	13.86% (419)	15.0% (276)	21.78% (123)	11.63% (48)	13.64% (25)	8.33% (13)	0.0% (4)	0% (0)	0.0% (1)	5.41% (39)	9.52% (92)	8.09% (187)	17.12% (171)	8.94% (195)	7.03% (198)	17.62% (267)	12.32% (401)	13.05% (511)	12.17% (516)
