Player: WR (Total games)	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23
catula	12.5% (9)	9.09% (12)	0.0% (3)	150.0% (5)	25.0% (5)	6.25% (17)	16.22% (43)	14.81% (31)	21.74% (28)	14.55% (63)	11.96% (103)	17.93% (171)	12.03% (149)	12.73% (62)	0.0% (18)	0.0% (2)	0% (0)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (1)	0.0% (2)	50.0% (3)
ChristopheAF	55.56% (42)	37.5% (11)	0.0% (9)	100.0% (2)	0.0% (1)	50.0% (3)	0% (0)	0% (0)	0% (0)	0% (0)	16.67% (7)	0.0% (14)	28.57% (27)	16.98% (62)	23.53% (105)	20.69% (140)	13.82% (173)	24.83% (181)	20.81% (180)	17.99% (164)	17.91% (158)	10.6% (167)	14.72% (187)	11.61% (125)
cockdestroyer	25.93% (34)	16.67% (21)	16.0% (29)	21.05% (46)	30.61% (64)	18.06% (85)	8.16% (53)	18.18% (39)	28.12% (41)	16.9% (83)	25.0% (65)	21.43% (34)	46.15% (19)	22.22% (22)	15.0% (23)	22.22% (22)	54.55% (17)	8.33% (13)	14.29% (16)	10.0% (22)	36.11% (49)	16.67% (49)	20.0% (54)	10.64% (52)
colton	21.05% (46)	37.5% (22)	25.0% (25)	40.0% (21)	38.24% (47)	22.58% (38)	25.93% (34)	57.14% (11)	0.0% (7)	0.0% (3)	0% (0)	100.0% (2)	0% (0)	0.0% (3)	50.0% (3)	0.0% (3)	23.08% (16)	25.0% (20)	24.14% (36)	25.0% (55)	32.56% (57)	30.0% (39)	16.67% (56)	12.2% (46)
corys	37.5% (11)	16.67% (7)	0.0% (1)	30.0% (13)	39.13% (32)	19.05% (50)	35.48% (42)	55.56% (14)	0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	50.0% (3)	16.67% (14)	100.0% (2)	0.0% (2)	42.86% (10)
Cynas	50.0% (3)	300.0% (4)	33.33% (4)	20.0% (6)	33.33% (4)	25.0% (5)	0.0% (4)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)
Damian000	33.33% (4)	25.0% (5)	50.0% (3)	0.0% (1)	0.0% (2)	0.0% (1)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	20.0% (6)	36.36% (15)	20.0% (12)	40.0% (7)	0.0% (7)	15.38% (15)	18.18% (13)	33.33% (8)
DarthGandalf	10.0% (11)	0.0% (3)	100.0% (2)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (1)	11.11% (10)	28.57% (27)	22.22% (11)	0.0% (1)	6.67% (16)	14.29% (8)	20.0% (6)	0.0% (12)	10.0% (11)	50.0% (9)	16.67% (7)	0.0% (11)	31.58% (25)	26.47% (43)	22.22% (55)	25.71% (44)
Daryl	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0% (0)	0.0% (2)	40.0% (7)	50.0% (6)	20.0% (6)	100.0% (8)	0.0% (3)	33.33% (4)	100.0% (4)	50.0% (3)	16.67% (7)	22.22% (11)	8.7% (25)	27.27% (28)	13.33% (17)	33.33% (4)
Denchulitas	11.76% (19)	50.0% (12)	0.0% (2)	0.0% (3)	0.0% (2)	0% (0)	0.0% (1)	0.0% (1)	0.0% (5)	4.17% (25)	25.81% (39)	24.39% (51)	13.04% (26)	22.73% (27)	21.05% (23)	0.0% (16)	12.5% (9)	23.08% (16)	27.27% (14)	8.16% (53)	15.09% (61)	27.03% (47)	50.0% (36)	20.0% (24)
