game_id	count	score	variant	date	players
278794	5	0	Clue Starved (6 Suits)	2020-08-23 — 21:25:51 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite, Valetta6789
278783	5	0	Clue Starved (6 Suits)	2020-08-23 — 21:02:15 UTC	DMoney, Dr_Kakashi, kimbifille, scharkbite, Valetta6789
278765	4	12	Cow & Pig (3 Suits)	2020-08-23 — 20:44:03 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278756	4	0	Cow & Pig (3 Suits)	2020-08-23 — 20:29:30 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278751	4	14	Cow & Pig (3 Suits)	2020-08-23 — 20:24:47 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278739	4	0	Cow & Pig (3 Suits)	2020-08-23 — 20:07:15 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278730	4	0	Cow & Pig (3 Suits)	2020-08-23 — 19:58:39 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278727	4	0	Cow & Pig (3 Suits)	2020-08-23 — 19:53:45 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278725	4	0	Cow & Pig (3 Suits)	2020-08-23 — 19:47:53 UTC	DMoney, Dr_Kakashi, kimbifille, Valetta6789
278717	5	30	Throw It in a Hole (6 Suits)	2020-08-23 — 19:27:16 UTC	DMoney, Dr_Kakashi, kimbifille, Livia, Valetta6789
277943	3	20	Cow & Pig (4 Suits)	2020-08-23 — 01:32:58 UTC	Dr_Kakashi, kimbifille, scharkbite
277929	3	0	Cow & Pig (4 Suits)	2020-08-23 — 01:12:37 UTC	Dr_Kakashi, kimbifille, scharkbite
277916	4	0	Throw It in a Hole & Rainbow (5 Suits)	2020-08-23 — 00:58:36 UTC	asaelr, Dr_Kakashi, kimbifille, scharkbite
277876	4	20	Throw It in a Hole (4 Suits)	2020-08-23 — 00:23:49 UTC	asaelr, Dr_Kakashi, kimbifille, scharkbite
277862	5	0	Throw It in a Hole (5 Suits)	2020-08-23 — 00:10:50 UTC	asaelr, DMoney, Dr_Kakashi, kimbifille, scharkbite
277857	5	0	Throw It in a Hole (5 Suits)	2020-08-23 — 00:04:10 UTC	asaelr, DMoney, Dr_Kakashi, kimbifille, scharkbite
277839	5	20	Throw It in a Hole (4 Suits)	2020-08-22 — 23:41:09 UTC	asaelr, DMoney, Dr_Kakashi, Floriman, kimbifille
277830	5	18	Throw It in a Hole (4 Suits)	2020-08-22 — 23:23:41 UTC	asaelr, DMoney, Dr_Kakashi, Floriman, kimbifille
277815	4	20	Throw It in a Hole & Rainbow (4 Suits)	2020-08-22 — 23:05:22 UTC	asaelr, Dr_Kakashi, Floriman, kimbifille
277795	3	29	Throw It in a Hole (6 Suits)	2020-08-22 — 22:44:38 UTC	Dr_Kakashi, Floriman, kimbifille
277759	3	0	Throw It in a Hole (6 Suits)	2020-08-22 — 22:08:15 UTC	Dr_Kakashi, Floriman, kimbifille
