Words	Frequency	Number of vocabularies (Max = 33)
f	122286	33
[f]	118574	31
[cm]	71470	31
cm	52741	33
5	33068	33
kt	26499	32
3	24727	33
i	24499	33
4	23675	33
2	23235	33
this	22034	33
not	17400	33
1	14592	33
is	14140	33
r3	13949	33
r2	13666	33
b3	13606	33
g3	13302	33
b2	13026	33
g2	12928	33
r4	12177	33
b4	12089	33
a	11922	33
g4	11715	33
to	11477	33
y3	10499	33
y2	10313	33
y4	9742	33
clue	8859	33
b	8271	33
g	8269	33
play	8262	33
be	8209	33
r	7900	32
-->	7390	15
should	7253	33
b1	7249	33
r1	7205	33
why	7199	32
maybe	7171	33
g1	6922	33
it	6902	33
or	6837	33
no	6544	33
y	6473	31
the	6422	33
have	6410	33
if	6285	33
lol	6182	31
i3	5900	33
save	5895	33
i2	5784	33
p3	5683	33
r5	5666	33
m2	5661	33
y1	5564	33
b5	5517	33
m3	5499	33
p2	5471	33
g5	5317	33
fix	5272	33
i4	5124	33
was	5023	33
probably	5004	32
known	4979	33
p4	4949	33
but	4909	33
m4	4590	33
oh	4551	32
as	4413	33
looks	4389	33
y5	4347	33
discard	4017	32
guess	3974	32
trash	3949	33
?	3846	32
e	3819	17
chop	3797	33
->	3788	22
prio	3785	31
that	3782	32
p	3689	33
tcm	3650	25
m1	3638	33
for	3624	33
23	3612	31
like	3576	33
think	3572	33
bluff	3565	32
on	3486	32
now	3483	33
just	3473	32
here	3373	32
stall	3327	32
so	3306	33
you	3264	33
m5	3104	33
i5	3098	33
gd	2929	26
ocm	2927	29
move	2893	30
can	2881	32
p1	2876	32
of	2834	32
my	2788	32
i1	2771	33
from	2761	32
what	2702	33
sdcm	2657	23
red	2613	33
bomb	2577	32
likely	2552	29
m	2541	30
finesse	2529	31
me	2491	33
34	2420	28
could	2413	33
and	2372	33
don't	2361	29
bad	2309	32
p5	2296	33
elim	2276	30
ok	2254	27
o2	2222	33
n2	2221	33
missed	2186	31
do	2166	32
playable	2158	33
blue	2156	33
in	2138	32
o3	2132	33
tccm	2116	31
n3	2056	33
fixme	2049	26
en	2034	8
we	2006	32
:	1988	16
might	1977	30
o4	1965	33
5cm	1954	28
hmm	1891	25
green	1863	33
prob	1809	21
it's	1807	26
w	1793	29
bc	1785	9
would	1759	32
he	1754	32
how	1752	32
[fix]	1752	14
did	1751	33
--->	1745	9
after	1737	33
+	1729	20
45	1723	28
n5	1682	33
plays	1649	33
nope	1641	28
hopefully	1641	30
wait	1618	29
nvm	1613	24
n4	1596	33
w3	1576	33
i'm	1576	25
will	1572	32
does	1561	31
oops	1545	30
n1	1538	31
nice	1518	31
off	1506	30
with	1505	33
k2	1483	33
better	1466	31
thinks	1465	31
right	1445	29
w2	1445	33
k	1436	31
by	1418	33
k3	1405	33
yellow	1401	33
card	1396	33
played	1392	32
k4	1382	33
then	1381	32
prompt	1380	31
mistake	1373	30
still	1356	33
mb	1353	17
w4	1352	33
good	1350	32
=>	1320	8
get	1305	33
(	1301	11
doesn't	1295	30
know	1283	32
sure	1262	32
o1	1262	33
instead	1257	32
one	1253	33
t2	1251	33
didn't	1233	28
t3	1231	32
playing	1227	31
important	1219	30
slot	1211	30
t4	1161	33
o5	1156	33
are	1154	33
clued	1152	31
really	1143	31
dda	1143	32
rip	1140	26
at	1119	29
give	1094	30
has	1073	30
because	1073	32
promised	1060	26
fixed	1046	27
scream	1039	30
very	1038	27
b[cm]	1032	1
double	1010	30
lhs	1009	31
!b	1008	28
!1	994	27
!g	990	29
see	987	32
pull	985	33
:d	976	20
!r	975	28
lpc	957	27
ptd	950	19
o	946	29
:(	942	28
??	931	26
exactly	927	29
345	926	24
sd[cm]	926	5
t1	922	32
sorry	918	27
xd	916	14
too	883	29
about	877	30
seems	874	26
???	871	29
please	863	27
k1	861	32
knows	849	31
turn	843	31
since	843	32
!y	831	28
pink	826	32
wrong	825	31
25	824	28
must	816	31
5ce	812	31
can't	808	26
ambig	805	23
well	802	30
hand	799	30
actually	791	28
\\o/	791	4
hope	790	33
something	789	30
also	786	30
some	763	32
1s	758	25
need	754	31
tc[cm]	754	5
t[cm]	753	3
t	751	28
k5	749	33
234	747	23
am	741	32
when	737	29
color	736	30
nocm	730	11
tempo	722	32
&	718	13
purple	717	33
way	706	28
first	706	30
touch	703	32
imo	703	17
oof	698	19
that's	694	26
dupe	686	29
wtf	683	22
t5	681	32
soft	679	22
w1	678	33
u2	676	31
trust	674	29
out	673	29
huh	672	20
2345	672	12
work	668	31
assume	653	28
an	653	31
positional	650	30
24	647	29
want	644	28
weird	641	28
possible	634	28
read	631	31
stale	623	29
!2	622	27
let	621	32
only	616	31
all	612	30
[tcm]	609	8
[kt]	608	18
time	606	30
other	604	31
5pp	600	10
more	598	29
u3	596	30
35	595	25
clues	594	33
context	592	29
any	587	30
u5	584	29
thought	582	32
g23	580	29
pf	579	16
:p	578	19
isn't	575	29
utd	573	28
up	568	32
choice	566	29
look	565	31
n	558	22
even	554	29
marked	554	22
r23	548	27
gonna	546	26
forgot	543	28
self	542	31
cm'd	541	19
idk	541	22
w5	536	32
5[cm]	535	5
a3	532	31
b23	531	25
game	529	29
t6:	527	13
been	526	29
u4	524	28
focus	523	31
d:	521	10
t3:	520	13
t4:	520	14
o[cm]	516	4
omg	513	17
safe	509	29
spook	507	15
last	505	24
a4	505	30
push	502	32
rank	502	29
prompted	493	24
r2e	493	14
both	492	32
t5:	492	13
though	491	25
t8:	491	15
t9:	491	14
2/3	490	14
cards	488	31
t12:	488	13
cluing	485	25
y23	485	27
tocm	479	21
discarded	478	30
:/	478	19
pp	476	18
t11:	475	16
fuck	474	17
3b	474	9
m23	472	28
oop	470	31
reclue	468	27
t10:	468	13
w/	467	4
8	466	30
!p	466	28
supposed	465	27
t7:	465	10
either	459	26
going	457	30
early	457	31
ah	456	22
t2:	456	16
had	454	27
2b	454	9
3g	452	9
3s	451	25
t14:	450	13
t13:	449	14
:o	448	14
make	447	29
never	447	29
there	445	27
g2e	444	14
blocking	441	26
rb	441	26
possibly	440	23
u1	440	29
