player,teammate,weight
0413tengyi,freddypage,3
0413tengyi,stephsteph333,3
042174,ch0171,6
042174,olliertyu,6
042174,pjhxkrxk1,6
042174,superbriggs,4
0443,adolar0721,6
0443,kgtekito,3
0443,locomoco,9
0443,meromeron,6
0443,ninnin,1
05dkrass,aschoenholtz,17
05dkrass,npotchen,1
05dkrass,saraannmartin,64
05dkrass,saraannmartin28,28
06272021,abbyansp1,1
0CFCC7C3,BoeM,1
0CFCC7C3,ELoevbak,1
0CFCC7C3,gsamaey,1
0CFCC7C3,JKoe,1
0ii,Eu,1
0ii,Frodo,2
0ii,lfrb_,4
0ii,lokinhoMeu,2
0ii,PorcoAlegre,2
0ii,raarra,1
0ii,Rabicoh,2
0ii,uduD,1
0ii,Zzippattopp,5
0ppium,asaelr,1
0ppium,awe,7
0ppium,DMoney,3
0ppium,Valetta6789,2
0str8,Julius123,2
0str8,Quickblinl,2
0str8,sfdg,1
0woodwind0,321,3
0woodwind0,Accccccc,3
0woodwind0,alexhung0120,3
0xbaadd00d,AllanHay,1
0xbaadd00d,anguettia,1
0xbaadd00d,ccarey,1
0xbaadd00d,kweinberg,1
0xbaadd00d,mikess,1
0xFF,xg00gl3x,16
0zack0,Amy2,2
0zack0,asow,3
0zack0,duckmedic,10
0zack0,JackFrost,17
0zack0,ksfortson,2
0zack0,RazzyRaz,5
0zack0,TheGrandDingus,9
0zack0,wump,28
1.618iris,josephlansang,6
1.618iris,RaviT,6
100rubh,aniruddh,5
100rubh,Avin,1
100rubh,CRM,5
100rubh,hanging juggs,3
100rubh,Yamdoot,5
100th_Coin,idn0971,1
100th_Coin,kiwi628,3
100th_Coin,Naikcin,4
100th_Coin,QuantaMech,6
10101,Avacado,1
10101,floobar,1
10101,potato,1
10101,tomato,1
101jimtim,Fiddler_of_Teet,1
101jimtim,hlehv,1
101jimtim,ile123ile,1
101jimtim,TheMost,1
10cdizzle,bbarty13,2
10cdizzle,cocorox,1
10cdizzle,cocoroxxi,2
10cdizzle,cocoroxy,2
10cdizzle,kashmoney69,1
10cdizzle,natnafu,7
10cdizzle,poopman,5
10cdizzle,Poopypoopface,4
10cdizzle,rox,1
10cdizzle,roxx,1
10cdizzle,saggyblumpkin,1
10cdizzle,sofmcgoats,1
10cdizzle,swaszyn,3
10cdizzle,Tumtum,4
10cdizzle,tumtum2814,2
10cthedizzle,cocoroxx,2
10cthedizzle,eninam,3
10cthedizzle,Gen2021,3
10cthedizzle,ifenta,3
10cthedizzle,jdude,1
10cthedizzle,natnafu,8
10cthedizzle,rox,1
10cthedizzle,roxxx,1
10cthedizzle,saggyblumpkin,8
10cthedizzle,tumtum2814,3
10SecondVersion,maxod123,1
10SecondVersion,rothdog,1
10SecondVersion,sisterrose,1
10timothy10,ashvarma,4
10timothy10,avniwalia,4
10timothy10,cooljules,4
1111,LukaToni,3
1111,marxwahlberg,3
1111,si_ha_93,3
1111,sjoerd92,3
1111111,2222222,14
1111111,3333333,14
1111111,4444444,13
1111111,5555555,3
1111111,ace201,1
1111111,Almouse,1
1111111,asaelr,3
1111111,avinash1310,14
1111111,DarthGandalf,3
1111111,dharladay,12
1111111,Doge,2
1111111,elamate90,1
1111111,ellomenop,4
1111111,GameConqueror,2
1111111,HariKrishnan,1
1111111,ickh0r,8
1111111,kappatosity,10
1111111,Lanvin,4
1111111,macanek,1
1111111,newduke,4
1111111,newsun,1
1111111,nkkarpov,3
1111111,ReaverSe,12
1111111,Tailz,3
1111111,wump,6
111111111111111,baba2.0,1
111111111111111,group-meetings,1
111111111111111,JamesM,1
111116,Denbor,1
1123213,123,5
1123213,mxovd,8
11235813,Dani28,12
11235813,daviddurfee,12
11235813,fahrbach,2
11235813,fahrbach_again,7
11235813,nykal212,12
11235813,Pettim,9
11235813,tdog,9
11235813,Toby17,6
11235813,TobyP,3
112jame,gryphonlord,3
112jame,nootnooot,3
112jame,riversmajor,2
112jame,StevenZ04,2
11icecube11,cam,2
11icecube11,iamokatchess,2
11icecube11,uriquack,1
11olives,longshoelaces,8
123,angy,5
123,Baobaobaobao,1
123,beri,1
123,bobobo,1
123,bubbleman,7
123,Carol84,1
123,dardiefghijklmn,1
123,Fey,3
123,jana_iguana,2
123,Konrad1982,1
123,Lenachga,5
123,Loppukilpailija,1
123,louietyj,5
123,melanie1996,1
123,mxovd,5
123,Oksana,2
123,penguinsyeet,7
123,Pete2,2
123,richy917,56
123,swsakura316,1
123,Taktinen,1
123,tiius,1
123,vibha,2
123,vibhak,5
123123,96kGoddess,8
123123,FutureDream,8
123123,MijooriGG,8
123123,newnew3,8
123123,Tui,8
123123123,catherinewu,1
123123123123,Io,1
123123123123,neroihoiegr,1
123123123123,Pedro,1
123123123123,tgomez218,1
1233125,JTJTJTJTJT,112
1233125,JTJTJTJTJTJT,25
1234,reveszda,3
12341234,ahansoetuh,1
12341234,alala,7
12341234,gnunee,4
12341234,henkkuli,1
12341234,Perdex,8
12341234900,maxlychee,2
12343fdasjgsdof,lw,1
12345,abcdefg,1
12345,ARK00,2
12345,BigBrainNoGame,1
12345,chris010,1
12345,chris7532,4
12345,dickfrick69,11
12345,Draconica_,4
12345,hoangn,1
12345,Jeet,2
12345,jy000,4
12345,JZelaya92,1
12345,karen,2
12345,ketamine,2
12345,meher,1
12345,mpargani,13
12345,new_user90090,2
12345,NLiebes,1
12345,Tater,1
12345,XxbabycakesxX,2
123451,itsunel,2
123451,jp123456789,1
123451,mrriot,1
123451,shawnAu,1
123456,gogomathew,2
123456789,captainlava,5
123456789,FleFle,4
123456789,jess_lilas,5
123456789,Qcjoker3,2
1234567890Test,aisha,1
123456789765432,antonb7,2
123456789765432,Jan,2
1234567hugo,aze,1
1234567hugo,Monthaonos,1
1234567hugo,t2win,1
12345768,BIGJJ,1
12345768,Hanspig,1
12345768,NotoriousHeky,1
12345768,NotoriousMax,1
12345thy,abhi5396,2
12345thy,charvirastogi,3
12345thy,hsahay,3
12345thy,Megho95,1
12345thy,Patil,3
12345thy,tejas,3
1235,dewakipas,9
1235,GoSunflower,4
1235,memeking,9
1235q345,dewakipas,4
1235q345,memeking,4
123asdf,bowerwilkins,2
123asdf,JahKnows1,4
123asdf,sampasta,1
123check ,aidensdog,3
123check ,azhang190,7
123check ,Equator,4
