Username	Type	W(%)	L(%)	W(#)	L(#)	W(%, 2p)	L(%, 2p)	W(#, 2p)	L(#, 2p)	W(%, 3p+)	L(%, 3p+)	W(#, 3p+)	L(#, 3p+)
Valetta6789	Totals	18,24	81,76	1183	5304	18,0	82,0	646	2943	18,53	81,47	537	2361
Valetta6789	Easy	24,34	75,66	841	2614	27,4	72,6	442	1171	21,66	78,34	399	1443
Valetta6789	Single dark	11,82	88,18	296	2209	11,17	88,83	182	1448	13,03	86,97	114	761
Valetta6789	Easy null	19,78	80,22	36	146	20,63	79,37	13	50	19,33	80,67	23	96
Valetta6789	Double dark	2,9	97,1	10	335	3,18	96,82	9	274	1,61	98,39	1	61
