Username	Rank	Seek	Hide
Anax	0	none	none
Bot-Fiora	0	griff77 (21%)	none
CaitlinSmith	0	none	none
colton	0	hailey (28%)	Lanvin (17%)
corys	0	xor (33%)	none
Cynas	0	none	none
Damian000	0	none	none
DarthGandalf	0	none	none
Daryl	0	none	none
Denchulitas	0	sephiroth (25%)	none
derekcheah	0.0	piper (39%), Zakisan (29%), TimeHoodie (28%), Fey (26%), TheDaniMan (25%)	pianoblook (16%), scharkbite (15%), indego (12%), will.i.am (12%), newduke (8%)
Div	0	lotem (11%)	none
dj.narayanan	0	InfernoSnowman (17%), ATrueZen (16%)	a_small_emu (16%)
dmigor3	0	Kowalski (34%), Kowalski1337 (33%)	Feich (31%), Feich59 (31%)
duckington	0	none	none
duckless	0	none	none
duckmammal	0	Dr_Kakashi (20%)	none
eliclax	0	none	none
emilyzhao	0	squidgetx (26%)	none
fishcat	0.0	pianoblook (24%)	ADrone (23%), null (22%)
hakha3	0	kimbifille (28%)	Lanvin (24%), Lel0uch (23%)
HariKrishnan	0	none	none
HelanaAshryvr	0.0	ricardodd (31%), boba (19%), Romain672 (19%), Lel0uch (18%), Durandal (18%)	FerKeth (13%), bjnh (13%), ChristopheAF (13%), indego (10%), newduke (7%)
IAMJEFF	0.0	kimbifille (29%), scharkbite (26%), Sucubis (25%), micerang (25%), Dr_Kakashi (25%)	Jake_Stiles (18%), Fireheart (17%), Libster (17%), kopen (16%), Zamiel (13%)
Instantiation	0	none	none
Kernel	0	none	none
MasN	0	none	none
MathNoob	0	none	none
methmatics	0	room456 (8%)	none
nkkarpov	0	none	none
padi	0	scharkbite (22%)	Dr_Kakashi (19%), Kyle (17%)
Pimak	0	none	none
possum	0	none	none
qwertyelmer	0	Darth_Calculus (28%)	kjin (18%)
rs1	0	none	none
sankala	0	none	none
Smandon	0	none	none
Spieler42	0	none	none
Syrah	0	mugsly (35%)	scepheo (34%)
wolfpack	0	none	none
wortel	0	Kakashi (28%)	none
4head	0.0	none	none
Asddsa76	-1.0	sjdrodge (26%)	Zamiel (20%), scharkbite (19%)
Bonja97	-0.5	TheDaniMan (30%), Slonimsky (21%), melwen (20%), sephiroth (20%)	derekcheah (18%), Pablo- (17%), joelwool (17%), will.i.am (10%)
FerKeth	-1.0	HelanaAshryvr (13%)	none
jeff10	-0.5	TimeHoodie (24%), melwen (17%), Lanvin (16%)	newduke (13%), Lel0uch (11%)
ksfortson	-1.0	torp (25%)	wump (19%), griff77 (15%)
skyblueexo	-1.0	katian (14%)	Krepps57 (13%)
nukelauncher	-1.0	none	none
griff77	-0.5	none	none
a_small_emu	-1.0	none	none
Feich	-1.0	none	none
robense	-1.0	none	none
efaust	-1.0	none	none
bcannon	-1.0	none	none
kjin	-1.0	none	none
scepheo	-1.0	none	none
