Apr	2020	14 games
May	2020	9 games
Jun	2020	1 games
Jul	2020	23 games
Aug	2020	316 games
Sep	2020	319 games
Oct	2020	247 games
Nov	2020	284 games
Dec	2020	164 games
Jan	2021	4 games
Feb	2021	10 games
Mar	2021	87 games
Apr	2021	208 games
May	2021	81 games
Jun	2021	100 games
Jul	2021	167 games
Aug	2021	41 games
Sep	2021	50 games
Total: 2125
