Player	Ratio of games won as Alice	Wins
IAMJEFF	76.15	566
kimbifille	72.89	782
Fireheart	71.94	702
Valetta6789	67.8	590
piper	58.19	464
Floriman	56.94	757
Dr_Kakashi	54.6	892
pianoblook	53.87	737
Zamiel	52.03	1107
Kyle	49.57	1041
scharkbite	48.36	1187
Lel0uch	47.41	909
Libster	46.76	678
VerySloppyTwo	46.02	226
indego	45.53	514
asaelr	45.21	1033
Lanvin	44.99	1078
florrat2	44.31	422
ADrone	43.07	274
MarkusKahlsen	43.0	600
melwen	39.81	1281
padi	39.38	193
sin_faith	37.28	389
RaKXeR	35.82	349
sjdrodge	32.77	1181
timotree	30.12	415
Nitrate	18.57	210
Bot-Fiora	6.15	130
