Username	Preference
Zamiel	0.0
Valetta6789	-1
micerang	-1
kimbifille	-1
Lanvin	-1
asaelr	-1
Libster	-1
Floriman	-1
scharkbite	-1
Fireheart	-1
Romain672	-1
Livia	-1
Kyle	-1
Jake_Stiles	-1
DMoney	-1
IAMJEFF	-1
Dr_Kakashi	-1
RaKXeR	-1
kopen	-1
kodomazer	-1
