Words	Frequency	Number of vocabularies
take	148	23
t16	148	17
t34:	148	11
zam	147	13
always	147	18
free	147	23
finessed	146	20
trying	146	19
t18	146	13
worth	145	20
level	145	21
8cs	145	7
amb	144	13
5g	144	7
tell	143	20
notes	143	21
welp	143	11
s	143	23
t33:	143	9
perhaps	142	9
saved	141	24
t19	141	16
we'll	141	15
t17	141	17
next	140	20
anymore	139	20
sees	138	14
t15	138	16
y34	138	17
lmao	138	11
heck	138	4: indego, pianoblook, piper, timotree
sn	138	3: Lanvin, Lel0uch, pianoblook
shoulda	137	5: ADrone, Kyle, pianoblook, piper, swineherd
super	137	16
occupied	137	17
p23	137	24
2345	136	11
[y2]	136	17
t32:	136	8
point	135	18
wanna	135	13
clearly	135	15
case	135	20
[4]	135	13
1y	135	6
were	134	18
discards	134	20
t21	134	16
getting	133	20
risky	133	16
baton	133	16
oooh	133	5: indego, kimbifille, Nitrate2, pianoblook, piper
thx	133	6
dobi	132	14
dont	131	16
blind	131	20
a1	131	21
eject	131	20
a5	131	22
what's	131	19
okay	130	11
multi	130	16
ambiguous	130	18
t20	130	14
pos	130	12
t28	129	18
yep	129	16
charm	128	18
lie	128	24
expected	128	17
//	128	1: pianoblook
def	127	11
t30	127	13
marks	127	5: Floriman, indego, MarkusKahlsen, pianoblook, piper
sk[cm]	127	1: indego
4m	127	7
dani	126	15
15	126	21
sus	126	13
5b	126	7
libster	125	11
t25	125	17
3/4	125	12
o7	125	2: pianoblook, piper
feels	124	15
echo	124	16
woops	124	5: ADrone, Floriman, kimbifille, MarkusKahlsen, pianoblook
m34	124	17
muddy	122	15
bombing	122	18
duped	122	15
wth	122	8
t35:	122	8
[3]	122	15
i34	122	17
g3e	122	7
!m	122	12
yet	121	20
10	121	18
[f]?	121	16
potentially	121	12
4db	121	15
clear	120	20
fine	120	19
misplay	120	14
ugh	120	12
9	120	13
info	119	20
bg	119	18
[sdcm]	119	7
5r	119	6
100%	118	19
discharge	118	24
t24	118	18
duping	118	18
florrat	118	8
????	117	18
db	117	17
there's	117	13
t37:	117	9
geez	117	2: indego, piper
4p	117	7
cause	116	16
inversion	116	20
stomp	116	19
sloppy	116	9
markus	115	18
round	115	12
11	115	14
kill	115	22
cancelled	115	6
!r5	115	14
b45	115	16
[2]	115	16
2i	115	5: indego, Lanvin, Lel0uch, sephiroth, VerySloppyTwo
[fixme]	115	10
pulled	114	17
who	114	22
lucky	114	21
burn	114	17
kakashi	114	18
surely	114	14
l	114	15
b5e	114	7
yup	113	13
:)	113	17
y4e	113	9
[y3]	113	12
bit	112	17
generation	112	18
totally	112	15
cm'd?	112	8
b4e	112	8
t27	112	17
two	112	15
<3	112	9
thank	111	20
gets	111	19
i'd	111	13
[unclued]	111	7
its	110	12
die	110	20
rp	110	17
bp	110	18
!r3	110	14
[b4]	110	15
[b1]	110	10
line	109	14
t39:	109	8
needed	108	19
us	108	25
reverse	108	19
t22	108	12
frosty	108	8
nm	108	6
hmmmm	108	11
5y	108	7
[r1]	108	10
gunna	108	1: pianoblook
later	107	18
means	107	23
touched	107	15
t26	107	16
yp	107	18
3i	107	4: indego, Lanvin, Lel0uch, VerySloppyTwo
1m	107	6
pls	107	9
pace	106	16
reason	106	21
thing	106	19
yr	106	17
r45	106	15
keep	105	15
say	105	17
until	105	19
melwen	105	17
.	105	11
[g4]	105	17
gr	105	18
y3e	105	7
uf[cm]	105	1: indego
gotta	104	10
!12	104	10
away	103	22
many	103	19
(or	103	14
play-->	103	1: asaelr
gp	103	18
[tccm]	103	10
n45	103	18
m25	103	16
hes	102	10
wonder	102	16
somewhere	101	15
they	101	24
mp[cm]	101	1: indego
ft1	101	1: sjdrodge
down	100	19
made	100	19
once	100	17
rz	100	13
