Jan 2020 - 26 games
Feb 2020 - 45 games
Mar 2020 - 68 games
Apr 2020 - 120 games
May 2020 - 148 games
Jun 2020 - 110 games
Jul 2020 - 101 games
Aug 2020 - 102 games
Sep 2020 - 85 games
Oct 2020 - 140 games
Nov 2020 - 217 games
Dec 2020 - 350 games
Jan 2021 - 250 games
Feb 2021 - 89 games
Mar 2021 - 191 games
Apr 2021 - 180 games
May 2021 - 210 games
Jun 2021 - 12 games
Total: 2444
