Username	Preference
Libster	0.79
RaKXeR	0.62
scharkbite	0.49
micerang	0.47
Floriman	0.45
kopen	0.43
Livia	0.38
Kyle	0.36
asaelr	0.3
Jake_Stiles	0.28
IAMJEFF	0.26
Valetta6789	0.21
Fireheart	0.17
Dr_Kakashi	0.15
kimbifille	0.13
DMoney	0.09
Romain672	0.06
Zamiel	0.0
Lanvin	-1
kodomazer	-1
Instantiation	-1
910dan	-1
invarse	-1
florrat2	-1
qqqq	-1
Andrew_UK	-1
TimeHoodie	-1
sankala	-1
Sucubis	-1
Razgovor	-1
Swifter	-1
Andrey Khesin	-1
jeep	-1
Mike	-1
Asddsa76	-1
bradz	-1
Cory	-1
Hunter	-1
sjdrodge	-1
Ahming	-1
NoMercy	-1
melwen	-1
Yeesh	-1
timotree	-1
Hyakinthus	-1
Razvogor	-1
Lel0uch	-1
pianoblook	-1
indego	-1
newduke	-1
