Word	Frequency
!	50
!!	7
!!!	16
!!!!	4
!!!!!!!	1
!!!!!!!!	1
!!!!!!!!!!!!!!!!	1
!!!!!!!!!!!!!!!!!	1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!	1
!!!!!!!!1	1
!!!not	1
!!ry!!	1
!(1/g)+(y/3)	1
!(1/y)+b+4(+5??)	1
!(2+3)	1
!(2/p)	1
!(4/g)+3	1
!(5/3/g)?+1	1
!(p/2)+3--->	1
!1	559
!1!3?	1
!1!p	2
!1/y	1
!10	1
!12	104
!12..	1
!123	10
!1235	1
!124	7
!125	11
!125]	1
!12?	1
!12]	1
!12g3	1
!12y	1
!12yp	1
!13	12
!134	1
!135	1
!14	10
!145	3
!15	13
!152	2
!15s	1
!1?	2
!1]	3
!1b	1
!1bri	1
!1e	2
!1g2	2
!1s5	3
!1t	1
!1w2	1
!1y	1
!2	374
!2!4	1
!2!bgpy	1
!2)	4
!2+y	1
!2-	1
!2.	1
!2/b	2
!2/p	1
!21	1
!23	11
!235	2
!24	3
!25	15
!25b3g3	1
!25e	1
!2?	3
!2]	1
!2b	2
!2e	2
!2g	3
!2i	2
!2k	1
!2m	1
!2p	1
!2pol	1
!2r	2
!2save	1
!2w	2
!2y?	1
!3	217
!3!r	1
!3/4	1
!3/b	1
!3/g	1
!32	1
!34	3
!35	3
!3?	1
!3a	1
!3b	4
!3c	1
!3e	2
!3g	3
!3i	4
!3k	1
!3m	2
!3n	1
!3p	4
!3prism	1
!3r	4
!3w	3
!3y	6
!4	98
!4-ish	1
!4...	1
!4/blue	1
!4/r	1
!42	1
!45	3
!452??;	1
!4?	2
!4b	4
!4db	2
!4e	2
!4g	3
!4k	1
!4m	1
!4n	2
!4p	1
!4r	2
!4w	2
!4y	1
!5	244
!5--	1
!5/3/g?	1
!5321	1
!5;	1
!5?	2
!5??	1
!5]	7
!5cm	2
!5e	2
!5i	1
!5k	1
!5m	1
!5pp	1
!5r	1
!5s	3
!5w	1
!=	1
!?	5
![c	1
!a	58
!a1	3
!a2	3
!a3	6
!a3?	1
!a4	7
!a4->	1
!a5	8
!a5->	1
!a:	7
!a?	1
!ab	3
!ak	2
!ak]	1
!as	2
!b	577
!b!2	1
!b!3	1
!b!g!y;	1
!b!g3	1
!b)	6
!b+4(+5??)	1
!b+5+2?	1
!b...	2
!b....	1
!b/4	1
!b1	28
!b123	1
!b13	2
!b1>	1
!b1u2	1
!b2	60
!b2/m3	1
!b24	2
!b2;	1
!b2?	5
!b2e	1
!b3	90
!b3/n3	1
!b34	1
!b3e	2
!b4	65
!b4]	1
!b5	77
!b5->	1
!b5/playable	1
!b5e	2
!b>	1
!b?	5
!b]	6
!ba	1
!bap	1
!bd	1
!be	5
!bg	11
!bg1	1
!bgp	2
!bgr	1
!bgy	1
!bi	2
!bi3;	1
!bipgr	1
!bir	1
!bl	1
!blaze	2
!blue	1
!bluff	5
!bm	8
!bm4	1
!bmg	1
!bn	2
!bo	2
!bog	1
!bogi	1
!boy	1
!boygr	1
!bp	14
!bpa	1
!br	19
!br5	1
!brg	3
!brg]	1
!brm	3
!brw	1
!bs	1
!bt	1
!btgr	1
!btp	1
!bubblegum	1
!burn	1
!bw	3
!bwg	1
!by	15
!byg	1
!bypg	1
!byr	2
!c	19
!c)	3
!c1	3
!c2	4
!c3	9
!c3/dropcm	1
!c4	3
!c5	2
!charm	1
!ci	1
!ci]	1
!cil	1
!cimt	1
!cit	3
!citm	1
!clueable	4
!clueable?	1
!cm	8
!cm'd	1
!cm'd?	1
!co	1
!cot	1
!crit	96
!crit...	1
!crit/g4	1
!crit/playable	1
!crit/r34	1
!crit?	1
!crit??	1
!critical	1
!ct	2
!d	12
!d2	4
!d4	1
!db	1
!diy	1
!dup	1
!dupe	2
!dupe...	1
!duped	1
!epc	1
!ever	1
!f	12
!finessed	1
!fix	1
!focuseable	1
!forest	1
!g	523
!g!245	1
!g!a	1
!g!r	2
!g)	1
!g...	3
!g/3	1
!g/4	2
!g/y1	2
!g1	19
!g1e	1
!g2	65
!g2???	1
!g2b2y4	1
!g3	85
!g3+g4	1
!g3...	1
!g3/b2/p2	1
!g3/playable	1
!g3?	2
!g3]	1
!g4	56
!g4->	1
!g4...	1
!g4?	1
!g4e	2
!g4m3	1
!g5	72
!g5->	1
!g5?	4
!g5s1	1
!g;	2
!g?	5
!g]	6
!ga	1
!gb	25
!gbi	1
!gbi;	1
!gbm	1
!gbp	1
!gbra	1
!gbw	1
!gby	3
!gi	1
!giy	1
!gk	1
!gm	5
!gm1	1
!gm2	1
!gmu1	1
!go	1
!good	1
!gp	7
!gpb	1
!gpbr	1
!gpr	2
!gpym	1
!gr	15
!gr!5	1
!grb	1
!grp	1
!gt	5
!gtm	1
!gw	1
!gwb	3
!gy	8
!gy5bo3	1
!gyb	1
!gyba	1
!gym	1
!gyp	1
!gyr	1
!here	4
!i	162
!i!l	1
!i1	26
!i1/o1	1
!i123	1
!i2	70
!i3	58
